,,,,,,,,Federal Housing Finance Agency,,,
,,,,,,,,www.fhfa.gov,,,
,,,,,,,,,,,
"TABLE 25:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, PREVIOUSLY OCCUPIED HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,
,,(%),Charges,(%),,($000),,(%),,,
,,,(%),,,,,,,,
,,,,,,,,,,,
1991,09,7.66,1.33,7.87,28.4,116.2,156.0,76.6,,,
1991,10,7.48,1.29,7.68,28.6,117.3,158.3,75.7,,,
1991,11,7.47,1.48,7.70,29.0,127.9,171.0,76.3,,,
1991,12,7.45,1.42,7.67,28.8,128.6,176.7,75.7,,,
1992,01,6.68,1.17,6.85,29.3,125.2,169.6,76.1,,,
1992,02,6.82,1.40,7.03,28.0,100.1,129.0,78.9,,,
1992,03,6.64,1.28,6.84,29.1,120.3,155.9,77.8,,,
1992,04,6.73,1.53,6.96,30.2,120.7,158.3,76.9,,,
1992,05,6.71,1.53,6.94,29.9,137.5,178.0,78.0,,,
1992,06,6.68,1.54,6.91,29.2,135.6,179.2,77.6,,,
1992,07,6.25,1.42,6.46,29.8,132.7,177.2,76.6,,,
1992,08,6.15,1.49,6.36,29.3,134.9,175.6,77.7,,,
1992,09,6.11,1.42,6.32,29.2,114.0,151.7,75.8,,,
1992,10,5.81,1.36,6.01,29.2,114.0,153.1,76.2,,,
1992,11,5.95,1.41,6.15,29.5,118.3,158.4,76.2,,,
1992,12,5.99,1.42,6.20,28.8,131.2,174.0,77.5,,,
1993,01,6.12,1.34,6.31,28.9,134.1,180.8,75.8,,,
1993,02,5.74,1.23,5.92,29.8,134.6,175.4,77.7,,,
1993,03,5.44,1.20,5.61,30.0,128.5,170.8,76.6,,,
1993,04,5.54,1.19,5.71,28.2,121.9,163.3,75.2,,,
1993,05,5.76,1.21,5.94,27.6,113.9,147.9,77.6,,,
1993,06,5.62,1.34,5.81,29.4,129.0,167.6,77.7,,,
1993,07,5.61,1.27,5.80,28.8,125.5,164.9,77.6,,,
1993,08,5.54,1.16,5.71,28.3,123.0,160.9,76.9,,,
1993,09,5.45,1.23,5.63,28.8,130.4,168.5,78.3,,,
