"Fannie Mae and Freddie Mac Maximum Loan Limits for Loans Originated in 2009 or 
Originated Between 7/1/07 and 12/31/08 and Purchased in 2009

(These limits were determined under the American Recovery and Reinvestment Act of 2009.  Loans acquired in 2009, but originated prior to 7/1/2007 remain subject to previously-announced 2009 loan limits, which were determined under provisions of the Housing and Economic Recovery Act of 2008).",,,,,,,,
FIPS State Code,FIPS County Code,County Name,CBSA Number,State,One-Unit Limit,Two-Unit Limit,Three-Unit Limit,Four-Unit Limit
19,149,Plymouth County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,151,Pocahontas County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,153,Polk County,19780,IA,"$417,000","$533,850","$645,300","$801,950"
19,155,Pottawattamie County,36540,IA,"$417,000","$533,850","$645,300","$801,950"
19,157,Poweshiek County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,159,Ringgold County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,161,Sac County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,163,Scott County,19340,IA,"$417,000","$533,850","$645,300","$801,950"
19,165,Shelby County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,167,Sioux County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,169,Story County,11180,IA,"$417,000","$533,850","$645,300","$801,950"
19,171,Tama County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,173,Taylor County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,175,Union County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,177,Van Buren County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,179,Wapello County,36900,IA,"$417,000","$533,850","$645,300","$801,950"
19,181,Warren County,19780,IA,"$417,000","$533,850","$645,300","$801,950"
19,183,Washington County,26980,IA,"$417,000","$533,850","$645,300","$801,950"
19,185,Wayne County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,187,Webster County,22700,IA,"$417,000","$533,850","$645,300","$801,950"
19,189,Winnebago County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,191,Winneshiek County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
19,193,Woodbury County,43580,IA,"$417,000","$533,850","$645,300","$801,950"
19,195,Worth County,32380,IA,"$417,000","$533,850","$645,300","$801,950"
19,197,Wright County,99999,IA,"$417,000","$533,850","$645,300","$801,950"
20,001,Allen County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,003,Anderson County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,005,Atchison County,11860,KS,"$417,000","$533,850","$645,300","$801,950"
20,007,Barber County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,009,Barton County,24460,KS,"$417,000","$533,850","$645,300","$801,950"
20,011,Bourbon County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,013,Brown County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,015,Butler County,48620,KS,"$417,000","$533,850","$645,300","$801,950"
20,017,Chase County,21380,KS,"$417,000","$533,850","$645,300","$801,950"
20,019,Chautauqua County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,021,Cherokee County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,023,Cheyenne County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,025,Clark County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,027,Clay County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,029,Cloud County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,031,Coffey County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,033,Comanche County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,035,Cowley County,49060,KS,"$417,000","$533,850","$645,300","$801,950"
20,037,Crawford County,38260,KS,"$417,000","$533,850","$645,300","$801,950"
20,039,Decatur County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,041,Dickinson County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,043,Doniphan County,41140,KS,"$417,000","$533,850","$645,300","$801,950"
20,045,Douglas County,29940,KS,"$417,000","$533,850","$645,300","$801,950"
20,047,Edwards County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,049,Elk County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,051,Ellis County,25700,KS,"$417,000","$533,850","$645,300","$801,950"
20,053,Ellsworth County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,055,Finney County,23780,KS,"$417,000","$533,850","$645,300","$801,950"
20,057,Ford County,19980,KS,"$417,000","$533,850","$645,300","$801,950"
20,059,Franklin County,28140,KS,"$417,000","$533,850","$645,300","$801,950"
20,061,Geary County,31740,KS,"$417,000","$533,850","$645,300","$801,950"
20,063,Gove County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,065,Graham County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,067,Grant County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,069,Gray County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,071,Greeley County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,073,Greenwood County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,075,Hamilton County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,077,Harper County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,079,Harvey County,48620,KS,"$417,000","$533,850","$645,300","$801,950"
20,081,Haskell County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,083,Hodgeman County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,085,Jackson County,45820,KS,"$417,000","$533,850","$645,300","$801,950"
20,087,Jefferson County,45820,KS,"$417,000","$533,850","$645,300","$801,950"
20,089,Jewell County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,091,Johnson County,28140,KS,"$417,000","$533,850","$645,300","$801,950"
20,093,Kearny County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,095,Kingman County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,097,Kiowa County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,099,Labette County,37660,KS,"$417,000","$533,850","$645,300","$801,950"
20,101,Lane County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,103,Leavenworth County,28140,KS,"$417,000","$533,850","$645,300","$801,950"
20,105,Lincoln County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,107,Linn County,28140,KS,"$417,000","$533,850","$645,300","$801,950"
20,109,Logan County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,111,Lyon County,21380,KS,"$417,000","$533,850","$645,300","$801,950"
20,113,McPherson County,32700,KS,"$417,000","$533,850","$645,300","$801,950"
20,115,Marion County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,117,Marshall County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,119,Meade County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,121,Miami County,28140,KS,"$417,000","$533,850","$645,300","$801,950"
20,123,Mitchell County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,125,Montgomery County,17700,KS,"$417,000","$533,850","$645,300","$801,950"
20,127,Morris County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,129,Morton County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,131,Nemaha County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,133,Neosho County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,135,Ness County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,137,Norton County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,139,Osage County,45820,KS,"$417,000","$533,850","$645,300","$801,950"
20,141,Osborne County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,143,Ottawa County,41460,KS,"$417,000","$533,850","$645,300","$801,950"
20,145,Pawnee County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,147,Phillips County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,149,Pottawatomie County,31740,KS,"$417,000","$533,850","$645,300","$801,950"
20,151,Pratt County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,153,Rawlins County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,155,Reno County,26740,KS,"$417,000","$533,850","$645,300","$801,950"
20,157,Republic County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,159,Rice County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,161,Riley County,31740,KS,"$417,000","$533,850","$645,300","$801,950"
20,163,Rooks County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,165,Rush County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,167,Russell County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,169,Saline County,41460,KS,"$417,000","$533,850","$645,300","$801,950"
20,171,Scott County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,173,Sedgwick County,48620,KS,"$417,000","$533,850","$645,300","$801,950"
20,175,Seward County,30580,KS,"$417,000","$533,850","$645,300","$801,950"
20,177,Shawnee County,45820,KS,"$417,000","$533,850","$645,300","$801,950"
20,179,Sheridan County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,181,Sherman County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,183,Smith County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,185,Stafford County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,187,Stanton County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,189,Stevens County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,191,Sumner County,48620,KS,"$417,000","$533,850","$645,300","$801,950"
20,193,Thomas County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,195,Trego County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,197,Wabaunsee County,45820,KS,"$417,000","$533,850","$645,300","$801,950"
20,199,Wallace County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,201,Washington County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,203,Wichita County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,205,Wilson County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,207,Woodson County,99999,KS,"$417,000","$533,850","$645,300","$801,950"
20,209,Wyandotte County,28140,KS,"$417,000","$533,850","$645,300","$801,950"
21,001,Adair County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,003,Allen County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,005,Anderson County,23180,KY,"$417,000","$533,850","$645,300","$801,950"
21,007,Ballard County,37140,KY,"$417,000","$533,850","$645,300","$801,950"
21,009,Barren County,23980,KY,"$417,000","$533,850","$645,300","$801,950"
21,011,Bath County,34460,KY,"$417,000","$533,850","$645,300","$801,950"
21,013,Bell County,33180,KY,"$417,000","$533,850","$645,300","$801,950"
21,015,Boone County,17140,KY,"$417,000","$533,850","$645,300","$801,950"
21,017,Bourbon County,30460,KY,"$417,000","$533,850","$645,300","$801,950"
21,019,Boyd County,26580,KY,"$417,000","$533,850","$645,300","$801,950"
21,021,Boyle County,19220,KY,"$417,000","$533,850","$645,300","$801,950"
21,023,Bracken County,17140,KY,"$417,000","$533,850","$645,300","$801,950"
21,025,Breathitt County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,027,Breckinridge County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,029,Bullitt County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,031,Butler County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,033,Caldwell County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,035,Calloway County,34660,KY,"$417,000","$533,850","$645,300","$801,950"
21,037,Campbell County,17140,KY,"$417,000","$533,850","$645,300","$801,950"
21,039,Carlisle County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,041,Carroll County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,043,Carter County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,045,Casey County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,047,Christian County,17300,KY,"$417,000","$533,850","$645,300","$801,950"
21,049,Clark County,30460,KY,"$417,000","$533,850","$645,300","$801,950"
21,051,Clay County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,053,Clinton County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,055,Crittenden County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,057,Cumberland County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,059,Daviess County,36980,KY,"$417,000","$533,850","$645,300","$801,950"
21,061,Edmonson County,14540,KY,"$417,000","$533,850","$645,300","$801,950"
21,063,Elliott County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,065,Estill County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,067,Fayette County,30460,KY,"$417,000","$533,850","$645,300","$801,950"
21,069,Fleming County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,071,Floyd County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,073,Franklin County,23180,KY,"$417,000","$533,850","$645,300","$801,950"
21,075,Fulton County,46460,KY,"$417,000","$533,850","$645,300","$801,950"
21,077,Gallatin County,17140,KY,"$417,000","$533,850","$645,300","$801,950"
21,079,Garrard County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,081,Grant County,17140,KY,"$417,000","$533,850","$645,300","$801,950"
21,083,Graves County,32460,KY,"$417,000","$533,850","$645,300","$801,950"
21,085,Grayson County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,087,Green County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,089,Greenup County,26580,KY,"$417,000","$533,850","$645,300","$801,950"
21,091,Hancock County,36980,KY,"$417,000","$533,850","$645,300","$801,950"
21,093,Hardin County,21060,KY,"$417,000","$533,850","$645,300","$801,950"
21,095,Harlan County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,097,Harrison County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,099,Hart County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,101,Henderson County,21780,KY,"$417,000","$533,850","$645,300","$801,950"
21,103,Henry County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,105,Hickman County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,107,Hopkins County,31580,KY,"$417,000","$533,850","$645,300","$801,950"
21,109,Jackson County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,111,Jefferson County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,113,Jessamine County,30460,KY,"$417,000","$533,850","$645,300","$801,950"
21,115,Johnson County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,117,Kenton County,17140,KY,"$417,000","$533,850","$645,300","$801,950"
21,119,Knott County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,121,Knox County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,123,Larue County,21060,KY,"$417,000","$533,850","$645,300","$801,950"
21,125,Laurel County,30940,KY,"$417,000","$533,850","$645,300","$801,950"
21,127,Lawrence County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,129,Lee County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,131,Leslie County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,133,Letcher County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,135,Lewis County,32500,KY,"$417,000","$533,850","$645,300","$801,950"
21,137,Lincoln County,19220,KY,"$417,000","$533,850","$645,300","$801,950"
21,139,Livingston County,37140,KY,"$417,000","$533,850","$645,300","$801,950"
21,141,Logan County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,143,Lyon County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,145,McCracken County,37140,KY,"$417,000","$533,850","$645,300","$801,950"
21,147,McCreary County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,149,McLean County,36980,KY,"$417,000","$533,850","$645,300","$801,950"
21,151,Madison County,40080,KY,"$417,000","$533,850","$645,300","$801,950"
21,153,Magoffin County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,155,Marion County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,157,Marshall County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,159,Martin County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,161,Mason County,32500,KY,"$417,000","$533,850","$645,300","$801,950"
21,163,Meade County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,165,Menifee County,34460,KY,"$417,000","$533,850","$645,300","$801,950"
21,167,Mercer County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,169,Metcalfe County,23980,KY,"$417,000","$533,850","$645,300","$801,950"
21,171,Monroe County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,173,Montgomery County,34460,KY,"$417,000","$533,850","$645,300","$801,950"
21,175,Morgan County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,177,Muhlenberg County,16420,KY,"$417,000","$533,850","$645,300","$801,950"
21,179,Nelson County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,181,Nicholas County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,183,Ohio County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,185,Oldham County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,187,Owen County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,189,Owsley County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,191,Pendleton County,17140,KY,"$417,000","$533,850","$645,300","$801,950"
21,193,Perry County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,195,Pike County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,197,Powell County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,199,Pulaski County,43700,KY,"$417,000","$533,850","$645,300","$801,950"
21,201,Robertson County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,203,Rockcastle County,40080,KY,"$417,000","$533,850","$645,300","$801,950"
21,205,Rowan County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,207,Russell County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,209,Scott County,30460,KY,"$417,000","$533,850","$645,300","$801,950"
21,211,Shelby County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,213,Simpson County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,215,Spencer County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,217,Taylor County,15820,KY,"$417,000","$533,850","$645,300","$801,950"
21,219,Todd County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,221,Trigg County,17300,KY,"$417,000","$533,850","$645,300","$801,950"
21,223,Trimble County,31140,KY,"$417,000","$533,850","$645,300","$801,950"
21,225,Union County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,227,Warren County,14540,KY,"$417,000","$533,850","$645,300","$801,950"
21,229,Washington County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,231,Wayne County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,233,Webster County,21780,KY,"$417,000","$533,850","$645,300","$801,950"
21,235,Whitley County,18340,KY,"$417,000","$533,850","$645,300","$801,950"
21,237,Wolfe County,99999,KY,"$417,000","$533,850","$645,300","$801,950"
21,239,Woodford County,30460,KY,"$417,000","$533,850","$645,300","$801,950"
22,001,Acadia Parish,18940,LA,"$417,000","$533,850","$645,300","$801,950"
22,003,Allen Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,005,Ascension Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,007,Assumption Parish,38200,LA,"$417,000","$533,850","$645,300","$801,950"
22,009,Avoyelles Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,011,Beauregard Parish,19760,LA,"$417,000","$533,850","$645,300","$801,950"
22,013,Bienville Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,015,Bossier Parish,43340,LA,"$417,000","$533,850","$645,300","$801,950"
22,017,Caddo Parish,43340,LA,"$417,000","$533,850","$645,300","$801,950"
22,019,Calcasieu Parish,29340,LA,"$417,000","$533,850","$645,300","$801,950"
22,021,Caldwell Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,023,Cameron Parish,29340,LA,"$417,000","$533,850","$645,300","$801,950"
22,025,Catahoula Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,027,Claiborne Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,029,Concordia Parish,35020,LA,"$417,000","$533,850","$645,300","$801,950"
22,031,De Soto Parish,43340,LA,"$417,000","$533,850","$645,300","$801,950"
22,033,East Baton Rouge Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,035,East Carroll Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,037,East Feliciana Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,039,Evangeline Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,041,Franklin Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,043,Grant Parish,10780,LA,"$417,000","$533,850","$645,300","$801,950"
22,045,Iberia Parish,35340,LA,"$417,000","$533,850","$645,300","$801,950"
22,047,Iberville Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,049,Jackson Parish,40820,LA,"$417,000","$533,850","$645,300","$801,950"
22,051,Jefferson Parish,35380,LA,"$417,000","$533,850","$645,300","$801,950"
22,053,Jefferson Davis Parish,27660,LA,"$417,000","$533,850","$645,300","$801,950"
22,055,Lafayette Parish,29180,LA,"$417,000","$533,850","$645,300","$801,950"
22,057,Lafourche Parish,26380,LA,"$417,000","$533,850","$645,300","$801,950"
22,059,La Salle Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,061,Lincoln Parish,40820,LA,"$417,000","$533,850","$645,300","$801,950"
22,063,Livingston Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,065,Madison Parish,45260,LA,"$417,000","$533,850","$645,300","$801,950"
22,067,Morehouse Parish,12820,LA,"$417,000","$533,850","$645,300","$801,950"
22,069,Natchitoches Parish,35060,LA,"$417,000","$533,850","$645,300","$801,950"
22,071,Orleans Parish,35380,LA,"$417,000","$533,850","$645,300","$801,950"
22,073,Ouachita Parish,33740,LA,"$417,000","$533,850","$645,300","$801,950"
22,075,Plaquemines Parish,35380,LA,"$417,000","$533,850","$645,300","$801,950"
22,077,Pointe Coupee Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,079,Rapides Parish,10780,LA,"$417,000","$533,850","$645,300","$801,950"
22,081,Red River Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,083,Richland Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,085,Sabine Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,087,St. Bernard Parish,35380,LA,"$417,000","$533,850","$645,300","$801,950"
22,089,St. Charles Parish,35380,LA,"$417,000","$533,850","$645,300","$801,950"
22,091,St. Helena Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,093,St. James Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,095,St. John the Baptist Parish,35380,LA,"$417,000","$533,850","$645,300","$801,950"
22,097,St. Landry Parish,36660,LA,"$417,000","$533,850","$645,300","$801,950"
22,099,St. Martin Parish,29180,LA,"$417,000","$533,850","$645,300","$801,950"
22,101,St. Mary Parish,34020,LA,"$417,000","$533,850","$645,300","$801,950"
22,103,St. Tammany Parish,35380,LA,"$417,000","$533,850","$645,300","$801,950"
22,105,Tangipahoa Parish,25220,LA,"$417,000","$533,850","$645,300","$801,950"
22,107,Tensas Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,109,Terrebonne Parish,26380,LA,"$417,000","$533,850","$645,300","$801,950"
22,111,Union Parish,33740,LA,"$417,000","$533,850","$645,300","$801,950"
22,113,Vermilion Parish,10020,LA,"$417,000","$533,850","$645,300","$801,950"
22,115,Vernon Parish,22860,LA,"$417,000","$533,850","$645,300","$801,950"
22,117,Washington Parish,14220,LA,"$417,000","$533,850","$645,300","$801,950"
22,119,Webster Parish,33380,LA,"$417,000","$533,850","$645,300","$801,950"
22,121,West Baton Rouge Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,123,West Carroll Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
22,125,West Feliciana Parish,12940,LA,"$417,000","$533,850","$645,300","$801,950"
22,127,Winn Parish,99999,LA,"$417,000","$533,850","$645,300","$801,950"
23,001,Androscoggin County,30340,ME,"$417,000","$533,850","$645,300","$801,950"
23,003,Aroostook County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,005,Cumberland County,38860,ME,"$417,000","$533,850","$645,300","$801,950"
23,007,Franklin County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,009,Hancock County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,011,Kennebec County,12300,ME,"$417,000","$533,850","$645,300","$801,950"
23,013,Knox County,40500,ME,"$417,000","$533,850","$645,300","$801,950"
23,015,Lincoln County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,017,Oxford County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,019,Penobscot County,12620,ME,"$417,000","$533,850","$645,300","$801,950"
23,021,Piscataquis County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,023,Sagadahoc County,38860,ME,"$417,000","$533,850","$645,300","$801,950"
23,025,Somerset County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,027,Waldo County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,029,Washington County,99999,ME,"$417,000","$533,850","$645,300","$801,950"
23,031,York County,38860,ME,"$417,000","$533,850","$645,300","$801,950"
24,001,Allegany County,19060,MD,"$417,000","$533,850","$645,300","$801,950"
24,003,Anne Arundel County,12580,MD,"$560,000","$716,900","$866,550","$1,076,950"
24,005,Baltimore County,12580,MD,"$560,000","$716,900","$866,550","$1,076,950"
24,009,Calvert County,47900,MD,"$729,750","$934,200","$1,129,250","$1,403,400"
24,011,Caroline County,99999,MD,"$417,000","$533,850","$645,300","$801,950"
24,013,Carroll County,12580,MD,"$560,000","$716,900","$866,550","$1,076,950"
24,015,Cecil County,37980,MD,"$420,000","$537,650","$649,900","$807,700"
24,017,Charles County,47900,MD,"$729,750","$934,200","$1,129,250","$1,403,400"
24,019,Dorchester County,15700,MD,"$417,000","$533,850","$645,300","$801,950"
24,021,Frederick County,47900,MD,"$729,750","$934,200","$1,129,250","$1,403,400"
24,023,Garrett County,99999,MD,"$437,500","$560,050","$677,000","$841,350"
24,025,Harford County,12580,MD,"$560,000","$716,900","$866,550","$1,076,950"
24,027,Howard County,12580,MD,"$560,000","$716,900","$866,550","$1,076,950"
24,029,Kent County,99999,MD,"$417,000","$533,850","$645,300","$801,950"
24,031,Montgomery County,47900,MD,"$729,750","$934,200","$1,129,250","$1,403,400"
24,033,Prince George's County,47900,MD,"$729,750","$934,200","$1,129,250","$1,403,400"
24,035,Queen Anne's County,12580,MD,"$560,000","$716,900","$866,550","$1,076,950"
24,037,St. Mary's County,30500,MD,"$417,000","$533,850","$645,300","$801,950"
24,039,Somerset County,41540,MD,"$417,000","$533,850","$645,300","$801,950"
24,041,Talbot County,20660,MD,"$443,750","$568,050","$686,650","$853,350"
24,043,Washington County,25180,MD,"$417,000","$533,850","$645,300","$801,950"
24,045,Wicomico County,41540,MD,"$417,000","$533,850","$645,300","$801,950"
24,047,Worcester County,36180,MD,"$437,500","$560,050","$677,000","$841,350"
24,510,Baltimore city,12580,MD,"$560,000","$716,900","$866,550","$1,076,950"
25,001,Barnstable County,12700,MA,"$462,500","$592,050","$715,700","$889,450"
25,003,Berkshire County,38340,MA,"$417,000","$533,850","$645,300","$801,950"
