"Fannie Mae and Freddie Mac Maximum Loan Limits for Loans Originated in 2009 or 
Originated Between 7/1/07 and 12/31/08 and Purchased in 2009

(These limits were determined under the American Recovery and Reinvestment Act of 2009.  Loans acquired in 2009, but originated prior to 7/1/2007 remain subject to previously-announced 2009 loan limits, which were determined under provisions of the Housing and Economic Recovery Act of 2008).",,,,,,,,
FIPS State Code,FIPS County Code,County Name,CBSA Number,State,One-Unit Limit,Two-Unit Limit,Three-Unit Limit,Four-Unit Limit
02,110,Juneau City and Borough,27940,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,122,Kenai Peninsula Borough,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,130,Ketchikan Gateway Borough,28540,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,150,Kodiak Island Borough,28980,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,164,Lake and Peninsula Borough,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,170,Matanuska-Susitna Borough,11260,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,180,Nome Census Area,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,185,North Slope Borough,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,188,Northwest Arctic Borough,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,201,Prince of Wales-Outer Ketchikan Census Area,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,220,Sitka City and Borough,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,232,Skagway-Hoonah-Angoon Census Area,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,240,Southeast Fairbanks Census Area,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,261,Valdez-Cordova Census Area,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,270,Wade Hampton Census Area,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,280,Wrangell-Petersburg Census Area,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,282,Yakutat City and Borough,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
02,290,Yukon-Koyukuk Census Area,99999,AK,"$625,500","$800,775","$967,950","$1,202,925"
04,001,Apache County,99999,AZ,"$417,000","$533,850","$645,300","$801,950"
04,003,Cochise County,43420,AZ,"$417,000","$533,850","$645,300","$801,950"
04,005,Coconino County,22380,AZ,"$450,000","$576,050","$696,350","$865,400"
04,007,Gila County,37740,AZ,"$417,000","$533,850","$645,300","$801,950"
04,009,Graham County,40940,AZ,"$417,000","$533,850","$645,300","$801,950"
04,011,Greenlee County,40940,AZ,"$417,000","$533,850","$645,300","$801,950"
04,012,La Paz County,99999,AZ,"$417,000","$533,850","$645,300","$801,950"
04,013,Maricopa County,38060,AZ,"$417,000","$533,850","$645,300","$801,950"
04,015,Mohave County,29420,AZ,"$417,000","$533,850","$645,300","$801,950"
04,017,Navajo County,43320,AZ,"$417,000","$533,850","$645,300","$801,950"
04,019,Pima County,46060,AZ,"$417,000","$533,850","$645,300","$801,950"
04,021,Pinal County,38060,AZ,"$417,000","$533,850","$645,300","$801,950"
04,023,Santa Cruz County,35700,AZ,"$417,000","$533,850","$645,300","$801,950"
04,025,Yavapai County,39140,AZ,"$417,000","$533,850","$645,300","$801,950"
04,027,Yuma County,49740,AZ,"$417,000","$533,850","$645,300","$801,950"
05,001,Arkansas County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,003,Ashley County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,005,Baxter County,34260,AR,"$417,000","$533,850","$645,300","$801,950"
05,007,Benton County,22220,AR,"$417,000","$533,850","$645,300","$801,950"
05,009,Boone County,25460,AR,"$417,000","$533,850","$645,300","$801,950"
05,011,Bradley County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,013,Calhoun County,15780,AR,"$417,000","$533,850","$645,300","$801,950"
05,015,Carroll County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,017,Chicot County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,019,Clark County,11660,AR,"$417,000","$533,850","$645,300","$801,950"
05,021,Clay County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,023,Cleburne County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
