State Indexes for Houses not in Metropolitan Statistical Areas,,,,
,,,,
State,Year,Quarter,Index,Standard Error
IL,1998,4,115.87,(0.59)
IL,1999,1,116.69,(0.62)
IL,1999,2,117.33,(0.64)
IL,1999,3,116.68,(0.67)
IL,1999,4,117.19,(0.70)
IL,2000,1,118.38,(0.71)
IL,2000,2,119.45,(0.67)
IL,2000,3,120.21,(0.66)
IL,2000,4,121.11,(0.65)
IL,2001,1,122.87,(0.63)
IL,2001,2,124.41,(0.63)
IL,2001,3,125.21,(0.64)
IL,2001,4,125.79,(0.63)
IL,2002,1,126.78,(0.64)
IL,2002,2,127.87,(0.66)
IL,2002,3,128.48,(0.64)
IL,2002,4,129.70,(0.65)
IL,2003,1,130.55,(0.65)
IL,2003,2,130.69,(0.65)
IL,2003,3,131.98,(0.66)
IL,2003,4,134.60,(0.72)
IL,2004,1,134.83,(0.72)
IL,2004,2,136.90,(0.72)
IL,2004,3,138.96,(0.76)
IL,2004,4,140.88,(0.77)
IL,2005,1,142.81,(0.80)
IL,2005,2,143.41,(0.80)
IL,2005,3,146.16,(0.80)
IL,2005,4,147.07,(0.84)
IL,2006,1,149.98,(0.86)
IL,2006,2,151.23,(0.84)
IL,2006,3,152.20,(0.84)
IL,2006,4,153.27,(0.86)
IL,2007,1,156.06,(0.88)
IL,2007,2,155.72,(0.84)
IL,2007,3,156.02,(0.84)
IL,2007,4,157.26,(0.86)
IL,2008,1,157.76,(0.83)
IL,2008,2,156.72,(0.84)
IL,2008,3,155.04,(0.85)
IL,2008,4,156.03,(0.84)
IL,2009,1,157.08,(0.80)
IL,2009,2,156.24,(0.80)
IL,2009,3,154.67,(0.83)
IL,2009,4,154.23,(0.82)
IL,2010,1,153.63,(0.84)
IL,2010,2,152.94,(0.82)
IL,2010,3,155.41,(0.80)
IL,2010,4,154.94,(0.80)
IL,2011,1,152.87,(0.84)
IL,2011,2,151.22,(0.84)
IL,2011,3,153.17,(0.81)
IL,2011,4,154.01,(0.81)
IL,2012,1,153.22,(0.81)
IL,2012,2,153.43,(0.82)
IL,2012,3,154.96,(0.82)
IL,2012,4,155.10,(0.82)
IL,2013,1,154.92,(0.85)
IL,2013,2,155.19,(0.87)
IL,2013,3,153.73,(0.90)
IL,2013,4,153.60,(0.95)
IL,2014,1,153.08,(1.02)
IL,2014,2,153.90,(0.95)
IL,2014,3,156.20,(0.96)
IL,2014,4,156.48,(0.97)
IL,2015,1,158.56,(0.97)
IL,2015,2,157.78,(0.96)
IL,2015,3,158.51,(1.00)
IL,2015,4,159.78,(1.03)
IL,2016,1,160.02,(1.07)
IL,2016,2,161.17,(1.03)
IL,2016,3,162.90,(0.99)
IL,2016,4,163.95,(1.04)
IL,2017,1,163.76,(1.14)
IL,2017,2,162.74,(1.10)
IL,2017,3,164.54,(1.11)
IL,2017,4,165.97,(1.16)
IL,2018,1,167.39,(1.31)
IL,2018,2,167.82,(1.22)
IL,2018,3,168.19,(1.27)
IL,2018,4,168.04,(1.33)
IL,2019,1,169.55,(1.48)
IN,1995,1,100.00,(0.00)
IN,1995,2,102.35,(0.59)
IN,1995,3,103.62,(0.56)
IN,1995,4,105.56,(0.58)
IN,1996,1,106.17,(0.57)
IN,1996,2,109.04,(0.62)
IN,1996,3,110.92,(0.64)
IN,1996,4,112.71,(0.65)
IN,1997,1,114.08,(0.68)
IN,1997,2,115.88,(0.65)
IN,1997,3,117.57,(0.64)
IN,1997,4,119.40,(0.65)
IN,1998,1,119.97,(0.61)
IN,1998,2,121.97,(0.64)
IN,1998,3,123.73,(0.65)
IN,1998,4,124.85,(0.63)
IN,1999,1,126.39,(0.67)
IN,1999,2,128.26,(0.70)
IN,1999,3,129.60,(0.73)
IN,1999,4,130.22,(0.76)
IN,2000,1,131.90,(0.77)
IN,2000,2,132.70,(0.72)
IN,2000,3,134.70,(0.72)
IN,2000,4,135.91,(0.72)
IN,2001,1,139.01,(0.71)
IN,2001,2,140.23,(0.70)
IN,2001,3,141.06,(0.71)
IN,2001,4,142.03,(0.70)
IN,2002,1,143.37,(0.72)
IN,2002,2,143.80,(0.73)
IN,2002,3,145.13,(0.72)
IN,2002,4,145.51,(0.72)
IN,2003,1,146.50,(0.73)
IN,2003,2,147.74,(0.73)
IN,2003,3,149.07,(0.75)
IN,2003,4,150.57,(0.80)
IN,2004,1,151.53,(0.80)
IN,2004,2,151.72,(0.80)
IN,2004,3,153.94,(0.84)
IN,2004,4,155.29,(0.85)
IN,2005,1,156.66,(0.87)
IN,2005,2,158.74,(0.87)
IN,2005,3,159.98,(0.88)
IN,2005,4,160.57,(0.91)
IN,2006,1,160.07,(0.92)
IN,2006,2,159.88,(0.90)
IN,2006,3,161.32,(0.89)
IN,2006,4,162.92,(0.90)
IN,2007,1,162.42,(0.91)
IN,2007,2,163.69,(0.89)
IN,2007,3,162.69,(0.89)
IN,2007,4,163.36,(0.89)
IN,2008,1,164.83,(0.88)
IN,2008,2,163.46,(0.90)
IN,2008,3,161.00,(0.92)
IN,2008,4,161.91,(0.92)
IN,2009,1,164.27,(0.85)
IN,2009,2,161.74,(0.84)
IN,2009,3,158.33,(0.87)
IN,2009,4,158.62,(0.88)
IN,2010,1,154.94,(0.90)
IN,2010,2,156.42,(0.90)
IN,2010,3,158.28,(0.85)
IN,2010,4,158.40,(0.85)
IN,2011,1,155.81,(0.92)
IN,2011,2,154.50,(0.92)
IN,2011,3,155.80,(0.88)
IN,2011,4,157.21,(0.86)
IN,2012,1,155.89,(0.88)
IN,2012,2,155.66,(0.90)
IN,2012,3,156.84,(0.88)
IN,2012,4,157.32,(0.88)
IN,2013,1,157.85,(0.90)
IN,2013,2,157.65,(0.92)
IN,2013,3,156.37,(0.98)
IN,2013,4,157.83,(1.04)
IN,2014,1,157.50,(1.11)
IN,2014,2,158.90,(1.06)
IN,2014,3,160.26,(1.05)
IN,2014,4,161.19,(1.08)
IN,2015,1,163.40,(1.07)
IN,2015,2,165.06,(1.11)
IN,2015,3,164.80,(1.10)
IN,2015,4,167.84,(1.16)
IN,2016,1,166.09,(1.20)
IN,2016,2,171.35,(1.16)
IN,2016,3,172.08,(1.12)
IN,2016,4,173.60,(1.15)
IN,2017,1,172.59,(1.28)
IN,2017,2,174.55,(1.25)
IN,2017,3,178.80,(1.26)
IN,2017,4,180.73,(1.30)
IN,2018,1,183.62,(1.47)
IN,2018,2,187.12,(1.43)
IN,2018,3,190.00,(1.42)
IN,2018,4,191.16,(1.53)
IN,2019,1,192.91,(1.67)
KS,1995,1,100.00,(0.00)
KS,1995,2,103.04,(0.90)
KS,1995,3,105.00,(0.86)
KS,1995,4,107.36,(0.87)
KS,1996,1,107.39,(0.87)
KS,1996,2,109.03,(0.89)
KS,1996,3,110.38,(0.93)
KS,1996,4,112.34,(0.95)
KS,1997,1,113.07,(1.00)
KS,1997,2,114.54,(0.98)
KS,1997,3,115.28,(0.94)
KS,1997,4,117.47,(0.96)
KS,1998,1,117.80,(0.89)
KS,1998,2,119.07,(0.91)
KS,1998,3,120.74,(0.94)
KS,1998,4,121.72,(0.91)
KS,1999,1,123.36,(0.95)
KS,1999,2,124.35,(0.98)
KS,1999,3,124.10,(1.00)
KS,1999,4,123.47,(1.03)
KS,2000,1,126.27,(1.06)
KS,2000,2,126.88,(1.00)
KS,2000,3,128.20,(0.99)
KS,2000,4,128.88,(1.01)
KS,2001,1,132.00,(0.98)
KS,2001,2,133.26,(0.98)
KS,2001,3,133.92,(0.99)
KS,2001,4,135.24,(0.98)
KS,2002,1,136.73,(1.01)
KS,2002,2,137.25,(1.02)
KS,2002,3,138.55,(1.01)
KS,2002,4,139.49,(1.01)
KS,2003,1,140.21,(1.02)
KS,2003,2,141.04,(1.02)
KS,2003,3,142.75,(1.04)
KS,2003,4,144.73,(1.11)
KS,2004,1,145.37,(1.11)
KS,2004,2,147.76,(1.12)
KS,2004,3,147.92,(1.14)
KS,2004,4,149.68,(1.17)
KS,2005,1,149.78,(1.20)
KS,2005,2,151.85,(1.19)
KS,2005,3,154.38,(1.19)
KS,2005,4,154.72,(1.24)
KS,2006,1,155.68,(1.27)
KS,2006,2,157.64,(1.24)
KS,2006,3,159.14,(1.24)
KS,2006,4,161.66,(1.29)
KS,2007,1,160.58,(1.28)
KS,2007,2,163.90,(1.27)
KS,2007,3,164.61,(1.28)
KS,2007,4,164.66,(1.29)
KS,2008,1,166.11,(1.28)
KS,2008,2,165.93,(1.30)
KS,2008,3,164.96,(1.32)
KS,2008,4,165.92,(1.35)
KS,2009,1,167.80,(1.26)
KS,2009,2,167.89,(1.28)
KS,2009,3,167.30,(1.35)
KS,2009,4,168.26,(1.37)
KS,2010,1,166.73,(1.39)
KS,2010,2,167.38,(1.37)
KS,2010,3,169.44,(1.32)
KS,2010,4,170.06,(1.32)
KS,2011,1,168.51,(1.41)
KS,2011,2,165.54,(1.41)
KS,2011,3,169.52,(1.38)
KS,2011,4,170.10,(1.36)
KS,2012,1,170.11,(1.39)
KS,2012,2,170.71,(1.41)
KS,2012,3,172.04,(1.38)
KS,2012,4,172.66,(1.39)
KS,2013,1,173.42,(1.42)
KS,2013,2,172.39,(1.42)
KS,2013,3,174.26,(1.45)
KS,2013,4,174.50,(1.56)
KS,2014,1,176.91,(1.62)
KS,2014,2,176.92,(1.57)
KS,2014,3,179.51,(1.59)
KS,2014,4,178.42,(1.64)
KS,2015,1,181.84,(1.64)
KS,2015,2,180.14,(1.60)
KS,2015,3,182.33,(1.66)
KS,2015,4,185.70,(1.75)
KS,2016,1,186.00,(1.76)
KS,2016,2,189.13,(1.72)
KS,2016,3,189.79,(1.67)
KS,2016,4,190.85,(1.79)
KS,2017,1,191.42,(2.04)
KS,2017,2,193.65,(1.85)
KS,2017,3,194.08,(1.92)
KS,2017,4,196.86,(1.97)
KS,2018,1,196.53,(2.13)
KS,2018,2,198.29,(2.05)
KS,2018,3,200.89,(2.09)
KS,2018,4,199.69,(2.33)
KS,2019,1,203.65,(2.40)
KY,1995,1,100.00,(0.00)
KY,1995,2,101.82,(0.74)
KY,1995,3,104.02,(0.73)
KY,1995,4,104.31,(0.73)
KY,1996,1,106.23,(0.69)
KY,1996,2,106.39,(0.75)
KY,1996,3,107.50,(0.77)
KY,1996,4,109.68,(0.79)
KY,1997,1,111.19,(0.82)
KY,1997,2,111.59,(0.77)
KY,1997,3,113.10,(0.77)
KY,1997,4,114.52,(0.77)
KY,1998,1,115.31,(0.73)
KY,1998,2,116.11,(0.75)
KY,1998,3,117.48,(0.76)
KY,1998,4,119.55,(0.75)
KY,1999,1,120.19,(0.78)
KY,1999,2,120.86,(0.80)
KY,1999,3,121.53,(0.82)
KY,1999,4,122.00,(0.84)
KY,2000,1,123.06,(0.85)
KY,2000,2,124.61,(0.83)
KY,2000,3,125.54,(0.83)
KY,2000,4,126.62,(0.83)
KY,2001,1,129.32,(0.82)
KY,2001,2,130.44,(0.81)
KY,2001,3,131.71,(0.83)
KY,2001,4,132.61,(0.82)
KY,2002,1,133.47,(0.83)
KY,2002,2,134.35,(0.84)
KY,2002,3,135.88,(0.84)
KY,2002,4,137.12,(0.84)
KY,2003,1,138.48,(0.85)
KY,2003,2,139.62,(0.86)
KY,2003,3,140.51,(0.87)
KY,2003,4,143.37,(0.93)
KY,2004,1,144.31,(0.92)
KY,2004,2,145.47,(0.93)
KY,2004,3,147.24,(0.96)
KY,2004,4,150.53,(0.98)
KY,2005,1,151.54,(1.00)
KY,2005,2,153.59,(1.01)
KY,2005,3,156.51,(1.01)
KY,2005,4,157.73,(1.04)
KY,2006,1,160.02,(1.06)
KY,2006,2,160.83,(1.06)
KY,2006,3,162.32,(1.06)
KY,2006,4,164.66,(1.07)
KY,2007,1,166.11,(1.09)
KY,2007,2,167.75,(1.09)
KY,2007,3,167.76,(1.08)
KY,2007,4,169.70,(1.10)
KY,2008,1,170.13,(1.08)
KY,2008,2,171.06,(1.11)
KY,2008,3,168.73,(1.11)
KY,2008,4,170.17,(1.12)
KY,2009,1,171.63,(1.08)
KY,2009,2,170.21,(1.08)
KY,2009,3,168.16,(1.11)
KY,2009,4,168.22,(1.11)
KY,2010,1,167.16,(1.13)
KY,2010,2,165.73,(1.11)
KY,2010,3,169.25,(1.10)
KY,2010,4,169.17,(1.09)
KY,2011,1,167.08,(1.14)
KY,2011,2,164.41,(1.14)
KY,2011,3,167.05,(1.11)
KY,2011,4,167.58,(1.10)
KY,2012,1,168.24,(1.12)
KY,2012,2,168.15,(1.14)
KY,2012,3,168.61,(1.12)
KY,2012,4,170.17,(1.12)
KY,2013,1,169.24,(1.13)
KY,2013,2,168.33,(1.14)
KY,2013,3,168.64,(1.18)
KY,2013,4,166.88,(1.24)
KY,2014,1,167.24,(1.28)
KY,2014,2,167.98,(1.23)
KY,2014,3,168.48,(1.23)
KY,2014,4,170.88,(1.29)
KY,2015,1,171.48,(1.27)
KY,2015,2,173.27,(1.31)
KY,2015,3,174.34,(1.30)
KY,2015,4,173.97,(1.36)
KY,2016,1,175.25,(1.41)
KY,2016,2,176.76,(1.36)
KY,2016,3,179.00,(1.33)
KY,2016,4,179.23,(1.34)
KY,2017,1,180.39,(1.48)
KY,2017,2,181.25,(1.45)
KY,2017,3,186.20,(1.47)
KY,2017,4,185.94,(1.48)
KY,2018,1,190.50,(1.67)
KY,2018,2,192.35,(1.62)
KY,2018,3,193.69,(1.62)
KY,2018,4,194.33,(1.74)
KY,2019,1,192.05,(1.81)
LA,1995,1,100.00,(0.00)
LA,1995,2,101.25,(1.67)
LA,1995,3,102.25,(1.62)
LA,1995,4,102.78,(1.59)
LA,1996,1,107.56,(1.56)
LA,1996,2,106.79,(1.68)
LA,1996,3,106.61,(1.69)
LA,1996,4,107.55,(1.81)
LA,1997,1,108.49,(1.79)
LA,1997,2,109.58,(1.67)
LA,1997,3,111.46,(1.73)
LA,1997,4,113.32,(1.77)
LA,1998,1,116.26,(1.67)
LA,1998,2,115.97,(1.68)
LA,1998,3,117.06,(1.68)
LA,1998,4,118.91,(1.67)
LA,1999,1,119.87,(1.71)
LA,1999,2,120.40,(1.76)
LA,1999,3,121.35,(1.77)
LA,1999,4,120.76,(1.84)
LA,2000,1,123.60,(1.83)
LA,2000,2,123.98,(1.79)
LA,2000,3,125.88,(1.79)
LA,2000,4,125.48,(1.80)
LA,2001,1,128.83,(1.77)
LA,2001,2,129.51,(1.75)
LA,2001,3,131.79,(1.79)
LA,2001,4,131.79,(1.76)
LA,2002,1,134.51,(1.82)
LA,2002,2,135.46,(1.85)
LA,2002,3,137.02,(1.85)
LA,2002,4,139.95,(1.88)
LA,2003,1,142.23,(1.91)
LA,2003,2,141.74,(1.88)
LA,2003,3,143.59,(1.91)
LA,2003,4,145.87,(2.04)
LA,2004,1,146.51,(2.07)
LA,2004,2,149.09,(2.07)
LA,2004,3,151.45,(2.15)
LA,2004,4,152.00,(2.15)
LA,2005,1,153.34,(2.22)
LA,2005,2,156.68,(2.21)
LA,2005,3,161.10,(2.27)
LA,2005,4,161.72,(2.30)
LA,2006,1,168.12,(2.41)
LA,2006,2,170.85,(2.41)
LA,2006,3,175.17,(2.44)
LA,2006,4,178.60,(2.52)
LA,2007,1,180.56,(2.54)
LA,2007,2,184.44,(2.55)
LA,2007,3,184.48,(2.55)
LA,2007,4,188.19,(2.62)
LA,2008,1,189.92,(2.62)
LA,2008,2,191.65,(2.67)
LA,2008,3,190.32,(2.71)
LA,2008,4,189.11,(2.73)
LA,2009,1,193.04,(2.66)
LA,2009,2,191.73,(2.66)
LA,2009,3,191.60,(2.74)
LA,2009,4,191.11,(2.77)
LA,2010,1,189.65,(2.82)
LA,2010,2,192.92,(2.79)
LA,2010,3,193.19,(2.71)
LA,2010,4,195.39,(2.75)
LA,2011,1,189.53,(2.74)
LA,2011,2,189.54,(2.74)
LA,2011,3,192.10,(2.75)
LA,2011,4,196.22,(2.79)
LA,2012,1,193.64,(2.81)
LA,2012,2,191.64,(2.76)
LA,2012,3,196.96,(2.80)
LA,2012,4,198.95,(2.83)
LA,2013,1,195.46,(2.81)
LA,2013,2,197.41,(2.84)
LA,2013,3,199.80,(2.90)
LA,2013,4,202.01,(3.06)
LA,2014,1,201.37,(3.16)
LA,2014,2,204.33,(3.14)
LA,2014,3,208.18,(3.13)
LA,2014,4,205.81,(3.15)
LA,2015,1,210.59,(3.21)
LA,2015,2,209.54,(3.28)
LA,2015,3,212.20,(3.26)
LA,2015,4,210.36,(3.32)
LA,2016,1,215.02,(3.35)
LA,2016,2,216.83,(3.47)
LA,2016,3,217.33,(3.32)
LA,2016,4,221.62,(3.38)
LA,2017,1,219.61,(3.62)
LA,2017,2,219.99,(3.60)
LA,2017,3,223.07,(3.58)
LA,2017,4,222.22,(3.69)
LA,2018,1,224.80,(3.98)
LA,2018,2,225.19,(3.68)
LA,2018,3,227.36,(3.94)
LA,2018,4,224.49,(4.12)
LA,2019,1,229.60,(4.26)
MA,1995,1,100.00,(0.00)
MA,1995,2,100.77,(3.95)
MA,1995,3,105.67,(3.48)
MA,1995,4,104.95,(3.94)
MA,1996,1,105.59,(3.75)
MA,1996,2,110.51,(3.97)
MA,1996,3,116.41,(5.12)
MA,1996,4,117.32,(4.68)
MA,1997,1,113.68,(4.44)
MA,1997,2,119.86,(4.74)
MA,1997,3,121.67,(4.30)
MA,1997,4,126.46,(4.48)
MA,1998,1,127.48,(4.16)
MA,1998,2,129.33,(4.29)
MA,1998,3,133.16,(4.64)
MA,1998,4,139.08,(4.58)
MA,1999,1,141.16,(4.86)
MA,1999,2,149.05,(5.77)
MA,1999,3,160.79,(7.03)
MA,1999,4,178.56,(7.69)
MA,2000,1,193.89,(8.53)
MA,2000,2,203.53,(8.34)
MA,2000,3,218.71,(9.28)
MA,2000,4,232.47,(8.82)
MA,2001,1,230.17,(7.76)
MA,2001,2,232.32,(7.95)
MA,2001,3,231.25,(7.86)
MA,2001,4,237.72,(7.82)
MA,2002,1,241.09,(7.88)
MA,2002,2,242.50,(8.07)
MA,2002,3,252.31,(8.27)
MA,2002,4,255.45,(8.17)
MA,2003,1,257.83,(8.27)
MA,2003,2,259.89,(8.32)
MA,2003,3,266.26,(8.56)
MA,2003,4,273.25,(9.89)
MA,2004,1,280.55,(9.95)
MA,2004,2,297.84,(10.53)
MA,2004,3,308.21,(12.84)
MA,2004,4,348.17,(14.53)
MA,2005,1,346.69,(14.34)
MA,2005,2,348.85,(13.90)
MA,2005,3,366.78,(14.68)
MA,2005,4,373.08,(14.75)
MA,2006,1,371.84,(15.62)
MA,2006,2,391.07,(16.37)
MA,2006,3,386.20,(15.79)
MA,2006,4,403.51,(15.52)
MA,2007,1,396.53,(15.18)
MA,2007,2,407.37,(16.13)
MA,2007,3,375.64,(15.26)
MA,2007,4,382.95,(13.73)
MA,2008,1,377.16,(12.99)
MA,2008,2,367.13,(12.94)
MA,2008,3,356.00,(13.36)
MA,2008,4,362.17,(13.15)
MA,2009,1,372.87,(12.34)
MA,2009,2,354.10,(11.66)
MA,2009,3,350.32,(11.97)
MA,2009,4,335.53,(11.60)
MA,2010,1,332.63,(11.63)
MA,2010,2,327.96,(11.38)
MA,2010,3,336.50,(11.33)
MA,2010,4,335.62,(11.15)
MA,2011,1,327.57,(11.17)
MA,2011,2,318.02,(11.52)
MA,2011,3,334.02,(11.50)
MA,2011,4,326.09,(10.80)
MA,2012,1,328.08,(10.98)
MA,2012,2,320.10,(11.04)
MA,2012,3,326.53,(11.12)
MA,2012,4,329.85,(11.10)
MA,2013,1,333.77,(11.63)
MA,2013,2,327.74,(11.83)
MA,2013,3,309.65,(12.39)
MA,2013,4,338.80,(14.69)
MA,2014,1,317.94,(15.20)
MA,2014,2,343.15,(15.03)
MA,2014,3,342.24,(16.81)
MA,2014,4,341.19,(14.96)
MA,2015,1,341.98,(13.42)
MA,2015,2,364.90,(14.54)
MA,2015,3,349.93,(18.82)
MA,2015,4,384.33,(17.40)
MA,2016,1,376.50,(17.13)
MA,2016,2,396.88,(20.75)
MA,2016,3,382.30,(16.88)
MA,2016,4,388.21,(17.85)
MA,2017,1,396.03,(18.92)
MA,2017,2,399.43,(22.81)
MA,2017,3,387.29,(21.20)
MA,2017,4,399.52,(21.03)
MA,2018,1,427.85,(24.68)
MA,2018,2,459.46,(34.17)
MA,2018,3,426.36,(31.35)
MA,2018,4,415.53,(28.91)
MA,2019,1,435.16,(28.84)
MD,1995,1,100.00,(0.00)
MD,1995,2,102.34,(2.01)
MD,1995,3,103.97,(1.99)
MD,1995,4,107.21,(2.06)
MD,1996,1,106.30,(1.98)
MD,1996,2,108.63,(2.11)
MD,1996,3,104.76,(2.17)
MD,1996,4,107.98,(2.13)
MD,1997,1,107.98,(2.27)
MD,1997,2,109.02,(2.19)
MD,1997,3,110.38,(2.10)
MD,1997,4,112.35,(2.09)
MD,1998,1,113.75,(2.01)
MD,1998,2,114.42,(2.06)
MD,1998,3,116.31,(2.10)
MD,1998,4,116.71,(2.04)
MD,1999,1,119.04,(2.14)
MD,1999,2,120.41,(2.21)
MD,1999,3,118.06,(2.27)
MD,1999,4,121.77,(2.35)
MD,2000,1,126.33,(2.49)
MD,2000,2,124.31,(2.36)
MD,2000,3,127.74,(2.34)
MD,2000,4,129.83,(2.35)
MD,2001,1,132.75,(2.36)
MD,2001,2,134.89,(2.34)
MD,2001,3,138.66,(2.43)
MD,2001,4,140.87,(2.41)
MD,2002,1,144.41,(2.50)
MD,2002,2,147.98,(2.57)
MD,2002,3,152.15,(2.61)
MD,2002,4,155.29,(2.64)
MD,2003,1,156.15,(2.66)
MD,2003,2,160.44,(2.73)
MD,2003,3,163.80,(2.79)
MD,2003,4,174.24,(3.06)
MD,2004,1,177.15,(3.12)
MD,2004,2,185.53,(3.24)
MD,2004,3,196.20,(3.55)
MD,2004,4,205.26,(3.67)
MD,2005,1,214.25,(3.82)
MD,2005,2,226.06,(4.01)
MD,2005,3,235.66,(4.14)
MD,2005,4,244.90,(4.35)
MD,2006,1,249.99,(4.52)
MD,2006,2,257.43,(4.58)
MD,2006,3,259.50,(4.61)
MD,2006,4,259.87,(4.65)
MD,2007,1,264.75,(4.74)
MD,2007,2,265.57,(4.71)
MD,2007,3,263.71,(4.71)
MD,2007,4,262.50,(4.67)
MD,2008,1,263.52,(4.62)
MD,2008,2,259.25,(4.65)
MD,2008,3,251.71,(4.59)
MD,2008,4,247.76,(4.54)
MD,2009,1,249.28,(4.39)
MD,2009,2,245.11,(4.31)
MD,2009,3,234.43,(4.31)
MD,2009,4,226.56,(4.16)
MD,2010,1,218.92,(4.05)
MD,2010,2,217.90,(4.08)
MD,2010,3,215.79,(3.92)
MD,2010,4,215.46,(3.87)
MD,2011,1,209.42,(3.94)
MD,2011,2,206.26,(4.02)
MD,2011,3,207.20,(3.95)
MD,2011,4,208.59,(3.85)
MD,2012,1,203.90,(3.82)
MD,2012,2,199.52,(3.78)
MD,2012,3,203.79,(3.80)
MD,2012,4,207.99,(3.89)
MD,2013,1,200.58,(3.80)
MD,2013,2,201.42,(3.81)
MD,2013,3,199.03,(3.95)
MD,2013,4,195.18,(4.13)
MD,2014,1,196.38,(4.50)
MD,2014,2,193.98,(4.40)
MD,2014,3,197.74,(4.25)
MD,2014,4,195.77,(4.14)
MD,2015,1,196.13,(4.12)
MD,2015,2,196.84,(4.09)
MD,2015,3,201.17,(4.47)
MD,2015,4,201.19,(4.38)
MD,2016,1,202.12,(4.46)
MD,2016,2,203.53,(4.33)
MD,2016,3,210.73,(4.43)
MD,2016,4,206.27,(4.41)
MD,2017,1,209.24,(4.69)
MD,2017,2,207.03,(4.76)
MD,2017,3,213.45,(4.86)
MD,2017,4,219.14,(4.91)
MD,2018,1,214.61,(5.03)
MD,2018,2,217.77,(5.43)
MD,2018,3,223.33,(6.07)
MD,2018,4,223.84,(5.84)
MD,2019,1,219.35,(6.33)
ME,1995,1,100.00,(0.00)
ME,1995,2,100.02,(2.69)
ME,1995,3,103.50,(2.56)
ME,1995,4,97.99,(2.42)
ME,1996,1,105.34,(2.53)
ME,1996,2,98.09,(2.38)
ME,1996,3,98.89,(2.54)
ME,1996,4,101.53,(2.62)
ME,1997,1,101.79,(2.59)
ME,1997,2,100.18,(2.39)
ME,1997,3,102.28,(2.44)
ME,1997,4,106.01,(2.48)
ME,1998,1,105.03,(2.37)
ME,1998,2,103.50,(2.29)
ME,1998,3,105.80,(2.40)
ME,1998,4,107.31,(2.33)
ME,1999,1,107.50,(2.41)
ME,1999,2,107.58,(2.44)
ME,1999,3,109.20,(2.56)
ME,1999,4,109.97,(2.61)
ME,2000,1,110.51,(2.63)
ME,2000,2,112.65,(2.51)
ME,2000,3,114.03,(2.52)
ME,2000,4,116.82,(2.58)
ME,2001,1,118.81,(2.58)
ME,2001,2,122.15,(2.61)
ME,2001,3,122.86,(2.63)
ME,2001,4,126.12,(2.68)
ME,2002,1,128.83,(2.74)
ME,2002,2,130.85,(2.79)
ME,2002,3,134.85,(2.86)
ME,2002,4,135.82,(2.87)
ME,2003,1,139.02,(2.94)
ME,2003,2,140.87,(2.97)
ME,2003,3,144.22,(3.04)
ME,2003,4,149.81,(3.21)
ME,2004,1,154.61,(3.33)
ME,2004,2,158.97,(3.40)
ME,2004,3,165.37,(3.57)
ME,2004,4,171.31,(3.68)
ME,2005,1,174.39,(3.79)
ME,2005,2,179.84,(3.87)
ME,2005,3,182.15,(3.90)
ME,2005,4,189.64,(4.08)
ME,2006,1,189.46,(4.10)
ME,2006,2,190.89,(4.11)
ME,2006,3,194.17,(4.16)
ME,2006,4,198.87,(4.26)
ME,2007,1,199.78,(4.30)
ME,2007,2,199.85,(4.27)
ME,2007,3,196.67,(4.20)
ME,2007,4,199.97,(4.28)
ME,2008,1,202.90,(4.33)
ME,2008,2,201.56,(4.31)
ME,2008,3,196.26,(4.23)
ME,2008,4,194.02,(4.20)
ME,2009,1,195.81,(4.16)
ME,2009,2,193.28,(4.11)
ME,2009,3,187.82,(4.05)
ME,2009,4,187.22,(4.05)
ME,2010,1,185.07,(4.03)
ME,2010,2,183.39,(4.00)
ME,2010,3,184.73,(3.98)
ME,2010,4,186.92,(4.01)
ME,2011,1,183.37,(4.00)
ME,2011,2,180.85,(4.04)
ME,2011,3,182.46,(3.99)
ME,2011,4,182.81,(3.96)
ME,2012,1,178.86,(3.91)
ME,2012,2,177.56,(3.90)
ME,2012,3,178.37,(3.88)
ME,2012,4,178.05,(3.88)
ME,2013,1,177.85,(3.90)
ME,2013,2,180.04,(3.95)
ME,2013,3,177.18,(3.96)
ME,2013,4,174.36,(3.95)
ME,2014,1,173.79,(4.08)
ME,2014,2,176.26,(4.06)
ME,2014,3,179.20,(4.10)
ME,2014,4,180.34,(4.12)
ME,2015,1,180.83,(4.19)
ME,2015,2,180.72,(4.17)
ME,2015,3,182.06,(4.27)
ME,2015,4,178.29,(4.20)
ME,2016,1,183.84,(4.40)
ME,2016,2,182.35,(4.24)
ME,2016,3,188.00,(4.32)
ME,2016,4,190.00,(4.37)
ME,2017,1,188.45,(4.57)
ME,2017,2,188.79,(4.50)
ME,2017,3,190.38,(4.58)
ME,2017,4,196.06,(4.60)
ME,2018,1,192.53,(4.92)
ME,2018,2,201.48,(4.99)
ME,2018,3,197.20,(4.86)
ME,2018,4,198.95,(4.93)
ME,2019,1,201.97,(5.11)
MI,1995,1,100.00,(0.00)
MI,1995,2,101.33,(0.42)
MI,1995,3,102.91,(0.40)
MI,1995,4,104.65,(0.43)
MI,1996,1,105.79,(0.40)
MI,1996,2,108.90,(0.45)
MI,1996,3,111.74,(0.47)
MI,1996,4,113.11,(0.47)
MI,1997,1,115.53,(0.50)
MI,1997,2,116.89,(0.47)
MI,1997,3,119.11,(0.47)
MI,1997,4,120.71,(0.47)
MI,1998,1,121.07,(0.45)
