01.Jan.1990W !W, MBAM@haverw , MBAMP@haverw , MBAMR@HAVERW ,MBA30C@HAVERW
.DESC,"MBA: Market Volume Index: All Mortgage Loan Applications (SA, Mar-16-90=100)"," MBA: Volume Index: Mortgage Loan Applications for Purchase (SA, Mar-16-90=100) "," MBA: Volume Index: Mortgage Loan Applications for Refinancing(SA, Mar-16-90=100) ",MBA: FRM 30-Year: Contract Interest Rate (%)
.FRQ,Weekly (Fri), Weekly (Fri) , Weekly (Fri) ,Weekly (Fri)
07.May.1999W,399.5,289.0,1042.1,7.07
14.May.1999W,358.5,271.1,867.1,7.17
21.May.1999W,372.0,292.9,832.2,7.27
28.May.1999W,381.3,300.1,853.7,7.41
04.Jun.1999W,371.9,305.5,758.5,7.57
11.Jun.1999W,382.3,327.2,702.7,7.75
18.Jun.1999W,350.7,301.6,636.1,7.59
25.Jun.1999W,349.3,304.1,612.2,7.81
02.Jul.1999W,357.6,317.9,588.4,7.65
09.Jul.1999W,310.5,274.1,522.0,7.64
16.Jul.1999W,310.3,276.3,508.3,7.61
23.Jul.1999W,300.3,267.6,490.8,7.86
30.Jul.1999W,317.6,293.4,458.1,7.95
06.Aug.1999W,304.6,277.5,462.3,8.18
13.Aug.1999W,297.8,271.8,449.2,7.96
20.Aug.1999W,295.8,271.0,440.4,7.92
27.Aug.1999W,314.0,289.1,459.1,7.93
03.Sep.1999W,274.9,254.1,395.9,7.99
10.Sep.1999W,295.6,278.7,394.1,7.90
17.Sep.1999W,285.8,266.4,398.7,7.78
24.Sep.1999W,279.0,260.2,388.4,7.75
01.Oct.1999W,307.3,288.8,414.6,7.86
08.Oct.1999W,284.6,262.7,412.2,7.86
15.Oct.1999W,294.8,277.3,396.3,8.04
22.Oct.1999W,274.2,255.4,383.2,8.06
29.Oct.1999W,298.0,277.7,415.9,7.92
05.Nov.1999W,294.5,268.8,443.7,7.72
12.Nov.1999W,319.7,298.5,443.1,7.72
19.Nov.1999W,340.0,315.7,481.8,7.76
26.Nov.1999W,316.4,298.9,418.0,7.88
03.Dec.1999W,302.4,287.9,386.4,7.92
10.Dec.1999W,300.8,285.8,388.1,7.78
17.Dec.1999W,294.5,284.3,354.1,8.06
24.Dec.1999W,265.7,253.3,338.1,8.02
31.Dec.1999W,247.5,238.0,302.9,8.08
07.Jan.2000W,268.7,254.6,350.8,8.24
14.Jan.2000W,306.4,292.0,390.5,8.29
21.Jan.2000W,304.8,286.1,413.6,8.34
28.Jan.2000W,306.1,292.6,384.4,8.35
04.Feb.2000W,326.1,307.1,436.7,8.39
11.Feb.2000W,285.8,270.8,373.1,8.40
18.Feb.2000W,273.1,262.4,335.6,8.42
25.Feb.2000W,288.4,278.4,346.6,8.23
03.Mar.2000W,304.3,291.7,377.5,8.25
10.Mar.2000W,300.6,290.0,361.8,8.31
17.Mar.2000W,301.3,293.5,346.2,8.23
24.Mar.2000W,323.1,312.2,386.6,8.26
31.Mar.2000W,300.4,293.5,340.6,8.27
07.Apr.2000W,323.6,316.6,364.2,8.22
14.Apr.2000W,308.8,300.8,354.8,8.11
21.Apr.2000W,308.5,302.8,341.9,8.15
28.Apr.2000W,304.8,299.4,336.2,8.35
05.May.2000W,323.7,322.4,331.3,8.54
12.May.2000W,301.7,296.6,330.9,8.66
19.May.2000W,312.1,309.6,326.2,8.62
26.May.2000W,286.8,286.5,288.8,8.46
02.Jun.2000W,332.5,335.0,318.1,8.23
09.Jun.2000W,312.4,309.5,329.4,8.30
16.Jun.2000W,309.2,305.7,329.3,8.19
23.Jun.2000W,307.8,305.8,319.2,8.33
30.Jun.2000W,321.1,318.1,338.5,8.25
07.Jul.2000W,303.5,298.0,335.4,8.17
14.Jul.2000W,337.2,331.2,371.9,8.23
21.Jul.2000W,319.9,313.1,359.6,8.18
28.Jul.2000W,312.4,306.6,346.0,8.21
04.Aug.2000W,332.2,327.4,360.1,8.04
11.Aug.2000W,326.5,313.3,403.3,7.86
18.Aug.2000W,307.5,294.4,383.6,8.04
25.Aug.2000W,312.8,298.6,395.0,7.91
01.Sep.2000W,321.6,307.4,404.5,7.85
08.Sep.2000W,343.2,324.4,452.9,7.97
15.Sep.2000W,336.7,318.8,440.7,7.90
22.Sep.2000W,328.9,307.9,451.3,7.83
29.Sep.2000W,342.5,320.4,470.6,7.80
06.Oct.2000W,328.1,302.8,475.0,7.87
13.Oct.2000W,338.6,311.1,498.6,7.79
20.Oct.2000W,341.0,298.7,587.2,7.58
27.Oct.2000W,356.0,304.6,654.6,7.70
03.Nov.2000W,360.5,310.5,651.2,7.76
10.Nov.2000W,380.4,327.1,690.4,7.72
17.Nov.2000W,350.4,307.0,602.7,7.61
24.Nov.2000W,346.5,307.0,576.4,7.60
01.Dec.2000W,382.3,333.8,663.9,7.47
08.Dec.2000W,404.8,344.0,758.4,7.37
15.Dec.2000W,371.9,302.2,777.2,7.18
22.Dec.2000W,353.8,278.2,794.1,7.09
29.Dec.2000W,298.3,218.7,761.5,7.14
05.Jan.2001W,480.5,292.8,1572.1,6.79
12.Jan.2001W,694.9,332.9,2800.6,7.04
19.Jan.2001W,595.3,332.6,2123.3,7.04
26.Jan.2001W,546.6,298.1,1992.1,7.03
02.Feb.2001W,649.1,311.5,2612.5,6.91
09.Feb.2001W,625.3,277.6,2647.7,6.90
16.Feb.2001W,578.2,274.3,2346.1,7.09
23.Feb.2001W,562.6,291.4,2140.4,7.04
02.Mar.2001W,647.8,321.9,2543.6,6.97
09.Mar.2001W,579.6,289.9,2264.8,6.90
16.Mar.2001W,557.0,299.8,2053.0,6.82
23.Mar.2001W,659.9,291.6,2802.5,6.84
30.Mar.2001W,650.8,294.0,2726.1,6.99
06.Apr.2001W,616.0,304.6,2427.2,6.90
13.Apr.2001W,572.7,295.9,2182.8,7.15
20.Apr.2001W,534.7,290.5,1954.9,7.07
27.Apr.2001W,587.6,309.8,2203.7,7.18
04.May.2001W,558.9,316.3,1970.0,7.01
11.May.2001W,560.4,321.9,1948.1,7.20
18.May.2001W,475.4,291.2,1546.8,7.16
25.May.2001W,495.9,302.2,1622.5,7.29
01.Jun.2001W,521.5,344.1,1553.6,7.16
08.Jun.2001W,553.3,342.9,1776.9,7.12
15.Jun.2001W,510.3,324.2,1593.1,7.09
22.Jun.2001W,482.5,307.9,1497.8,7.01
29.Jun.2001W,486.3,308.3,1521.6,7.27
06.Jul.2001W,432.4,300.4,1200.0,7.17
13.Jul.2001W,468.4,310.4,1387.4,7.09
20.Jul.2001W,509.2,324.9,1581.4,6.99
27.Jul.2001W,507.2,312.0,1643.0,6.96
03.Aug.2001W,525.3,318.2,1730.1,7.00
10.Aug.2001W,508.4,300.7,1716.0,6.87
17.Aug.2001W,509.8,293.2,1769.8,6.85
24.Aug.2001W,552.2,295.0,2048.4,6.83
31.Aug.2001W,617.8,317.4,2365.0,6.83
07.Sep.2001W,601.8,310.5,2295.9,6.73
14.Sep.2001W,533.3,282.4,1992.9,6.64
21.Sep.2001W,640.0,283.5,2713.9,6.63
28.Sep.2001W,771.1,308.8,3459.8,6.52
05.Oct.2001W,860.1,271.2,4285.7,6.49
12.Oct.2001W,1015.4,286.9,5252.6,6.61
19.Oct.2001W,897.3,264.1,4580.3,6.59
26.Oct.2001W,843.5,265.9,4203.5,6.47
02.Nov.2001W,1037.9,318.4,5223.2,6.40
09.Nov.2001W,1055.5,285.4,5534.5,6.37
16.Nov.2001W,985.8,296.0,4998.3,6.84
23.Nov.2001W,905.1,324.3,4283.6,6.98
30.Nov.2001W,745.5,350.9,3040.7,6.83
07.Dec.2001W,693.2,342.7,2731.6,7.11
14.Dec.2001W,562.4,320.6,1968.8,7.23
21.Dec.2001W,535.2,302.9,1886.5,7.13
28.Dec.2001W,439.2,293.8,1284.8,7.12
04.Jan.2002W,570.7,375.9,1703.7,7.04
11.Jan.2002W,581.7,348.6,1937.6,6.69
18.Jan.2002W,723.4,371.8,2768.3,6.92
25.Jan.2002W,538.9,328.5,1762.9,7.04
01.Feb.2002W,567.3,340.9,1884.2,6.85
08.Feb.2002W,581.7,314.7,2134.9,6.81
15.Feb.2002W,530.5,290.2,1927.9,6.78
22.Feb.2002W,551.1,315.5,1921.6,6.74
01.Mar.2002W,631.2,335.4,2351.7,6.81
08.Mar.2002W,530.0,314.6,1783.0,7.08
15.Mar.2002W,471.6,310.9,1406.3,7.11
22.Mar.2002W,494.8,330.4,1450.6,7.14
29.Mar.2002W,485.3,349.9,1272.3,7.14
05.Apr.2002W,462.0,332.8,1213.5,6.96
12.Apr.2002W,470.6,337.3,1246.1,6.92
19.Apr.2002W,493.8,351.6,1320.6,6.84
26.Apr.2002W,539.3,368.4,1533.5,6.82
03.May.2002W,583.2,382.7,1749.9,6.66
10.May.2002W,532.5,356.5,1556.2,6.76
17.May.2002W,502.9,344.3,1425.8,6.72
24.May.2002W,516.9,348.3,1497.5,6.70
31.May.2002W,587.4,414.0,1596.4,6.66
07.Jun.2002W,554.9,359.0,1693.8,6.65
14.Jun.2002W,565.5,359.3,1764.4,6.53
21.Jun.2002W,705.8,396.5,2504.8,6.45
28.Jun.2002W,708.7,377.9,2632.5,6.47
05.Jul.2002W,732.0,408.0,2616.6,6.46
12.Jul.2002W,722.2,377.1,2729.5,6.31
19.Jul.2002W,815.2,351.4,3512.4,6.26
26.Jul.2002W,1004.3,360.5,4748.8,6.32
02.Aug.2002W,1066.9,374.0,5097.3,6.17
09.Aug.2002W,1012.1,353.0,4845.8,6.13
16.Aug.2002W,1127.4,371.6,5523.6,6.18
23.Aug.2002W,1079.7,344.7,5355.4,6.16
30.Aug.2002W,1059.5,359.7,5129.6,5.99
06.Sep.2002W,1238.2,401.6,6104.3,6.10
13.Sep.2002W,1130.1,357.4,5625.0,5.90
20.Sep.2002W,1183.8,359.7,5977.2,5.85
27.Sep.2002W,1285.4,359.4,6671.4,5.84
04.Oct.2002W,1317.0,352.5,6926.9,5.87
11.Oct.2002W,1288.4,341.9,6793.8,5.96
18.Oct.2002W,1128.3,361.5,5588.7,6.21
25.Oct.2002W,911.0,338.6,4240.4,6.01
01.Nov.2002W,1030.5,369.5,4875.1,6.03
08.Nov.2002W,992.3,333.3,4825.6,5.74
15.Nov.2002W,1200.2,345.0,6174.1,5.94
22.Nov.2002W,1131.0,350.2,5672.3,6.00
29.Nov.2002W,939.0,386.6,4151.9,6.09
06.Dec.2002W,862.7,358.8,3793.8,5.95
13.Dec.2002W,985.5,379.9,4507.6,5.91
20.Dec.2002W,908.3,359.4,4101.0,5.74
27.Dec.2002W,950.9,332.4,4548.8,5.69
03.Jan.2003W,1182.3,376.2,5871.1,5.85
10.Jan.2003W,1154.3,358.0,5786.4,5.84
17.Jan.2003W,1100.3,355.3,5433.4,5.74
24.Jan.2003W,1171.2,365.5,5858.1,5.72
31.Jan.2003W,1141.4,371.1,5621.6,5.72
07.Feb.2003W,1083.1,328.8,5470.3,5.68
14.Feb.2003W,1082.8,334.1,5438.1,5.69
21.Feb.2003W,1142.3,309.0,5989.6,5.65
28.Feb.2003W,1265.4,345.9,6614.0,5.57
07.Mar.2003W,1603.1,345.0,8920.9,5.42
14.Mar.2003W,1673.4,347.3,9387.0,5.61
21.Mar.2003W,1520.9,383.7,8135.7,5.81
28.Mar.2003W,1262.5,364.7,6484.6,5.63
04.Apr.2003W,1246.1,400.8,6162.8,5.80
11.Apr.2003W,1134.6,376.1,5546.7,5.70
18.Apr.2003W,1055.8,359.9,5103.9,5.67
25.Apr.2003W,1050.8,356.0,5092.0,5.51
02.May.2003W,1246.6,416.0,6077.8,5.53
09.May.2003W,1417.8,415.2,7250.0,5.27
16.May.2003W,1562.8,395.8,8351.1,5.17
23.May.2003W,1634.6,395.7,8840.9,5.14
30.May.2003W,1856.7,460.5,9977.8,5.13
06.Jun.2003W,1684.6,418.9,9046.9,5.06
13.Jun.2003W,1701.7,419.1,9162.7,4.99
20.Jun.2003W,1554.5,411.2,8204.6,5.10
27.Jun.2003W,1635.5,438.4,8599.1,5.23
04.Jul.2003W,1346.3,414.1,6768.3,5.37
11.Jul.2003W,1358.2,447.2,6657.2,5.33
18.Jul.2003W,1284.3,442.4,6181.2,5.72
25.Jul.2003W,972.4,426.9,4145.8,5.87
01.Aug.2003W,983.2,456.4,4047.5,6.37
08.Aug.2003W,824.6,409.6,3238.4,6.00
15.Aug.2003W,736.7,389.5,2756.8,6.22
22.Aug.2003W,638.6,375.5,2169.0,6.22
29.Aug.2003W,628.7,396.1,1981.5,6.25
05.Sep.2003W,771.8,408.8,2883.6,5.99
12.Sep.2003W,726.7,432.4,2438.5,5.91
19.Sep.2003W,699.6,402.1,2429.7,5.85
26.Sep.2003W,707.2,398.0,2505.8,5.67
03.Oct.2003W,817.3,441.1,3005.5,5.79
10.Oct.2003W,649.6,359.0,2340.1,5.81
17.Oct.2003W,652.8,386.1,2204.1,5.97
24.Oct.2003W,649.6,363.9,2311.8,5.83
31.Oct.2003W,685.2,404.3,2319.4,5.85
07.Nov.2003W,626.0,375.4,2084.2,5.94
14.Nov.2003W,663.2,425.9,2043.9,5.64
21.Nov.2003W,775.6,459.9,2612.2,5.73
28.Nov.2003W,685.1,441.8,2100.0,5.93
05.Dec.2003W,601.6,399.8,1775.5,5.76
12.Dec.2003W,677.2,437.2,2072.9,5.71
19.Dec.2003W,631.2,411.6,1908.3,5.62
26.Dec.2003W,574.1,390.1,1644.3,5.73
02.Jan.2004W,599.9,401.3,1755.4,5.81
09.Jan.2004W,702.6,445.9,2195.7,5.56
16.Jan.2004W,916.1,501.6,3327.3,5.55
23.Jan.2004W,868.9,451.6,3296.7,5.58
30.Jan.2004W,855.7,444.0,3250.6,5.63
06.Feb.2004W,797.8,402.2,3099.1,5.60
13.Feb.2004W,837.1,413.9,3298.3,5.46
20.Feb.2004W,854.5,423.5,3361.9,5.49
27.Feb.2004W,878.7,422.6,3532.2,5.49
05.Mar.2004W,889.1,428.6,3567.6,5.34
12.Mar.2004W,1117.1,452.4,4983.7,5.37
19.Mar.2004W,1114.9,448.9,4988.7,5.38
26.Mar.2004W,1091.3,443.8,4857.6,5.49
02.Apr.2004W,1012.9,477.5,4126.7,5.75
09.Apr.2004W,788.6,432.2,2861.6,5.77
16.Apr.2004W,744.5,434.1,2550.3,5.84
23.Apr.2004W,748.0,463.5,2403.0,6.01
30.Apr.2004W,780.9,482.5,2516.0,6.10
07.May.2004W,742.2,494.3,2184.6,6.32
14.May.2004W,654.1,454.2,1816.9,6.21
21.May.2004W,632.4,449.8,1694.9,6.26
28.May.2004W,624.6,459.8,1583.6,6.24
04.Jun.2004W,568.8,432.2,1363.2,6.25
11.Jun.2004W,600.6,449.5,1479.4,6.34
18.Jun.2004W,601.2,454.5,1454.6,6.21
25.Jun.2004W,575.0,435.4,1386.9,6.21
02.Jul.2004W,687.0,500.9,1769.7,5.96
09.Jul.2004W,643.9,468.8,1662.4,5.95
16.Jul.2004W,617.9,440.3,1651.1,5.96
23.Jul.2004W,621.4,444.8,1648.8,5.97
30.Jul.2004W,620.4,452.0,1600.3,5.97
06.Aug.2004W,616.1,440.0,1640.5,5.80
13.Aug.2004W,689.4,467.1,1982.7,5.75
20.Aug.2004W,646.3,443.7,1824.9,5.78
27.Aug.2004W,642.7,443.1,1804.1,5.75
03.Sep.2004W,692.0,476.0,1948.9,5.79
10.Sep.2004W,678.2,455.7,1972.5,5.68
17.Sep.2004W,690.7,456.6,2052.5,5.66
24.Sep.2004W,724.7,469.1,2211.1,5.64
01.Oct.2004W,724.8,459.0,2270.8,5.78
08.Oct.2004W,658.2,436.3,1949.2,5.69
15.Oct.2004W,709.9,461.4,2155.2,5.64
22.Oct.2004W,703.9,440.9,2233.8,5.54
29.Oct.2004W,761.7,496.5,2303.9,5.65
05.Nov.2004W,727.3,483.0,2148.7,5.69
12.Nov.2004W,758.3,480.3,2375.4,5.70
19.Nov.2004W,715.0,463.3,2179.3,5.64
26.Nov.2004W,673.3,460.3,1912.3,5.78
03.Dec.2004W,696.2,490.9,1890.6,5.68
10.Dec.2004W,689.0,488.9,1852.4,5.65
17.Dec.2004W,689.3,471.1,1958.2,5.69
24.Dec.2004W,677.4,483.8,1803.9,5.72
31.Dec.2004W,605.7,417.3,1701.3,5.67
07.Jan.2005W,587.8,393.1,1720.5,5.70
14.Jan.2005W,682.9,448.1,2048.6,5.64
21.Jan.2005W,658.1,439.0,1932.8,5.58
28.Jan.2005W,706.4,440.3,2253.9,5.61
04.Feb.2005W,735.9,444.6,2430.7,5.48
11.Feb.2005W,732.3,423.3,2530.1,5.50
18.Feb.2005W,727.9,417.8,2532.0,5.67
25.Feb.2005W,710.1,440.0,2281.1,5.74
04.Mar.2005W,704.8,451.7,2176.8,5.69
11.Mar.2005W,727.6,462.8,2267.5,5.91
18.Mar.2005W,658.8,446.4,1894.4,5.95
25.Mar.2005W,674.3,470.9,1857.2,6.08
01.Apr.2005W,644.5,446.0,1798.8,5.91
08.Apr.2005W,683.6,474.5,1899.6,5.95
15.Apr.2005W,672.6,466.7,1870.0,5.83
22.Apr.2005W,712.4,482.0,2052.5,5.75
29.Apr.2005W,714.1,482.5,2061.2,5.74
06.May.2005W,781.0,526.2,2263.3,5.77
13.May.2005W,699.2,469.3,2036.7,5.73
20.May.2005W,729.6,482.3,2167.9,5.63
27.May.2005W,709.1,462.7,2142.1,5.61
03.Jun.2005W,755.5,479.3,2362.1,5.55
10.Jun.2005W,887.0,529.3,2967.4,5.62
17.Jun.2005W,786.8,479.4,2575.0,5.63
24.Jun.2005W,778.4,477.4,2529.2,5.47
01.Jul.2005W,853.4,520.8,2788.2,5.58
08.Jul.2005W,791.9,489.0,2554.3,5.62
15.Jul.2005W,801.1,488.7,2618.2,5.72
22.Jul.2005W,754.3,485.1,2320.3,5.72
29.Jul.2005W,752.1,494.5,2250.3,5.83
05.Aug.2005W,745.0,498.8,2176.5,5.91
12.Aug.2005W,761.3,499.3,2285.5,5.79
19.Aug.2005W,756.2,488.4,2313.9,5.78
26.Aug.2005W,722.5,470.6,2187.8,5.73
02.Sep.2005W,771.6,499.1,2357.1,5.64
09.Sep.2005W,760.6,513.4,2198.7,5.72
16.Sep.2005W,772.2,500.3,2353.7,5.81
23.Sep.2005W,721.2,483.1,2106.6,5.85
30.Sep.2005W,713.5,473.8,2107.4,5.94
07.Oct.2005W,694.8,469.5,2004.9,5.98
14.Oct.2005W,737.5,503.9,2095.7,6.09
21.Oct.2005W,679.1,466.4,1916.8,6.06
28.Oct.2005W,646.7,437.6,1862.8,6.21
04.Nov.2005W,661.3,465.7,1798.8,6.31
11.Nov.2005W,657.6,477.9,1702.4,6.33
18.Nov.2005W,635.4,472.3,1584.1,6.26
25.Nov.2005W,624.1,476.2,1484.3,6.20
02.Dec.2005W,656.7,495.1,1596.4,6.32
09.Dec.2005W,619.3,477.9,1441.8,6.28
16.Dec.2005W,594.6,453.1,1418.1,6.22
23.Dec.2005W,554.1,432.9,1259.1,6.21
30.Dec.2005W,545.9,418.3,1363.2,6.15
06.Jan.2006W,600.1,457.4,1497.5,6.08
13.Jan.2006W,613.3,443.9,1645.2,6.07
20.Jan.2006W,660.5,473.7,1773.9,6.04
27.Jan.2006W,626.8,435.7,1747.2,6.20
03.Feb.2006W,619.3,425.1,1751.0,6.25
10.Feb.2006W,574.1,391.7,1636.7,6.25
17.Feb.2006W,578.5,408.7,1571.4,6.22
24.Feb.2006W,571.5,400.8,1573.5,6.18
03.Mar.2006W,575.6,399.0,1614.4,6.31
10.Mar.2006W,574.4,403.0,1583.6,6.42
17.Mar.2006W,565.0,393.6,1574.5,6.31
24.Mar.2006W,571.7,404.1,1558.4,6.36
31.Mar.2006W,612.8,438.2,1640.8,6.49
07.Apr.2006W,579.4,417.7,1532.4,6.50
14.Apr.2006W,569.6,407.4,1526.1,6.56
21.Apr.2006W,548.6,389.4,1489.4,6.53
28.Apr.2006W,596.8,433.3,1565.6,6.57
05.May.2006W,562.1,416.5,1427.4,6.61
12.May.2006W,588.0,426.7,1546.8,6.66
19.May.2006W,552.6,396.4,1480.5,6.61
26.May.2006W,541.9,395.5,1409.0,6.66
02.Jun.2006W,534.4,395.6,1356.0,6.60
09.Jun.2006W,571.9,414.6,1499.4,6.61
16.Jun.2006W,567.6,414.8,1466.1,6.73
23.Jun.2006W,529.6,389.0,1356.0,6.86
30.Jun.2006W,561.0,414.2,1423.9,6.80
07.Jul.2006W,566.8,425.0,1400.5,6.81
14.Jul.2006W,540.8,398.5,1377.6,6.73
21.Jul.2006W,533.8,389.0,1385.2,6.69
28.Jul.2006W,527.6,376.2,1417.2,6.62
04.Aug.2006W,553.3,388.9,1518.1,6.45
11.Aug.2006W,561.2,385.9,1587.5,6.54
18.Aug.2006W,561.5,382.2,1608.5,6.38
25.Aug.2006W,556.5,375.9,1609.2,6.39
01.Sep.2006W,566.3,389.7,1594.7,6.31
08.Sep.2006W,584.2,410.2,1597.0,6.32
15.Sep.2006W,595.8,397.9,1748.7,6.36
22.Sep.2006W,566.5,375.9,1677.5,6.18
29.Sep.2006W,633.9,404.6,1970.8,6.24
06.Oct.2006W,599.1,383.3,1857.0,6.27
13.Oct.2006W,585.8,384.7,1758.2,6.33
20.Oct.2006W,588.6,382.4,1790.4,6.36
27.Oct.2006W,570.8,375.6,1709.2,6.24
03.Nov.2006W,620.9,402.2,1897.9,6.24
10.Nov.2006W,647.5,412.9,2022.2,6.15
17.Nov.2006W,623.6,401.4,1935.3,6.13
24.Nov.2006W,599.0,406.7,1749.6,6.13
01.Dec.2006W,647.6,426.6,1989.7,5.98
08.Dec.2006W,721.2,463.8,2304.4,6.02
15.Dec.2006W,647.6,436.5,1968.8,6.10
22.Dec.2006W,555.8,390.2,1604.6,6.12
29.Dec.2006W,575.6,406.9,1640.4,6.22
05.Jan.2007W,671.1,472.8,1923.8,6.13
12.Jan.2007W,667.2,439.7,2045.8,6.19
19.Jan.2007W,611.3,402.7,1849.1,6.22
26.Jan.2007W,631.1,408.0,1940.2,6.29
02.Feb.2007W,630.1,404.7,1943.4,6.23
09.Feb.2007W,639.8,400.7,2031.7,6.24
16.Feb.2007W,606.6,381.4,1921.1,6.19
23.Feb.2007W,626.1,401.3,1943.5,6.16
02.Mar.2007W,671.6,405.3,2234.2,6.04
09.Mar.2007W,690.5,414.3,2312.2,6.03
16.Mar.2007W,672.1,410.6,2208.6,6.06
23.Mar.2007W,671.0,411.1,2197.7,6.04
30.Mar.2007W,649.5,402.9,2098.3,6.13
06.Apr.2007W,646.6,413.8,2015.0,6.16
13.Apr.2007W,630.6,396.5,2008.4,6.22
20.Apr.2007W,653.3,411.0,2081.6,6.13
27.Apr.2007W,657.2,427.3,2015.8,6.14
04.May.2007W,680.7,438.3,2115.2,6.10
11.May.2007W,675.5,432.3,2115.5,6.13
18.May.2007W,686.2,438.1,2154.7,6.23
25.May.2007W,636.4,427.0,1874.6,6.32
01.Jun.2007W,625.3,433.6,1757.1,6.35
08.Jun.2007W,666.5,464.7,1854.8,6.61
15.Jun.2007W,643.7,450.9,1776.8,6.60
22.Jun.2007W,618.6,428.9,1731.6,6.60
29.Jun.2007W,619.4,437.3,1687.2,6.50
06.Jul.2007W,626.2,453.9,1636.9,6.65
13.Jul.2007W,631.6,446.5,1717.4,6.61
20.Jul.2007W,609.0,424.2,1692.9,6.59
27.Jul.2007W,607.1,416.6,1724.1,6.50
03.Aug.2007W,656.5,447.4,1881.1,6.41
10.Aug.2007W,678.7,464.9,1929.6,6.45
17.Aug.2007W,641.1,441.5,1806.3,6.49
24.Aug.2007W,615.2,424.0,1729.6,6.41
31.Aug.2007W,622.9,425.8,1770.2,6.42
07.Sep.2007W,657.4,448.0,1876.6,6.25
14.Sep.2007W,673.2,452.0,1962.0,6.29
21.Sep.2007W,654.2,418.8,2026.5,6.38
28.Sep.2007W,636.7,411.4,1950.4,6.32
05.Oct.2007W,652.0,420.2,2003.2,6.40
12.Oct.2007W,656.3,429.1,1980.9,6.40
19.Oct.2007W,656.5,415.9,2059.3,6.21
26.Oct.2007W,681.7,412.9,2249.0,6.15
02.Nov.2007W,670.6,412.7,2176.1,6.16
09.Nov.2007W,707.3,432.6,2315.7,6.19
16.Nov.2007W,681.7,424.1,2199.9,6.18
23.Nov.2007W,646.3,403.2,2093.0,6.09
30.Nov.2007W,791.8,464.3,2761.3,5.82
07.Dec.2007W,811.8,472.0,2879.8,6.07
14.Dec.2007W,653.8,422.2,2093.6,6.18
21.Dec.2007W,603.8,394.5,1915.3,6.10
28.Dec.2007W,533.9,360.8,1620.9,6.05
04.Jan.2008W,706.0,414.0,2494.2,5.73
11.Jan.2008W,906.4,461.2,3575.5,5.62
18.Jan.2008W,981.5,439.9,4178.2,5.49
25.Jan.2008W,1054.9,362.0,5103.6,5.60
01.Feb.2008W,1086.6,405.3,5054.0,5.61
08.Feb.2008W,1063.5,403.9,4901.5,5.72
15.Feb.2008W,822.8,357.6,3533.8,6.09
22.Feb.2008W,665.1,358.2,2458.9,6.27
29.Feb.2008W,684.9,363.1,2569.0,5.98
07.Mar.2008W,671.7,368.8,2448.2,6.37
14.Mar.2008W,652.0,365.0,2335.2,5.98
21.Mar.2008W,965.9,403.7,4255.2,5.74
28.Mar.2008W,688.3,356.0,2636.0,5.75
04.Apr.2008W,725.6,384.7,2724.7,5.78
11.Apr.2008W,743.4,381.6,2866.0,5.74
18.Apr.2008W,637.6,357.3,2286.3,6.04
25.Apr.2008W,567.0,340.1,1905.2,6.01
02.May.2008W,655.4,381.3,2273.8,5.91
09.May.2008W,674.4,378.5,2422.1,5.82
16.May.2008W,621.6,352.5,2210.5,5.90
23.May.2008W,593.3,352.7,2013.5,5.96
30.May.2008W,502.3,333.6,1496.1,6.17
06.Jun.2008W,557.1,376.2,1622.1,6.24
13.Jun.2008W,508.4,360.2,1378.6,6.57
20.Jun.2008W,461.3,333.4,1212.2,6.39
27.Jun.2008W,477.7,342.8,1269.2,6.33
04.Jul.2008W,513.4,365.8,1379.3,6.43
11.Jul.2008W,522.2,359.7,1474.9,6.22
18.Jul.2008W,489.6,335.6,1392.7,6.59
25.Jul.2008W,420.8,309.5,1074.4,6.46
01.Aug.2008W,432.6,315.2,1121.8,6.41
08.Aug.2008W,425.9,315.2,1074.6,6.57
15.Aug.2008W,419.3,314.0,1034.5,6.47
22.Aug.2008W,421.6,315.9,1038.0,6.44
29.Aug.2008W,453.1,349.0,1059.7,6.39
05.Sep.2008W,496.2,371.5,1222.9,6.06
12.Sep.2008W,661.7,380.4,2300.0,5.82
19.Sep.2008W,591.4,342.2,2043.4,6.08
26.Sep.2008W,455.4,304.8,1333.9,6.07
03.Oct.2008W,465.5,314.5,1345.8,5.99
10.Oct.2008W,489.3,313.5,1514.2,6.47
17.Oct.2008W,408.1,279.3,1158.8,6.28
24.Oct.2008W,476.7,303.1,1489.4,6.26
31.Oct.2008W,379.9,260.9,1075.4,6.47
07.Nov.2008W,425.0,284.4,1248.4,6.24
14.Nov.2008W,398.6,248.5,1281.2,6.16
21.Nov.2008W,404.4,261.6,1254.0,5.99
28.Nov.2008W,857.7,361.1,3802.8,5.47
05.Dec.2008W,817.7,299.6,3901.9,5.44
12.Dec.2008W,841.4,286.1,4156.0,5.18
19.Dec.2008W,1245.4,316.5,6758.6,5.04
26.Dec.2008W,1245.7,320.9,6733.8,5.03
02.Jan.2009W,1143.8,344.2,5904.5,5.07
09.Jan.2009W,1324.8,295.8,7414.1,4.89
16.Jan.2009W,1195.3,303.1,6491.8,5.24
23.Jan.2009W,732.1,294.3,3373.9,5.22
30.Jan.2009W,795.4,261.4,3906.3,5.28
06.Feb.2009W,600.6,235.9,2722.7,5.19
13.Feb.2009W,875.3,257.3,4472.9,4.99
20.Feb.2009W,743.5,250.5,3618.0,5.07
27.Feb.2009W,649.7,236.4,3063.4,5.14
