01.Jan.1990W !W, MBAM@haverw , MBAMP@haverw , MBAMR@HAVERW ,MBA30C@HAVERW
.DESC,"MBA: Market Volume Index: All Mortgage Loan Applications (SA, Mar-16-90=100)"," MBA: Volume Index: Mortgage Loan Applications for Purchase (SA, Mar-16-90=100) "," MBA: Volume Index: Mortgage Loan Applications for Refinancing(SA, Mar-16-90=100) ",MBA: FRM 30-Year: Contract Interest Rate (%)
.FRQ,Weekly (Fri), Weekly (Fri) , Weekly (Fri) ,Weekly (Fri)
06.Mar.1992W,190.3,115.2,627.0,8.76
13.Mar.1992W,173.5,118.8,491.4,8.80
20.Mar.1992W,154.5,111.8,402.7,8.89
27.Mar.1992W,154.9,117.9,370.3,8.94
03.Apr.1992W,147.3,104.1,398.4,8.61
10.Apr.1992W,145.9,109.6,357.2,8.60
17.Apr.1992W,177.0,146.6,353.9,8.76
24.Apr.1992W,140.3,111.5,308.2,8.80
01.May.1992W,136.5,110.9,285.7,8.76
08.May.1992W,137.3,112.2,283.3,8.63
15.May.1992W,147.1,112.0,351.4,8.50
22.May.1992W,153.9,116.3,372.4,8.65
29.May.1992W,166.5,136.9,339.1,8.52
05.Jun.1992W,150.5,117.3,343.4,8.57
12.Jun.1992W,154.5,118.4,364.4,8.48
19.Jun.1992W,160.6,117.6,410.9,8.41
26.Jun.1992W,151.1,114.9,361.6,8.26
03.Jul.1992W,183.4,128.8,501.1,8.04
10.Jul.1992W,247.0,114.5,1017.8,8.06
17.Jul.1992W,310.0,147.6,1254.7,8.01
24.Jul.1992W,315.1,143.6,1313.2,7.96
31.Jul.1992W,303.3,157.7,1149.6,8.05
07.Aug.1992W,249.0,130.0,941.1,7.90
14.Aug.1992W,276.1,142.4,1053.7,7.83
21.Aug.1992W,282.3,152.4,1037.8,7.86
28.Aug.1992W,284.1,146.2,1086.0,7.94
04.Sep.1992W,267.5,140.9,1003.5,7.69
11.Sep.1992W,313.1,169.5,1148.4,7.73
18.Sep.1992W,288.5,150.3,1091.9,7.91
25.Sep.1992W,265.1,128.0,1062.8,7.87
02.Oct.1992W,255.4,132.2,972.3,7.83
09.Oct.1992W,250.8,131.2,945.9,7.96
16.Oct.1992W,232.3,134.3,802.2,8.02
23.Oct.1992W,242.3,148.6,787.1,8.31
30.Oct.1992W,242.7,148.1,793.0,8.27
06.Nov.1992W,234.0,163.9,642.3,8.32
13.Nov.1992W,184.3,138.8,449.2,8.33
20.Nov.1992W,184.9,147.2,404.3,8.27
27.Nov.1992W,137.6,102.8,340.2,8.29
04.Dec.1992W,168.4,136.1,356.2,8.15
11.Dec.1992W,179.4,152.0,338.5,8.18
18.Dec.1992W,154.1,132.1,281.8,8.08
25.Dec.1992W,161.3,120.7,397.5,8.07
01.Jan.1993W,265.8,176.0,788.0,8.05
08.Jan.1993W,158.1,120.2,378.9,8.03
15.Jan.1993W,168.6,124.9,422.9,7.90
22.Jan.1993W,175.6,125.0,470.2,7.86
29.Jan.1993W,205.9,143.9,566.6,7.74
05.Feb.1993W,205.6,140.7,583.0,7.69
12.Feb.1993W,242.6,141.5,830.4,7.64
19.Feb.1993W,321.6,194.6,1060.1,7.48
26.Feb.1993W,297.1,139.3,1215.2,7.39
05.Mar.1993W,321.6,145.2,1348.0,7.44
12.Mar.1993W,361.4,147.7,1604.2,7.50
19.Mar.1993W,327.4,145.6,1385.4,7.42
26.Mar.1993W,328.4,162.9,1291.0,7.50
02.Apr.1993W,308.5,161.4,1164.2,7.54
09.Apr.1993W,350.5,192.3,1270.3,7.36
16.Apr.1993W,303.7,156.3,1161.0,7.36
23.Apr.1993W,299.4,155.9,1134.5,7.35
30.Apr.1993W,305.5,167.6,1107.5,7.42
07.May.1993W,264.9,143.1,973.4,7.36
14.May.1993W,275.0,151.4,994.0,7.37
21.May.1993W,258.9,149.4,895.7,7.49
28.May.1993W,247.6,156.8,775.7,7.45
04.Jun.1993W,262.6,171.6,791.9,7.44
11.Jun.1993W,246.3,154.2,782.0,7.32
18.Jun.1993W,258.0,158.7,835.3,7.30
25.Jun.1993W,239.3,146.9,776.6,7.13
02.Jul.1993W,274.7,163.2,922.8,7.09
09.Jul.1993W,318.0,175.4,1147.9,7.06
16.Jul.1993W,301.4,157.1,1141.0,7.02
23.Jul.1993W,354.6,179.9,1370.5,7.22
30.Jul.1993W,308.7,155.3,1200.5,7.13
06.Aug.1993W,300.5,154.2,1151.8,7.08
13.Aug.1993W,296.6,151.1,1142.6,6.98
20.Aug.1993W,297.4,146.7,1174.2,6.83
27.Aug.1993W,332.6,154.4,1369.2,6.82
03.Sep.1993W,378.8,173.2,1574.4,6.70
10.Sep.1993W,423.7,180.6,1837.9,6.78
17.Sep.1993W,422.1,186.0,1795.8,6.81
24.Sep.1993W,386.6,168.2,1657.1,6.75
01.Oct.1993W,381.0,164.3,1641.6,6.73
08.Oct.1993W,353.5,158.2,1489.1,6.65
15.Oct.1993W,372.1,170.4,1545.3,6.59
22.Oct.1993W,349.2,167.0,1408.8,6.68
29.Oct.1993W,333.7,160.0,1344.2,6.88
05.Nov.1993W,328.6,170.9,1246.0,7.05
12.Nov.1993W,315.0,167.3,1174.0,7.04
19.Nov.1993W,309.8,181.1,1058.5,7.21
26.Nov.1993W,229.1,129.6,807.5,7.08
03.Dec.1993W,256.9,173.0,745.0,7.17
10.Dec.1993W,254.3,174.2,719.9,7.16
17.Dec.1993W,220.5,160.4,570.3,7.20
24.Dec.1993W,171.6,111.9,518.9,7.13
31.Dec.1993W,226.5,137.5,744.0,7.21
07.Jan.1994W,194.6,111.9,675.8,7.01
14.Jan.1994W,239.8,154.1,738.2,7.05
21.Jan.1994W,204.4,129.8,638.2,6.98
28.Jan.1994W,231.8,143.3,746.7,6.92
04.Feb.1994W,300.7,156.7,1138.5,7.17
11.Feb.1994W,251.4,135.1,928.1,7.07
18.Feb.1994W,228.1,141.0,734.5,7.37
25.Feb.1994W,282.3,187.4,834.1,7.48
04.Mar.1994W,228.4,154.9,655.5,7.63
11.Mar.1994W,204.1,145.6,544.1,7.78
18.Mar.1994W,186.9,142.3,446.7,7.79
25.Mar.1994W,207.6,160.6,481.2,7.97
01.Apr.1994W,237.9,204.9,429.8,8.30
08.Apr.1994W,163.4,146.2,263.6,8.27
15.Apr.1994W,158.0,144.8,234.2,8.42
22.Apr.1994W,172.8,158.2,257.6,8.35
29.Apr.1994W,159.6,151.3,207.8,8.46
06.May.1994W,150.2,145.5,177.7,8.74
13.May.1994W,148.5,143.7,176.4,8.72
20.May.1994W,157.8,154.8,175.5,8.46
27.May.1994W,141.7,139.6,153.9,8.52
03.Jun.1994W,145.8,147.8,134.4,8.33
