"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: April 19, 2019.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Alaska,AK,02,2011,0.47,412.41,237.48,156.94,
Alaska,AK,02,2012,0.09,412.78,237.69,157.08,
Alaska,AK,02,2013,2.84,424.48,244.43,161.54,
Alaska,AK,02,2014,2.35,434.48,250.18,165.34,
Alaska,AK,02,2015,3.07,447.83,257.87,170.42,
Alaska,AK,02,2016,2.23,457.82,263.63,174.23,
Alaska,AK,02,2017,1.49,464.66,267.56,176.83,
Alaska,AK,02,2018,1.29,470.64,271.01,179.10,
Arizona,AZ,04,1975,.,100.00,43.91,29.39,
Arizona,AZ,04,1976,4.17,104.17,45.74,30.62,
Arizona,AZ,04,1977,7.94,112.45,49.38,33.05,
Arizona,AZ,04,1978,15.55,129.93,57.05,38.19,
Arizona,AZ,04,1979,22.53,159.20,69.91,46.79,
Arizona,AZ,04,1980,11.74,177.88,78.11,52.28,
Arizona,AZ,04,1981,8.07,192.23,84.41,56.50,
Arizona,AZ,04,1982,-0.33,191.59,84.13,56.31,
Arizona,AZ,04,1983,5.75,202.61,88.97,59.55,
Arizona,AZ,04,1984,4.16,211.04,92.67,62.03,
Arizona,AZ,04,1985,3.42,218.27,95.84,64.15,
Arizona,AZ,04,1986,5.29,229.80,100.91,67.54,
Arizona,AZ,04,1987,0.93,231.93,101.84,68.17,
Arizona,AZ,04,1988,-0.90,229.86,100.93,67.56,
Arizona,AZ,04,1989,-0.51,228.69,100.42,67.22,
Arizona,AZ,04,1990,-0.42,227.73,100.00,66.94,
Arizona,AZ,04,1991,2.22,232.79,102.22,68.42,
Arizona,AZ,04,1992,2.07,237.60,104.33,69.84,
Arizona,AZ,04,1993,1.74,241.73,106.15,71.05,
Arizona,AZ,04,1994,4.62,252.91,111.05,74.34,
Arizona,AZ,04,1995,6.39,269.07,118.15,79.09,
Arizona,AZ,04,1996,4.19,280.35,123.10,82.40,
Arizona,AZ,04,1997,4.19,292.09,128.26,85.85,
Arizona,AZ,04,1998,4.38,304.87,133.87,89.61,
Arizona,AZ,04,1999,4.33,318.07,139.67,93.49,
Arizona,AZ,04,2000,6.96,340.22,149.40,100.00,
Arizona,AZ,04,2001,6.01,360.66,158.37,106.01,
Arizona,AZ,04,2002,4.98,378.63,166.26,111.29,
Arizona,AZ,04,2003,3.91,393.43,172.76,115.64,
Arizona,AZ,04,2004,11.38,438.20,192.42,128.80,
Arizona,AZ,04,2005,29.95,569.45,250.05,167.37,
Arizona,AZ,04,2006,17.74,670.48,294.42,197.07,
Arizona,AZ,04,2007,-0.71,665.74,292.33,195.68,
Arizona,AZ,04,2008,-12.33,583.64,256.28,171.55,
Arizona,AZ,04,2009,-18.92,473.21,207.79,139.09,
Arizona,AZ,04,2010,-13.17,410.89,180.42,120.77,
Arizona,AZ,04,2011,-10.26,368.71,161.91,108.37,
Arizona,AZ,04,2012,3.99,383.43,168.37,112.70,
Arizona,AZ,04,2013,12.35,430.80,189.17,126.62,
Arizona,AZ,04,2014,10.08,474.23,208.24,139.39,
Arizona,AZ,04,2015,5.28,499.28,219.24,146.75,
Arizona,AZ,04,2016,6.83,533.40,234.22,156.78,
Arizona,AZ,04,2017,8.04,576.30,253.06,169.39,
Arizona,AZ,04,2018,8.10,622.98,273.56,183.11,
Arkansas,AR,05,1975,.,100.00,49.55,36.26,
Arkansas,AR,05,1976,9.91,109.91,54.46,39.85,
Arkansas,AR,05,1977,11.84,122.92,60.90,44.57,
Arkansas,AR,05,1978,8.03,132.79,65.79,48.14,
Arkansas,AR,05,1979,15.84,153.81,76.21,55.77,
Arkansas,AR,05,1980,6.41,163.68,81.10,59.35,
Arkansas,AR,05,1981,4.93,171.74,85.09,62.27,
Arkansas,AR,05,1982,0.42,172.46,85.45,62.53,
Arkansas,AR,05,1983,8.31,186.80,92.55,67.73,
Arkansas,AR,05,1984,2.18,190.87,94.57,69.20,
Arkansas,AR,05,1985,1.80,194.31,96.28,70.45,
Arkansas,AR,05,1986,2.99,200.13,99.16,72.56,
Arkansas,AR,05,1987,0.81,201.74,99.96,73.15,
Arkansas,AR,05,1988,-1.00,199.71,98.95,72.41,
Arkansas,AR,05,1989,0.23,200.17,99.18,72.57,
Arkansas,AR,05,1990,0.83,201.83,100.00,73.18,
Arkansas,AR,05,1991,1.83,205.53,101.83,74.52,
Arkansas,AR,05,1992,2.26,210.18,104.14,76.20,
Arkansas,AR,05,1993,3.79,218.15,108.09,79.09,
Arkansas,AR,05,1994,5.03,229.13,113.52,83.07,
Arkansas,AR,05,1995,5.33,241.35,119.58,87.50,
Arkansas,AR,05,1996,2.93,248.42,123.08,90.07,
Arkansas,AR,05,1997,2.61,254.90,126.29,92.42,
Arkansas,AR,05,1998,2.87,262.22,129.92,95.07,
Arkansas,AR,05,1999,2.23,268.06,132.81,97.19,
Arkansas,AR,05,2000,2.89,275.81,136.66,100.00,
Arkansas,AR,05,2001,4.43,288.03,142.71,104.43,
Arkansas,AR,05,2002,2.58,295.46,146.39,107.12,
Arkansas,AR,05,2003,2.47,302.76,150.01,109.77,
Arkansas,AR,05,2004,5.44,319.22,158.16,115.74,
Arkansas,AR,05,2005,6.94,341.38,169.14,123.77,
Arkansas,AR,05,2006,5.86,361.38,179.05,131.03,
Arkansas,AR,05,2007,2.32,369.76,183.21,134.06,
Arkansas,AR,05,2008,-0.53,367.81,182.24,133.36,
Arkansas,AR,05,2009,-2.16,359.87,178.30,130.48,
