"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: April 19, 2019.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
District of Columbia,DC,11,1983,0.20,187.65,53.51,40.96,
District of Columbia,DC,11,1984,6.70,200.22,57.10,43.70,
District of Columbia,DC,11,1985,5.59,211.41,60.29,46.14,
District of Columbia,DC,11,1986,8.30,228.96,65.29,49.97,
District of Columbia,DC,11,1987,11.10,254.38,72.54,55.52,
District of Columbia,DC,11,1988,18.28,300.89,85.80,65.67,
District of Columbia,DC,11,1989,12.28,337.84,96.34,73.74,
District of Columbia,DC,11,1990,3.80,350.68,100.00,76.54,
District of Columbia,DC,11,1991,0.28,351.67,100.28,76.76,
District of Columbia,DC,11,1992,2.33,359.88,102.63,78.55,
District of Columbia,DC,11,1993,-1.51,354.44,101.07,77.36,
District of Columbia,DC,11,1994,-0.68,352.04,100.39,76.84,
District of Columbia,DC,11,1995,-1.43,347.01,98.95,75.74,
District of Columbia,DC,11,1996,2.35,355.17,101.28,77.52,
District of Columbia,DC,11,1997,0.01,355.21,101.29,77.53,
District of Columbia,DC,11,1998,4.86,372.49,106.22,81.30,
District of Columbia,DC,11,1999,7.44,400.20,114.12,87.35,
District of Columbia,DC,11,2000,14.48,458.17,130.65,100.00,
District of Columbia,DC,11,2001,14.21,523.29,149.22,114.21,
District of Columbia,DC,11,2002,12.91,590.84,168.49,128.96,
District of Columbia,DC,11,2003,9.48,646.85,184.46,141.18,
District of Columbia,DC,11,2004,16.56,753.97,215.01,164.56,
District of Columbia,DC,11,2005,22.83,926.08,264.08,202.13,
District of Columbia,DC,11,2006,11.54,1032.92,294.55,225.45,
District of Columbia,DC,11,2007,2.81,1061.99,302.84,231.79,
District of Columbia,DC,11,2008,-5.18,1006.93,287.14,219.77,
District of Columbia,DC,11,2009,-5.40,952.51,271.62,207.90,
District of Columbia,DC,11,2010,0.10,953.44,271.89,208.10,
District of Columbia,DC,11,2011,0.77,960.76,273.97,209.70,
District of Columbia,DC,11,2012,2.73,987.02,281.46,215.43,
District of Columbia,DC,11,2013,7.34,1059.47,302.12,231.24,
District of Columbia,DC,11,2014,9.72,1162.47,331.49,253.72,
District of Columbia,DC,11,2015,5.30,1224.03,349.05,267.16,
District of Columbia,DC,11,2016,7.38,1314.31,374.79,286.86,
District of Columbia,DC,11,2017,6.96,1405.78,400.88,306.83,
District of Columbia,DC,11,2018,6.26,1493.75,425.96,326.03,
Florida,FL,12,1975,.,100.00,48.42,36.16,
Florida,FL,12,1976,-2.04,97.96,47.44,35.42,
Florida,FL,12,1977,4.22,102.10,49.44,36.92,
Florida,FL,12,1978,10.82,113.15,54.79,40.91,
Florida,FL,12,1979,12.43,127.21,61.60,46.00,
Florida,FL,12,1980,12.23,142.78,69.14,51.63,
Florida,FL,12,1981,9.00,155.63,75.36,56.27,
Florida,FL,12,1982,8.46,168.79,81.73,61.03,
Florida,FL,12,1983,1.31,170.99,82.80,61.83,
Florida,FL,12,1984,2.30,174.92,84.71,63.25,
Florida,FL,12,1985,1.25,177.11,85.76,64.04,
Florida,FL,12,1986,3.40,183.13,88.68,66.22,
Florida,FL,12,1987,2.37,187.47,90.78,67.79,
Florida,FL,12,1988,4.23,195.40,94.62,70.66,
Florida,FL,12,1989,4.04,203.29,98.44,73.51,
Florida,FL,12,1990,1.58,206.51,100.00,74.67,
Florida,FL,12,1991,1.41,209.43,101.41,75.73,
Florida,FL,12,1992,2.11,213.85,103.56,77.33,
Florida,FL,12,1993,1.67,217.42,105.28,78.62,
Florida,FL,12,1994,0.98,219.55,106.32,79.39,
Florida,FL,12,1995,2.61,225.29,109.09,81.46,
Florida,FL,12,1996,2.49,230.90,111.81,83.49,
Florida,FL,12,1997,3.02,237.86,115.18,86.01,
Florida,FL,12,1998,3.99,247.34,119.78,89.44,
Florida,FL,12,1999,3.75,256.61,124.26,92.79,
Florida,FL,12,2000,7.77,276.55,133.92,100.00,
Florida,FL,12,2001,9.30,302.27,146.38,109.30,
Florida,FL,12,2002,8.90,329.18,159.40,119.03,
Florida,FL,12,2003,8.01,355.56,172.18,128.57,
Florida,FL,12,2004,15.35,410.14,198.61,148.31,
Florida,FL,12,2005,24.51,510.66,247.29,184.65,
Florida,FL,12,2006,15.66,590.65,286.02,213.58,
Florida,FL,12,2007,-2.19,577.69,279.74,208.89,
Florida,FL,12,2008,-15.26,489.54,237.06,177.02,
Florida,FL,12,2009,-17.92,401.81,194.58,145.29,
Florida,FL,12,2010,-9.86,362.20,175.39,130.97,
Florida,FL,12,2011,-6.91,337.16,163.27,121.92,
Florida,FL,12,2012,-1.18,333.18,161.34,120.48,
Florida,FL,12,2013,7.32,357.58,173.16,129.30,
Florida,FL,12,2014,10.32,394.49,191.03,142.65,
Florida,FL,12,2015,8.68,428.75,207.62,155.03,
Florida,FL,12,2016,9.29,468.59,226.91,169.44,
Florida,FL,12,2017,8.71,509.40,246.68,184.20,
Florida,FL,12,2018,8.15,550.93,266.79,199.21,
Georgia,GA,13,1975,.,100.00,46.64,33.13,
Georgia,GA,13,1976,3.87,103.87,48.45,34.42,
Georgia,GA,13,1977,3.32,107.33,50.06,35.56,
Georgia,GA,13,1978,7.32,115.18,53.72,38.16,
Georgia,GA,13,1979,10.16,126.89,59.18,42.04,
Georgia,GA,13,1980,10.50,140.21,65.40,46.45,
Georgia,GA,13,1981,8.51,152.15,70.97,50.41,
Georgia,GA,13,1982,5.69,160.80,75.00,53.28,
Georgia,GA,13,1983,2.74,165.20,77.05,54.73,
Georgia,GA,13,1984,6.28,175.57,81.89,58.17,
Georgia,GA,13,1985,4.74,183.90,85.78,60.93,
Georgia,GA,13,1986,4.93,192.97,90.01,63.94,
Georgia,GA,13,1987,4.31,201.29,93.89,66.69,
Georgia,GA,13,1988,4.04,209.41,97.68,69.38,
Georgia,GA,13,1989,2.09,213.78,99.72,70.83,
Georgia,GA,13,1990,0.28,214.39,100.00,71.03,
Georgia,GA,13,1991,0.33,215.09,100.33,71.26,
Georgia,GA,13,1992,1.50,218.31,101.83,72.33,
Georgia,GA,13,1993,1.61,221.83,103.47,73.50,
Georgia,GA,13,1994,2.27,226.87,105.82,75.17,
Georgia,GA,13,1995,3.78,235.46,109.82,78.01,
Georgia,GA,13,1996,3.92,244.68,114.13,81.07,
Georgia,GA,13,1997,4.43,255.51,119.18,84.66,
Georgia,GA,13,1998,4.58,267.20,124.63,88.53,
Georgia,GA,13,1999,5.52,281.95,131.51,93.42,
Georgia,GA,13,2000,7.05,301.82,140.78,100.00,
Georgia,GA,13,2001,5.78,319.26,148.91,105.78,
Georgia,GA,13,2002,3.46,330.29,154.06,109.43,
Georgia,GA,13,2003,1.88,336.49,156.95,111.49,
Georgia,GA,13,2004,3.88,349.55,163.04,115.81,
Georgia,GA,13,2005,5.16,367.57,171.45,121.78,
Georgia,GA,13,2006,4.45,383.92,179.07,127.20,
Georgia,GA,13,2007,2.35,392.93,183.27,130.18,
Georgia,GA,13,2008,-2.13,384.55,179.37,127.41,
Georgia,GA,13,2009,-5.22,364.48,170.01,120.76,
Georgia,GA,13,2010,-8.44,333.73,155.66,110.57,
Georgia,GA,13,2011,-7.48,308.76,144.02,102.30,
Georgia,GA,13,2012,-5.10,293.00,136.67,97.08,
Georgia,GA,13,2013,3.62,303.62,141.62,100.59,
Georgia,GA,13,2014,7.36,325.96,152.04,108.00,
Georgia,GA,13,2015,5.45,343.72,160.32,113.88,
Georgia,GA,13,2016,5.84,363.79,169.68,120.53,
Georgia,GA,13,2017,6.01,385.67,179.89,127.78,
Georgia,GA,13,2018,7.32,413.90,193.06,137.13,
Hawaii,HI,15,1975,.,100.00,25.03,25.35,
Hawaii,HI,15,1976,-0.40,99.60,24.93,25.25,
Hawaii,HI,15,1977,6.79,106.36,26.62,26.97,
Hawaii,HI,15,1978,11.86,118.98,29.78,30.16,
Hawaii,HI,15,1979,25.86,149.74,37.48,37.96,
Hawaii,HI,15,1980,21.02,181.21,45.36,45.94,
Hawaii,HI,15,1981,-4.01,173.94,43.54,44.10,
Hawaii,HI,15,1982,3.36,179.79,45.00,45.58,
Hawaii,HI,15,1983,7.08,192.52,48.19,48.81,
Hawaii,HI,15,1984,3.58,199.41,49.91,50.56,
Hawaii,HI,15,1985,3.87,207.12,51.84,52.51,
Hawaii,HI,15,1986,3.91,215.22,53.87,54.56,
Hawaii,HI,15,1987,6.64,229.50,57.44,58.19,
Hawaii,HI,15,1988,16.72,267.88,67.05,67.92,
Hawaii,HI,15,1989,23.60,331.11,82.88,83.95,
Hawaii,HI,15,1990,20.66,399.52,100.00,101.29,
Hawaii,HI,15,1991,9.95,439.27,109.95,111.37,
Hawaii,HI,15,1992,0.81,442.83,110.84,112.27,
Hawaii,HI,15,1993,-0.01,442.79,110.83,112.26,
Hawaii,HI,15,1994,-0.06,442.51,110.76,112.19,
Hawaii,HI,15,1995,-1.76,434.71,108.81,110.21,
Hawaii,HI,15,1996,-3.87,417.88,104.60,105.95,
Hawaii,HI,15,1997,-7.63,385.98,96.61,97.86,
Hawaii,HI,15,1998,-0.38,384.53,96.25,97.49,
Hawaii,HI,15,1999,-0.48,382.69,95.79,97.02,
Hawaii,HI,15,2000,3.07,394.42,98.73,100.00,
Hawaii,HI,15,2001,7.46,423.86,106.09,107.46,
Hawaii,HI,15,2002,6.72,452.34,113.22,114.68,
Hawaii,HI,15,2003,9.02,493.14,123.44,125.03,
Hawaii,HI,15,2004,19.68,590.20,147.73,149.64,
Hawaii,HI,15,2005,25.11,738.39,184.82,187.21,
Hawaii,HI,15,2006,14.42,844.88,211.48,214.21,
Hawaii,HI,15,2007,1.99,861.66,215.68,218.46,
Hawaii,HI,15,2008,-3.30,833.25,208.56,211.26,
Hawaii,HI,15,2009,-9.96,750.25,187.79,190.21,
Hawaii,HI,15,2010,-4.18,718.92,179.95,182.27,
Hawaii,HI,15,2011,-1.81,705.87,176.68,178.96,
Hawaii,HI,15,2012,0.57,709.89,177.69,179.98,
Hawaii,HI,15,2013,4.60,742.58,185.87,188.27,
Hawaii,HI,15,2014,8.35,804.55,201.38,203.98,
Hawaii,HI,15,2015,5.21,846.46,211.87,214.61,
Hawaii,HI,15,2016,6.69,903.05,226.04,228.95,
Hawaii,HI,15,2017,4.50,943.73,236.22,239.27,
Hawaii,HI,15,2018,5.80,998.42,249.91,253.13,
Idaho,ID,16,1975,.,100.00,50.65,33.31,
Idaho,ID,16,1976,6.14,106.14,53.76,35.36,
Idaho,ID,16,1977,12.06,118.93,60.24,39.62,
Idaho,ID,16,1978,16.69,138.78,70.29,46.23,
Idaho,ID,16,1979,8.94,151.19,76.57,50.36,
Idaho,ID,16,1980,5.15,158.97,80.52,52.96,
Idaho,ID,16,1981,1.98,162.11,82.11,54.00,
Idaho,ID,16,1982,4.39,169.23,85.71,56.37,
Idaho,ID,16,1983,0.55,170.17,86.19,56.69,
Idaho,ID,16,1984,2.11,173.77,88.01,57.88,
Idaho,ID,16,1985,1.76,176.83,89.56,58.90,
Idaho,ID,16,1986,0.76,178.17,90.24,59.35,
Idaho,ID,16,1987,-0.91,176.55,89.42,58.81,
Idaho,ID,16,1988,-0.28,176.06,89.17,58.65,
Idaho,ID,16,1989,4.59,184.14,93.27,61.34,
Idaho,ID,16,1990,7.22,197.44,100.00,65.77,
Idaho,ID,16,1991,5.11,207.53,105.11,69.13,
Idaho,ID,16,1992,5.20,218.33,110.58,72.73,
Idaho,ID,16,1993,8.18,236.19,119.63,78.68,
Idaho,ID,16,1994,6.21,250.86,127.06,83.57,
Idaho,ID,16,1995,6.48,267.13,135.30,88.98,
Idaho,ID,16,1996,2.53,273.88,138.72,91.23,
Idaho,ID,16,1997,2.58,280.96,142.30,93.59,
Idaho,ID,16,1998,2.32,287.47,145.60,95.76,
Idaho,ID,16,1999,2.00,293.23,148.52,97.68,
Idaho,ID,16,2000,2.38,300.20,152.05,100.00,
Idaho,ID,16,2001,4.02,312.27,158.16,104.02,
Idaho,ID,16,2002,2.33,319.55,161.85,106.45,
Idaho,ID,16,2003,2.22,326.64,165.44,108.81,
Idaho,ID,16,2004,6.36,347.42,175.96,115.73,
Idaho,ID,16,2005,14.86,399.05,202.11,132.93,
Idaho,ID,16,2006,16.11,463.33,234.67,154.34,
Idaho,ID,16,2007,5.42,488.44,247.39,162.71,
Idaho,ID,16,2008,-2.28,477.31,241.75,159.00,
Idaho,ID,16,2009,-7.72,440.45,223.08,146.72,
Idaho,ID,16,2010,-10.75,393.10,199.10,130.95,
Idaho,ID,16,2011,-8.66,359.07,181.87,119.61,
Idaho,ID,16,2012,-0.06,358.87,181.76,119.54,
Idaho,ID,16,2013,5.26,377.74,191.32,125.83,
Idaho,ID,16,2014,6.53,402.39,203.80,134.04,
Idaho,ID,16,2015,5.42,424.18,214.84,141.30,
Idaho,ID,16,2016,7.15,454.52,230.21,151.41,
Idaho,ID,16,2017,8.87,494.84,250.63,164.84,
Idaho,ID,16,2018,10.95,549.03,278.08,182.89,
Illinois,IL,17,1975,.,100.00,39.80,28.32,
Illinois,IL,17,1976,9.35,109.35,43.52,30.97,
Illinois,IL,17,1977,16.48,127.37,50.70,36.07,
Illinois,IL,17,1978,17.40,149.52,59.52,42.35,
Illinois,IL,17,1979,2.63,153.46,61.08,43.46,
Illinois,IL,17,1980,2.18,156.80,62.41,44.41,
Illinois,IL,17,1981,4.59,164.00,65.28,46.45,
Illinois,IL,17,1982,-3.74,157.87,62.84,44.71,
Illinois,IL,17,1983,2.60,161.97,64.47,45.87,
Illinois,IL,17,1984,5.31,170.57,67.89,48.31,
Illinois,IL,17,1985,4.11,177.59,70.69,50.30,
Illinois,IL,17,1986,5.71,187.73,74.72,53.17,
Illinois,IL,17,1987,7.65,202.08,80.44,57.23,
Illinois,IL,17,1988,10.28,222.85,88.70,63.11,
Illinois,IL,17,1989,7.75,240.11,95.57,68.00,
Illinois,IL,17,1990,4.63,251.23,100.00,71.15,
Illinois,IL,17,1991,3.15,259.15,103.15,73.39,
Illinois,IL,17,1992,2.42,265.42,105.65,75.17,
Illinois,IL,17,1993,2.55,272.19,108.34,77.09,
Illinois,IL,17,1994,3.60,282.00,112.25,79.87,
Illinois,IL,17,1995,4.53,294.79,117.34,83.49,
Illinois,IL,17,1996,2.96,303.51,120.81,85.96,
Illinois,IL,17,1997,2.96,312.48,124.38,88.50,
Illinois,IL,17,1998,2.06,318.92,126.94,90.32,
Illinois,IL,17,1999,3.57,330.30,131.47,93.55,
Illinois,IL,17,2000,6.90,353.09,140.54,100.00,
Illinois,IL,17,2001,5.33,371.92,148.04,105.33,
Illinois,IL,17,2002,4.76,389.64,155.09,110.35,
Illinois,IL,17,2003,3.36,402.73,160.30,114.06,
Illinois,IL,17,2004,7.40,432.52,172.16,122.50,
Illinois,IL,17,2005,8.92,471.11,187.52,133.42,
Illinois,IL,17,2006,5.60,497.49,198.02,140.90,
Illinois,IL,17,2007,1.24,503.65,200.47,142.64,
Illinois,IL,17,2008,-3.09,488.09,194.28,138.23,
Illinois,IL,17,2009,-8.34,447.40,178.08,126.71,
Illinois,IL,17,2010,-6.44,418.59,166.61,118.55,
Illinois,IL,17,2011,-5.26,396.59,157.86,112.32,
Illinois,IL,17,2012,-2.96,384.87,153.19,109.00,
Illinois,IL,17,2013,0.20,385.64,153.50,109.22,
Illinois,IL,17,2014,3.74,400.07,159.24,113.31,
Illinois,IL,17,2015,2.57,410.34,163.33,116.21,
Illinois,IL,17,2016,2.62,421.10,167.61,119.26,
Illinois,IL,17,2017,3.10,434.15,172.81,122.96,
Illinois,IL,17,2018,2.53,445.12,177.17,126.06,
Indiana,IN,18,1975,.,100.00,45.42,31.65,
Indiana,IN,18,1976,4.10,104.10,47.28,32.95,
Indiana,IN,18,1977,11.99,116.59,52.95,36.90,
Indiana,IN,18,1978,16.12,135.38,61.49,42.85,
Indiana,IN,18,1979,13.67,153.89,69.89,48.71,
Indiana,IN,18,1980,5.07,161.69,73.44,51.18,
Indiana,IN,18,1981,4.09,168.31,76.44,53.28,
Indiana,IN,18,1982,-1.54,165.72,75.27,52.46,
Indiana,IN,18,1983,2.42,169.73,77.09,53.73,
Indiana,IN,18,1984,1.77,172.73,78.45,54.68,
Indiana,IN,18,1985,3.14,178.15,80.91,56.39,
Indiana,IN,18,1986,4.29,185.80,84.39,58.81,
Indiana,IN,18,1987,4.10,193.41,87.84,61.22,
Indiana,IN,18,1988,5.59,204.23,92.76,64.65,
Indiana,IN,18,1989,4.56,213.54,96.99,67.59,
Indiana,IN,18,1990,3.10,220.17,100.00,69.69,
Indiana,IN,18,1991,3.48,227.83,103.48,72.12,
Indiana,IN,18,1992,2.79,234.18,106.36,74.13,
Indiana,IN,18,1993,2.98,241.17,109.53,76.34,
Indiana,IN,18,1994,3.89,250.54,113.79,79.31,
Indiana,IN,18,1995,5.43,264.15,119.97,83.61,
Indiana,IN,18,1996,4.24,275.35,125.06,87.16,
Indiana,IN,18,1997,4.05,286.51,130.13,90.69,
Indiana,IN,18,1998,3.27,295.88,134.38,93.66,
Indiana,IN,18,1999,2.93,304.54,138.32,96.40,
Indiana,IN,18,2000,3.73,315.92,143.49,100.00,
Indiana,IN,18,2001,4.02,328.61,149.25,104.02,
Indiana,IN,18,2002,1.80,334.53,151.94,105.89,
Indiana,IN,18,2003,1.18,338.47,153.73,107.14,
Indiana,IN,18,2004,2.26,346.10,157.20,109.55,
Indiana,IN,18,2005,3.40,357.87,162.54,113.28,
Indiana,IN,18,2006,1.79,364.28,165.45,115.31,
Indiana,IN,18,2007,1.04,368.06,167.17,116.50,
Indiana,IN,18,2008,-0.73,365.38,165.95,115.66,
Indiana,IN,18,2009,-2.39,356.64,161.98,112.89,
Indiana,IN,18,2010,-2.62,347.30,157.74,109.93,
Indiana,IN,18,2011,-1.91,340.67,154.73,107.84,
Indiana,IN,18,2012,-0.82,337.89,153.47,106.96,
Indiana,IN,18,2013,1.03,341.36,155.04,108.05,
Indiana,IN,18,2014,2.16,348.74,158.39,110.39,
Indiana,IN,18,2015,2.99,359.16,163.12,113.69,
Indiana,IN,18,2016,3.49,371.70,168.82,117.66,
Indiana,IN,18,2017,4.26,387.55,176.02,122.67,
Indiana,IN,18,2018,6.56,412.96,187.56,130.72,
Iowa,IA,19,1975,.,100.00,53.18,34.27,
Iowa,IA,19,1976,12.74,112.74,59.95,38.63,
Iowa,IA,19,1977,12.20,126.50,67.26,43.35,
Iowa,IA,19,1978,14.31,144.59,76.89,49.55,
Iowa,IA,19,1979,9.73,158.66,84.37,54.37,
Iowa,IA,19,1980,0.89,160.08,85.12,54.85,
Iowa,IA,19,1981,-3.23,154.90,82.37,53.08,
Iowa,IA,19,1982,-0.93,153.45,81.60,52.58,
Iowa,IA,19,1983,4.43,160.25,85.21,54.91,
Iowa,IA,19,1984,0.79,161.52,85.89,55.35,
Iowa,IA,19,1985,1.32,163.65,87.02,56.08,
Iowa,IA,19,1986,0.96,165.22,87.86,56.62,
Iowa,IA,19,1987,0.71,166.40,88.48,57.02,
Iowa,IA,19,1988,2.24,170.13,90.47,58.30,
Iowa,IA,19,1989,5.50,179.48,95.44,61.50,
Iowa,IA,19,1990,4.78,188.06,100.00,64.44,
Iowa,IA,19,1991,4.12,195.80,104.12,67.10,
Iowa,IA,19,1992,3.13,201.92,107.37,69.19,
Iowa,IA,19,1993,4.79,211.60,112.52,72.51,
Iowa,IA,19,1994,5.79,223.85,119.04,76.71,
Iowa,IA,19,1995,6.55,238.52,126.83,81.74,
Iowa,IA,19,1996,3.81,247.61,131.67,84.85,
Iowa,IA,19,1997,3.94,257.37,136.86,88.19,
Iowa,IA,19,1998,4.14,268.02,142.52,91.84,
Iowa,IA,19,1999,3.87,278.38,148.03,95.39,
Iowa,IA,19,2000,4.83,291.82,155.18,100.00,
Iowa,IA,19,2001,4.56,305.13,162.25,104.56,
Iowa,IA,19,2002,2.71,313.40,166.65,107.40,
Iowa,IA,19,2003,2.19,320.27,170.30,109.75,
Iowa,IA,19,2004,4.17,333.61,177.40,114.32,
Iowa,IA,19,2005,4.69,349.27,185.72,119.68,
Iowa,IA,19,2006,2.75,358.87,190.83,122.98,
Iowa,IA,19,2007,1.75,365.14,194.16,125.12,
Iowa,IA,19,2008,0.37,366.47,194.87,125.58,
Iowa,IA,19,2009,-0.62,364.19,193.66,124.80,
Iowa,IA,19,2010,-1.12,360.12,191.49,123.40,
Iowa,IA,19,2011,-0.65,357.76,190.24,122.60,
Iowa,IA,19,2012,0.31,358.86,190.82,122.97,
Iowa,IA,19,2013,1.30,363.52,193.30,124.57,
Iowa,IA,19,2014,2.21,371.56,197.58,127.32,
Iowa,IA,19,2015,2.47,380.75,202.47,130.47,
Iowa,IA,19,2016,3.47,393.98,209.50,135.00,
Iowa,IA,19,2017,4.08,410.04,218.04,140.51,
Iowa,IA,19,2018,3.83,425.73,226.39,145.89,
Kansas,KS,20,1975,.,100.00,53.67,36.16,
Kansas,KS,20,1976,8.13,108.13,58.03,39.09,
Kansas,KS,20,1977,11.99,121.09,64.99,43.78,
Kansas,KS,20,1978,11.97,135.59,72.77,49.02,
Kansas,KS,20,1979,10.02,149.18,80.07,53.94,
Kansas,KS,20,1980,6.85,159.40,85.55,57.63,
Kansas,KS,20,1981,2.10,162.75,87.35,58.84,
Kansas,KS,20,1982,2.31,166.50,89.37,60.20,
Kansas,KS,20,1983,2.65,170.92,91.73,61.80,
Kansas,KS,20,1984,0.81,172.30,92.48,62.30,
Kansas,KS,20,1985,0.49,173.14,92.93,62.60,
Kansas,KS,20,1986,2.96,178.26,95.68,64.45,
Kansas,KS,20,1987,1.91,181.67,97.50,65.68,
Kansas,KS,20,1988,0.88,183.27,98.37,66.26,
Kansas,KS,20,1989,1.49,186.00,99.83,67.25,
Kansas,KS,20,1990,0.17,186.32,100.00,67.36,
Kansas,KS,20,1991,0.91,188.02,100.91,67.98,
Kansas,KS,20,1992,1.79,191.38,102.72,69.20,
Kansas,KS,20,1993,2.57,196.31,105.36,70.98,
Kansas,KS,20,1994,5.64,207.38,111.30,74.98,
Kansas,KS,20,1995,6.50,220.85,118.53,79.85,
Kansas,KS,20,1996,3.96,229.60,123.23,83.01,
Kansas,KS,20,1997,4.38,239.66,128.63,86.65,
Kansas,KS,20,1998,4.02,249.28,133.80,90.13,
Kansas,KS,20,1999,4.75,261.12,140.15,94.41,
Kansas,KS,20,2000,5.92,276.58,148.45,100.00,
Kansas,KS,20,2001,4.64,289.41,155.33,104.64,
Kansas,KS,20,2002,3.37,299.17,160.57,108.17,
Kansas,KS,20,2003,1.84,304.66,163.52,110.15,
Kansas,KS,20,2004,3.89,316.51,169.88,114.44,
Kansas,KS,20,2005,4.29,330.10,177.17,119.35,
Kansas,KS,20,2006,3.33,341.08,183.06,123.32,
Kansas,KS,20,2007,2.15,348.39,186.99,125.96,
Kansas,KS,20,2008,-0.27,347.45,186.48,125.62,
Kansas,KS,20,2009,-1.29,342.96,184.07,124.00,
Kansas,KS,20,2010,-1.25,338.66,181.76,122.44,
Kansas,KS,20,2011,-1.73,332.81,178.62,120.33,
Kansas,KS,20,2012,-0.63,330.70,177.49,119.56,
Kansas,KS,20,2013,0.91,333.70,179.10,120.65,
Kansas,KS,20,2014,2.67,342.60,183.88,123.87,
Kansas,KS,20,2015,2.88,352.47,189.18,127.44,
Kansas,KS,20,2016,4.17,367.17,197.07,132.75,
Kansas,KS,20,2017,4.36,383.18,205.66,138.54,
Kansas,KS,20,2018,5.07,402.59,216.08,145.56,
Kentucky,KY,21,1975,.,100.00,46.21,31.15,
Kentucky,KY,21,1976,4.30,104.30,48.19,32.49,
Kentucky,KY,21,1977,9.15,113.83,52.60,35.46,
Kentucky,KY,21,1978,15.40,131.36,60.70,40.92,
Kentucky,KY,21,1979,12.13,147.29,68.06,45.88,
Kentucky,KY,21,1980,5.13,154.85,71.55,48.24,
Kentucky,KY,21,1981,2.71,159.04,73.49,49.54,
Kentucky,KY,21,1982,2.30,162.71,75.18,50.69,
Kentucky,KY,21,1983,2.80,167.27,77.29,52.11,
Kentucky,KY,21,1984,2.02,170.66,78.86,53.16,
Kentucky,KY,21,1985,3.13,176.00,81.33,54.83,
Kentucky,KY,21,1986,3.55,182.25,84.21,56.77,
Kentucky,KY,21,1987,4.14,189.79,87.70,59.12,
Kentucky,KY,21,1988,6.09,201.35,93.04,62.72,
Kentucky,KY,21,1989,4.74,210.88,97.45,65.69,
Kentucky,KY,21,1990,2.62,216.41,100.00,67.42,
Kentucky,KY,21,1991,2.71,222.29,102.71,69.25,
Kentucky,KY,21,1992,2.61,228.08,105.39,71.05,
Kentucky,KY,21,1993,3.02,234.98,108.58,73.20,
Kentucky,KY,21,1994,5.28,247.38,114.31,77.06,
Kentucky,KY,21,1995,6.04,262.31,121.21,81.72,
Kentucky,KY,21,1996,3.89,272.51,125.92,84.89,
Kentucky,KY,21,1997,4.28,284.17,131.31,88.52,
Kentucky,KY,21,1998,3.44,293.94,135.82,91.57,
Kentucky,KY,21,1999,4.01,305.71,141.26,95.24,
Kentucky,KY,21,2000,5.00,321.01,148.33,100.00,
Kentucky,KY,21,2001,4.00,333.84,154.26,104.00,
Kentucky,KY,21,2002,2.48,342.11,158.08,106.57,
Kentucky,KY,21,2003,2.28,349.91,161.69,109.00,
Kentucky,KY,21,2004,4.16,364.48,168.42,113.54,
Kentucky,KY,21,2005,5.04,382.84,176.90,119.26,
Kentucky,KY,21,2006,3.23,395.23,182.63,123.12,
Kentucky,KY,21,2007,1.97,403.02,186.23,125.55,
Kentucky,KY,21,2008,0.43,404.73,187.02,126.08,
Kentucky,KY,21,2009,-1.61,398.21,184.01,124.05,
Kentucky,KY,21,2010,-1.45,392.44,181.34,122.25,
Kentucky,KY,21,2011,-1.60,386.15,178.43,120.29,
Kentucky,KY,21,2012,-0.23,385.27,178.03,120.02,
Kentucky,KY,21,2013,0.62,387.66,179.13,120.76,
Kentucky,KY,21,2014,1.58,393.79,181.96,122.67,
Kentucky,KY,21,2015,2.71,404.47,186.90,126.00,
Kentucky,KY,21,2016,3.97,420.52,194.31,131.00,
Kentucky,KY,21,2017,4.82,440.79,203.68,137.32,
Kentucky,KY,21,2018,4.74,461.68,213.33,143.82,
Louisiana,LA,22,1975,.,100.00,52.71,34.69,
Louisiana,LA,22,1976,9.57,109.57,57.76,38.01,
