,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,Cyclically
Robert J. Shiller ,,,,,,,,,,Adjusted
,,,,,,,,,,Price
,,,,  Consumer,,,,,,Earnings
,S&P,,,Price,,Long,,,,Ratio
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Real,P/E10 or
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,105.04,7.59,8.10,NA
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,103.77,7.59,7.93,NA
1876.08,3.93,0.30,0.31,10.18,1876.62,4.51,98.54,7.52,7.69,NA
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,91.67,7.45,7.45,NA
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,89.51,7.32,7.15,NA
1876.11,3.60,0.30,0.29,10.56,1876.87,4.47,87.01,7.25,6.93,NA
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,85.00,7.12,6.65,NA
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,82.82,6.78,6.57,NA
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,80.01,6.75,6.79,NA
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,79.49,6.83,7.15,NA
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,71.71,6.42,6.99,NA
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,70.43,6.09,6.91,NA
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,69.10,6.20,7.34,NA
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,71.46,5.91,7.31,NA
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,79.45,5.91,7.64,NA
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,85.22,5.72,7.76,NA
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,87.06,5.48,7.80,NA
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,87.46,5.34,8.00,NA
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,87.20,5.10,8.05,NA
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,89.89,5.23,8.32,NA
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,88.87,5.26,8.43,NA
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,92.48,5.35,8.63,NA
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,96.07,5.39,8.75,NA
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,99.57,5.54,9.07,NA
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,103.96,5.64,9.30,NA
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,104.91,5.55,9.22,NA
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,102.85,5.46,9.14,NA
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,104.93,5.44,9.17,NA
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,104.91,5.48,9.29,NA
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,105.79,5.51,9.43,NA
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,107.63,5.62,9.67,NA
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,110.40,5.60,9.74,NA
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,113.11,5.59,9.81,NA
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,112.56,5.71,10.10,NA
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,117.61,5.82,10.40,NA
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,122.92,5.87,10.58,NA
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,124.99,6.00,10.89,NA
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,126.04,5.98,10.94,NA
1879.08,4.07,0.19,0.36,8.18,1879.62,4.10,126.97,6.03,11.13,NA
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,127.21,5.88,10.93,NA
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,133.58,5.61,10.51,NA
1879.11,4.93,0.20,0.37,9.42,1879.87,4.05,133.61,5.37,10.14,NA
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,129.41,5.26,10.00,NA
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,130.57,5.24,9.94,NA
