FHFBID,District,Member Name,City,State,Zip,Member Type,Charter Type,FDIC Certificate Number,Federal Reserve ID,OTS Docket Number ,Credit Union Charter Number ,Approval Date,,
11584,Atlanta,The Fauquier Bank,Warrenton,VA,22186,Commercial Bank,State,06923,0976226,,,1/5/94,,
11585,Des Moines,Citizens State Bank of Kelliher,Kelliher,MN,56650,Commercial Bank,State,16633,0910659,,,1/6/94,,
11586,Pittsburgh,Susquehanna Bank PA,Lititz,PA,17543,Commercial Bank,State,07579,0682611,,,1/6/94,,
11587,Seattle,"First Montana Bank, Inc.",Libby,MT,59923,Commercial Bank,State,00363,0613156,,,1/6/94,,
11588,Dallas,Peoples State Bank,Many,LA,71449,Commercial Bank,State,08801,0939753,,,1/6/94,,
11591,Topeka,Central NB&T Company of Enid,Enid,OK,73702,Commercial Bank,National,04091,0278555,,,1/4/94,,
11592,Indianapolis,Lansing Automakers Federal Credit Union,Lansing,MI,48917,Credit Union,Federal,,,,01033,1/7/94,,
11594,Cincinnati,TENNESSEE STATE BANK,Gatlinburg,TN,37738,Commercial Bank,State,20720,0479839,,,1/7/94,,
11595,Des Moines,Security State Bank,Wishek,ND,58495,Commercial Bank,State,08642,0251857,,,1/5/94,,
11597,Des Moines,Peoples Bank of Commerce,Cambridge,MN,55008,Commercial Bank,State,10192,0151751,,,1/5/94,,
11601,Dallas,Fnb of Izard County,Calico Rock,AR,72519,Commercial Bank,National,11252,0379649,,,1/13/94,,
11602,Dallas,Hancock Bank,Gulfport,MS,39051,Commercial Bank,State,12441,0463735,,,1/13/94,,
11606,Des Moines,Kanabec State Bank,Mora,MN,55051,Commercial Bank,State,08220,0705958,,,1/12/94,,
11607,Cincinnati,"South Central Bank of Bowling Green, Inc.",Bowling Green,KY,42102,Commercial Bank,State,27485,1396483,,,1/13/94,,
11609,Chicago,"The Edgar County Bank and Trust Co., Paris, Illinois",Paris,IL,61944,Commercial Bank,State,03722,0738143,,,1/18/94,,
11612,Atlanta,Merchants and Southern Bank,Gainesville,FL,32653,Commercial Bank,State,18116,0726234,,,1/18/94,,
11613,Chicago,Union Bank & Trust Company,Evansville,WI,53536,Commercial Bank,State,15177,0068840,,,1/18/94,,
11614,Chicago,Westby Co-op Union of Lynn,Westby,WI,54667,Credit Union,State,,,,67208,1/18/94,,
11615,Chicago,The Hill-Dodge Banking Company,Warsaw,IL,62379,Commercial Bank,State,09274,0419947,,,1/7/94,,
11616,Chicago,The First National Bank of Lacon,Lacon,IL,61540,Commercial Bank,National,03688,0824738,,,1/18/94,,
11617,Cincinnati,THE KILLBUCK SAVINGS BANK C,Killbuck,OH,44637,Commercial Bank,State,11860,1017425,,,1/18/94,,
11618,Cincinnati,COMMERCIAL BANK & TRUST COM,Paris,TN,38242,Commercial Bank,State,08660,0467658,,,1/19/94,,
11619,Topeka,"Bank of Hydro - Hydro, OK",Hydro,OK,73048,Commercial Bank,State,10674,0291059,,,1/21/94,,
11621,Topeka,"FIRST FIDELITY BANK, N.A.",Oklahoma City,OK,73108,Commercial Bank,National,23473,0106359,,,1/21/94,,
11622,Topeka,First National Bank of Wahoo,Wahoo,NE,68066,Commercial Bank,National,05486,0540056,,,1/21/94,,
11634,Des Moines,Central Bank of Kansas City,Kansas City,MO,64124,Commercial Bank,State,17009,0751852,,,1/24/94,,
11635,Chicago,Citizens State Bank,Cadott,WI,54727,Commercial Bank,State,02467,0149150,,,1/24/94,,
11637,Des Moines,First State Bank,Sumner,IA,50674,Commercial Bank,State,11634,0548641,,,1/24/94,,
11638,Dallas,Spring Hill State Bank,Longview,TX,75604,Commercial Bank,State,22526,0457060,,,1/24/94,,
11639,Des Moines,Lake Community Bank,Long Lake,MN,55356,Commercial Bank,State,08193,0030650,,,1/24/94,,
11640,Atlanta,Clover Community Bank,Clover,SC,29710,Commercial Bank,State,27055,0081429,,,1/20/94,,
11641,Atlanta,First National Bank of Shelby,Shelby,NC,28150,Commercial Bank,National,04910,0086527,,,1/20/94,,
11650,Topeka,The FNB&T Company of Okmulgee,Okmulgee,OK,74447,Commercial Bank,National,04170,0634955,,,1/26/94,,
11652,Pittsburgh,Wilmington Trust Company,Wilmington,DE,19890,Commercial Bank,State,00680,0272218,,,1/26/94,,
11653,Des Moines,Bankers Trust Company,Des Moines,IA,50309,Commercial Bank,State,00953,0811046,,,1/27/94,,
11655,Topeka,"Bank of Cordell - Cordell, OK",Rocky,OK,73661,Commercial Bank,State,09875,0464853,,,1/27/94,,
11656,Atlanta,American National Bank & Trust Co.,Danville,VA,24541,Commercial Bank,National,06837,0958727,,,1/28/94,,
11657,Atlanta,The Bank of Marion,Marion,VA,24354,Commercial Bank,State,09507,0858528,,,1/28/94,,
11662,Pittsburgh,The Harrison County Bank,Lost Creek,WV,26385,Commercial Bank,State,09030,0104234,,,1/28/94,,
11663,Indianapolis,LAKE OSCEOLA STATE BANK,Baldwin,MI,49304,Commercial Bank,State,08172,0011145,,,1/28/94,,
11665,Atlanta,SunMark Community Bank,Hawkinsville,GA,31036,Commercial Bank,State,16825,0100236,,,1/28/94,,
11668,Cincinnati,Edmonton State Bank,Glasgow,KY,42141,Commercial Bank,State,09678,0845247,,,1/31/94,,
11669,Chicago,First National Bank of Hartford,Hartford,WI,53027,Commercial Bank,National,05297,0742944,,,1/31/94,,
11670,Dallas,American National Bank,Corpus Christi,TX,78475,Commercial Bank,National,20241,0807955,,,2/1/94,,
11672,Atlanta,Citizens Community Bank,Hahira,GA,31632,Commercial Bank,State,12079,0564838,,,2/1/94,,
11673,Dallas,PriorityOne Bank,Magee,MS,39111,Commercial Bank,State,21906,0956938,,,2/1/94,,
11675,Dallas,"First Community Bank, National Association",San Benito,TX,78586,Commercial Bank,National,22964,0334264,,,2/1/94,,
11680,Indianapolis,WAYNE BANK AND TRUST COMPANY,Cambridge City,IN,47327,Commercial Bank,State,01849,0451246,,,2/1/94,,
11681,Des Moines,Dakota State Bank,Blunt,SD,57522,Commercial Bank,State,01682,0074159,,,1/31/94,,
11685,Topeka,"Rocky Mountain Bank and Trust - Florence, CO",Florence,CO,81226,Commercial Bank,State,03019,0249658,,,2/4/94,,
11686,Dallas,Iberville Bank,Plaquemine,LA,70765,Commercial Bank,State,08807,0088530,,,2/4/94,,
11689,Chicago,"Peoples National Bank, N.A.",Mcleansboro,IL,62859,Commercial Bank,National,03809,0375043,,,2/1/94,,
11694,Pittsburgh,Jefferson Security Bank,Shepherdstown,WV,25443,Commercial Bank,State,09997,0786733,,,2/7/94,,
11696,Dallas,Citizens National Bank,Crockett,TX,75835,Commercial Bank,National,24085,0700252,,,2/7/94,,
11698,Dallas,The First National Bank of Santa Fe,Santa Fe,NM,87504,Commercial Bank,National,02239,0787253,,,2/7/94,,
11699,Dallas,First State Bank of De Queen,Dequeen,AR,71832,Commercial Bank,State,21805,0519146,,,2/7/94,,
11702,Indianapolis,FIRSTBANK,Mount Pleasant,MI,48858,Commercial Bank,State,01597,0960841,,,2/7/94,,
11705,Topeka,The Bankers Bank,Oklahoma City,OK,73120,Commercial Bank,State,26677,0859655,,,2/14/94,,
11706,Atlanta,1st National Bank of South Florida,Homestead,FL,33030,Commercial Bank,National,03564,0737632,,,2/14/94,,
11709,Cincinnati,The National Bank And Trust Company,Wilmington,OH,45177,Commercial Bank,National,06731,0328423,,,2/10/94,,
11710,Topeka,"Five Points Bank - Grand Island, NE",Grand Island,NE,68802,Commercial Bank,State,20488,0554857,,,2/11/94,,
11713,Cincinnati,First Security Bank of Kentucky,Island,KY,42350,Commercial Bank,State,19106,0633341,,,2/15/94,,
11718,Atlanta,Bank of North Carolina,Thomasville,NC,27361,Commercial Bank,State,33527,1908082,,,2/16/94,,
11719,Topeka,"FirstBank of Longmont - Longmont, CO",Longmont,CO,80501,Commercial Bank,State,13084,0365651,,,2/16/94,,
11720,Dallas,First Community Bank,Taos,NM,87571,Commercial Bank,State,12261,0236751,,,2/16/94,,
11722,Des Moines,Bank of Maple Plain,Maple Plain,MN,55359,Commercial Bank,State,09332,0989851,,,2/15/94,,
11726,Pittsburgh,Port Richmond Savings,Philadelphia,PA,19134,Savings Bank,State,27385,1225798,,,2/17/94,,
11728,Des Moines,Peoples Savings Bank,Wellsburg,IA,50680,Commercial Bank,State,14868,0136048,,,2/16/94,,
11729,Des Moines,Citizens Bank Minnesota,New Ulm,MN,56073,Commercial Bank,State,08200,0874050,,,2/17/94,,
11730,Chicago,Alliance Bank,Mondovi,WI,54755,Commercial Bank,State,12511,0021658,,,2/22/94,,
11736,Indianapolis,PACESETTER BANK OF HARTFORD CITY,Hartford City,IN,47348,Commercial Bank,State,19340,0242248,,,2/23/94,,
11737,Atlanta,Waycross Bank & Trust,Waycross,GA,31502,Commercial Bank,State,27254,1191352,,,2/23/94,,
11738,Boston,Putnam Savings Bank,Putnam,CT,06260,Savings Bank,Federal,18240,,17984,,2/18/94,,
11740,Des Moines,Northland Financial,Steele,ND,58482,Commercial Bank,State,13202,0889652,,,2/24/94,,
11743,Des Moines,Decorah Bank & Trust Company,Decorah,IA,52101,Commercial Bank,State,15200,0872047,,,2/24/94,,
11744,Des Moines,Western Bank,Saint Paul,MN,55164,Commercial Bank,State,10203,0829256,,,2/24/94,,
11746,Des Moines,Star Bank,Bertha,MN,56437,Savings Bank,Federal,05095,,17985,,2/25/94,,
11748,Des Moines,Alliant Bank,Madison,MO,65263,Commercial Bank,State,01946,0035057,,,2/25/94,,
11750,New York,SOLVAY BANK,Solvay,NY,13209,Commercial Bank,State,13297,0722816,,,2/25/94,,
11751,Atlanta,Farmers and Merchants Bank,Lakeland,GA,31635,Commercial Bank,State,05716,0763930,,,2/25/94,,
11753,Cincinnati,"Firstmerit Bank, National Association",Akron,OH,44308,Commercial Bank,National,13675,0067311,,,2/28/94,,
11755,Cincinnati,BANK OF MCCREARY COUNTY,Whitley City,KY,42653,Commercial Bank,State,00303,0425818,,,3/1/94,,
11756,Topeka,"Farmers & Merchants State Bank - Wayne, NE",Wayne,NE,68787,Commercial Bank,State,33235,1516348,,,3/1/94,,
11757,New York,STEUBEN TRUST COMPANY,Hornell,NY,14843,Commercial Bank,State,12936,0929802,,,3/1/94,,
11759,Dallas,Mainland Bank,Texas City,TX,77590,Commercial Bank,State,16308,0539667,,,3/3/94,,
11762,Des Moines,"Iowa State Bank and Trust Company of Fairfield, Iowa",Fairfield,IA,52556,Commercial Bank,State,14413,0651541,,,3/3/94,,
11764,Des Moines,Exchange State Bank,Adair,IA,50002,Commercial Bank,State,18838,0787141,,,3/4/94,,
11773,Cincinnati,PEOPLES BANK,Clifton,TN,38425,Commercial Bank,State,09489,0148238,,,3/8/94,,
11776,Des Moines,First State Bank,Belmond,IA,50421,Commercial Bank,State,05791,0854847,,,3/8/94,,
11777,Dallas,First National Bank in Green Forest,Green Forest,AR,72638,Commercial Bank,National,03869,0261940,,,3/10/94,,
11778,Topeka,The FNB&T Company of Junction City,Junction City,KS,66441,Commercial Bank,National,04701,0240356,,,3/10/94,,
11784,Atlanta,Williamsburg First National Bank,Kingstree,SC,29556,Commercial Bank,National,17837,0474825,,,3/10/94,,
11785,Seattle,Citizens Bank,Corvallis,OR,97330,Commercial Bank,State,17809,0098463,,,3/10/94,,
11787,Des Moines,First Dakota National Bank,Yankton,SD,57078,Commercial Bank,National,04028,0441256,,,3/10/94,,
11790,Dallas,First Bank & Trust Of Memphis,Memphis,TX,79245,Commercial Bank,State,03335,0373553,,,3/11/94,,
11791,Dallas,Mississippi River Bank,Belle Chasse,LA,70037,Commercial Bank,State,23222,0742636,,,3/11/94,,
11792,Des Moines,The Paris National Bank,Paris,MO,65275,Commercial Bank,National,04556,1007051,,,3/11/94,,
11794,Chicago,Farmers State Bank of Hoffman,Hoffman,IL,62250,Commercial Bank,State,09259,0837541,,,3/11/94,,
11799,Dallas,Guaranty Bank & Trust Co.,New Roads,LA,70760,Commercial Bank,State,17767,0289739,,,3/15/94,,
11801,Boston,ENTERPRISE BANK,Lowell,MA,01853,Commercial Bank,State,27408,1356768,,,3/11/94,,
11802,Boston,NORTHMARK BANK,North Andover,MA,01845,Commercial Bank,State,27119,1161216,,,3/11/94,,
11804,Cincinnati,The Farmers National Bank of Danville,Danville,KY,40422,Commercial Bank,National,02740,0785147,,,3/14/94,,
11806,Atlanta,Rabun County Bank,Clayton,GA,30525,Commercial Bank,State,22138,0514936,,,3/14/94,,
11808,Indianapolis,CENTRAL STATE BANK,Beulah,MI,49617,Commercial Bank,State,14706,0682545,,,3/15/94,,
11809,Indianapolis,THE NEW WASHINGTON STATE BANK,New Washington,IN,47162,Commercial Bank,State,13305,0305442,,,3/15/94,,
11810,Cincinnati,BANK OF DICKSON,Dickson,TN,37055,Commercial Bank,State,17327,0638131,,,3/16/94,,
11814,Seattle,Columbia State Bank,Tacoma,WA,98402,Commercial Bank,State,33826,2078290,,,3/17/94,,
11816,Des Moines,Janesville State Bank,Janesville,MN,56048,Commercial Bank,State,10960,0088259,,,3/16/94,,
11817,Seattle,First National Bank And Trust Company,Powell,WY,82435,Commercial Bank,National,02226,0022356,,,3/17/94,,
11818,Des Moines,Mills Resolute Bank,Sanborn,MN,56083,Commercial Bank,State,01386,0799359,,,3/17/94,,
11820,Dallas,Central National Bank,Waco,TX,76710,Commercial Bank,National,22396,0428060,,,3/18/94,,
11821,Topeka,McClain Bank,Purcell,OK,73080,Commercial Bank,State,04187,0648251,,,3/18/94,,
11822,Dallas,City Bank & Trust Co.,Natchitoches,LA,71457,Commercial Bank,State,12608,0841753,,,3/22/94,,
11824,Des Moines,Beacon Bank,Excelsior,MN,55331,Commercial Bank,State,10581,0719955,,,3/22/94,,
11830,Topeka,The Jones NB&T Company of Seward,Seward,NE,68434,Commercial Bank,National,05473,0469559,,,3/21/94,,
11832,Des Moines,Peoples State Bank,Westhope,ND,58793,Commercial Bank,State,13196,0238250,,,3/21/94,,
11833,Topeka,"The Pueblo Bank and Trust Company - Pueblo, CO",Pueblo,CO,81003,Commercial Bank,State,12594,0106452,,,3/21/94,,
11834,Chicago,Community First Bank,Rosholt,WI,54473,Commercial Bank,State,12512,0062147,,,3/21/94,,
11835,Chicago,The Necedah Bank,Necedah,WI,54646,Commercial Bank,State,15188,0786443,,,3/22/94,,
11836,Topeka,Community National Bank & Trust,Chanute,KS,66720,Commercial Bank,National,27046,0923752,,,3/2/94,,
11837,Indianapolis,"THE DART BANK, MASON",Mason,MI,48854,Commercial Bank,State,05033,0047247,,,3/22/94,,
11840,New York,HABIB AMERICAN BANK,New York,NY,10016,Commercial Bank,State,25093,0245016,,,3/24/94,,
11844,Des Moines,Eitzen State Bank,Caledonia,MN,55921,Commercial Bank,State,10980,0040855,,,3/24/94,,
11845,Topeka,"Farmers and Merchants Bank - Crescent, OK",Crescent,OK,73028,Commercial Bank,State,12761,0163857,,,3/25/94,,
11848,Boston,The Lenox National Bank,Lenox,MA,01240,Commercial Bank,National,02598,0791205,,,3/25/94,,
11849,Cincinnati,THE CITIZENS BANK OF ASHVIL,Ashville,OH,43103,Commercial Bank,State,13223,0106519,,,3/28/94,,
11852,Pittsburgh,Metro Bank,Camp Hill,PA,17001,Commercial Bank,State,26255,0775214,,,3/29/94,,
11854,Dallas,Texas Star Bank,Van Alstyne,TX,75495,Commercial Bank,State,05567,0274164,,,3/29/94,,
11856,Boston,MOUNT WASHINGTON,South Boston,MA,02127,Savings Bank,State,26552,1017274,,,3/29/94,,
11857,Cincinnati,The Old Fort Banking Company,Tiffin,OH,44883,Commercial Bank,State,10255,0564324,,,3/29/94,,
11858,Indianapolis,SIGNATURE BANK - BAD AXE,Bad Axe,MI,48413,Commercial Bank,State,10936,0964344,,,3/29/94,,
11861,Cincinnati,"FNB Bank, Inc.",Mayfield,KY,42066,Commercial Bank,State,02759,0400141,,,3/30/94,,
11862,Atlanta,Citizens Bank & Savings Company,Russellville,AL,35653,Commercial Bank,State,15310,0594433,,,3/30/94,,
11866,Cincinnati,Cumberland Valley NB&T Company,London,KY,40741,Commercial Bank,National,02691,0647218,,,3/31/94,,
11867,Topeka,"Verus Bank, NA",Derby,KS,67037,Commercial Bank,National,21463,0728452,,,3/31/94,,
11869,Des Moines,Rolling Hills Bank & Trust,Atlantic,IA,50022,Commercial Bank,State,15334,0882242,,,3/31/94,,
11871,Dallas,Security State Bank,Pearsall,TX,78061,Commercial Bank,State,01497,0839068,,,4/1/94,,
11872,Chicago,"AMCORE BANK, N.A.",Rockford,IL,61110,Commercial Bank,National,03735,0938840,,,4/4/94,,
11874,Des Moines,State Bank of Slater,Slater,MO,65349,Commercial Bank,State,10613,0205159,,,4/6/94,,
11878,Atlanta,The First National Bank of Waynesboro,Waynesboro,GA,30830,Commercial Bank,National,02160,0031134,,,4/6/94,,
11880,Topeka,Patriot Bank,Broken Arrow,OK,74012,Commercial Bank,State,34098,2371508,,,12/4/95,,
11882,Des Moines,"Liberty Savings Bank, FSB",Saint Cloud,MN,56301,Savings Bank,Federal,26891,,11882,,1/31/95,,
11884,Dallas,"Dryades Savings Bank, FSB",New Orleans,LA,70130,Savings Bank,Federal,33933,,11884,,,,
11885,Boston,BELMONT SAVINGS BANK,Belmont,MA,02178,Savings Bank,State,23901,0348207,,,4/7/94,,
11890,Des Moines,Premier Bank,Maplewood,MN,55109,Commercial Bank,State,21714,0033259,,,4/7/94,,
11891,New York,Rome Savings Bank (The),Rome,NY,13440,Savings Bank,Federal,15983,,17970,,4/7/94,,
11892,Atlanta,Suncoast Schools Federal Credit Union,Tampa,FL,33610,Credit Union,Federal,,,,23042,4/7/94,,
11895,Boston,WEBSTER FIVE CENTS,Webster,MA,01570,Savings Bank,State,90297,0765505,,,4/5/94,,
11898,Des Moines,First Bank of White,White,SD,57006,Commercial Bank,State,04026,0439459,,,4/7/94,,
11899,Chicago,Premier  Community   Bank,Marion,WI,54950,Commercial Bank,State,15799,0597546,,,4/7/94,,
11900,Cincinnati,THE STATE BANK & TRUST COMP,Defiance,OH,43512,Commercial Bank,State,13339,0614313,,,4/7/94,,
11902,Atlanta,Oconee State Bank,Watkinsville,GA,30677,Commercial Bank,State,18143,0573036,,,4/11/94,,
11903,Boston,SALISBURY BANK,Salisbury,CT,06039,Commercial Bank,State,18467,0821906,,,4/11/94,,
11904,Des Moines,Jefferson Bank of Missouri,Jefferson City,MO,65102,Commercial Bank,State,19762,0854454,,,4/11/94,,
11909,Indianapolis,STATE SAVINGS BANK - FRANKFORT,Frankfort,MI,49635,Commercial Bank,State,08162,0022543,,,4/13/94,,
11910,Topeka,American National Bank,Ardmore,OK,73403,Commercial Bank,National,24472,0256058,,,4/14/94,,
11911,Topeka,Community Bank,Alva,OK,73717,Commercial Bank,State,25750,0250850,,,4/14/94,,
11912,Boston,The First National Bank of Suffield,Suffield,CT,06078,Commercial Bank,National,02526,0115100,,,4/15/94,,
11913,Des Moines,First National Bank ,Waverly,IA,50677,Commercial Bank,National,04519,0376442,,,4/15/94,,
11914,Seattle,Hawaii National Bank,Honolulu,HI,96817,Commercial Bank,National,18296,0915065,,,4/15/94,,
11916,Des Moines,"BankWest, Inc",Pierre,SD,57501,Commercial Bank,State,04009,0540551,,,4/14/94,,
11917,Seattle,First Hawaiian Bank,Honolulu,HI,96813,Commercial Bank,State,17985,0980661,,,4/14/94,,
11919,Topeka,"F&M Bank, National Association - Yukon, OK",Piedmont,OK,73078,Commercial Bank,National,27421,1357466,,,4/18/94,,
11920,Chicago,Farmers Savings Bank,Mineral Point,WI,53565,Commercial Bank,State,13025,0205346,,,4/18/94,,
11921,Chicago,Palos Bank and Trust Company,Palos Heights,IL,60463,Commercial Bank,State,17599,0859945,,,4/19/94,,
11925,Atlanta,Bank of Camilla,Camilla,GA,31730,Commercial Bank,State,17190,0124830,,,4/19/94,,
11927,Boston,New England Ibm Employees FCU,Williston,VT,05453,Credit Union,Federal,,,,19263,4/19/94,,
11930,Pittsburgh,Royal Bank America,Narberth,PA,19072,Commercial Bank,State,18962,0471217,,,4/19/94,,
11931,Topeka,"Valley Bank & Trust - Brighton, CO",Brighton,CO,80601,Commercial Bank,State,25651,0806154,,,4/19/94,,
11932,Indianapolis,First National Bank & Trust Company of Iron Mountain (The),Iron Mountain,MI,49801,Commercial Bank,National,05062,0251558,,,4/19/94,,
11933,Des Moines,"Iowa State Bank, Des Moines, Iowa",Des Moines,IA,50309,Commercial Bank,State,15808,0662949,,,4/20/94,,
11936,Seattle,1st Security Bank of Washington,Lynnwood,WA,98036,Savings Bank,State,57633,1018927,,,4/21/94,,
11940,Atlanta,The Bank of Glen Burnie,Glen Burnie,MD,21061,Commercial Bank,State,16820,0628123,,,4/22/94,,
11942,Des Moines,Lawson Bank,Lawson,MO,64062,Commercial Bank,State,11457,0652753,,,4/25/94,,
11943,Des Moines,Platte Valley Bank of Missouri,Platte City,MO,64079,Commercial Bank,State,14869,0701259,,,4/25/94,,
11945,Chicago,Denmark State Bank,Denmark,WI,54208,Commercial Bank,State,13240,0222446,,,4/26/94,,
11946,Dallas,The Liberty National Bank in Paris,Paris,TX,75460,Commercial Bank,National,03384,0001669,,,4/26/94,,
11947,Atlanta,Trupoint Bank,Grundy,VA,24614,Commercial Bank,State,21883,0274829,,,4/26/94,,
11948,Boston,Oxford Federal Credit Union,Mexico,ME,04257,Credit Union,Federal,,,,02645,4/26/94,,
11949,Atlanta,The Patterson Bank,Patterson,GA,31557,Commercial Bank,State,10055,0631039,,,4/26/94,,
11950,Des Moines,United Community Bank,Perham,MN,56573,Commercial Bank,State,08544,0847157,,,4/26/94,,
11952,Boston,"St. Anne's CU of Fall River, Ma",Fall River,MA,02724,Credit Union,State,,,,67605,4/26/94,,
11954,Pittsburgh,Delaware National Bank,Georgetown,DE,19947,Commercial Bank,National,22837,0026916,,,4/26/94,,
11955,Des Moines,First Bank & Trust,Sioux Falls,SD,57104,Commercial Bank,State,27078,0550756,,,4/26/94,,
11956,Des Moines,Pilot Grove Savings Bank,Pilot Grove,IA,52648,Commercial Bank,State,09100,0585749,,,4/26/94,,
11959,Pittsburgh,Scottdale Bank & Trust Company,Scottdale,PA,15683,Commercial Bank,State,10688,0189820,,,4/26/94,,
11960,Topeka,"Dakota County State Bank - South Sioux City, NE",South Sioux City,NE,68776,Commercial Bank,State,18944,0655857,,,4/28/94,,
11962,Cincinnati,Community Financial Services Bank,Benton,KY,42025,Commercial Bank,State,00287,0698144,,,4/28/94,,
11963,Dallas,Columbus State Bank,Columbus,TX,78934,Commercial Bank,State,12305,0891253,,,4/29/94,,
11964,Chicago,Fidelity National Bank,Medford,WI,54451,Commercial Bank,National,22153,0179755,,,4/29/94,,
11965,Chicago,Portage County Bank,Almond,WI,54909,Commercial Bank,State,10012,0012647,,,4/29/94,,
11966,Dallas,MyLubbockBank,Coahmoa,TX,79511,Commercial Bank,State,01720,0199463,,,4/29/94,,
11970,New York,The Bank,Woodbury,NJ,08096,Commercial Bank,State,27614,1407932,,,5/2/94,,
11971,Dallas,Citizens National Bank At Brownwood,Brownwood,TX,76801,Commercial Bank,National,14779,0233358,,,5/2/94,,
11972,Indianapolis,FARMERS STATE BANK - MENTONE,Mentone,IN,46539,Commercial Bank,State,09290,0348748,,,5/2/94,,
11973,Dallas,First American Bank & Trust,Vacherie,LA,70090,Commercial Bank,State,08149,0101037,,,5/2/94,,
11974,Des Moines,Hamilton Bank (The),Hamilton,MO,64644,Commercial Bank,State,15606,0723550,,,5/2/94,,
11976,Dallas,LegacyTexas Bank,Plano,TX,75024,Commercial Bank,State,18843,0913267,,,5/2/94,,
11978,Indianapolis,EXCHANGE STATE BANK,Carsonville,MI,48419,Commercial Bank,State,15064,0618544,,,5/3/94,,
11980,New York,Interaudi Bank,New York,NY,10022,Commercial Bank,State,24516,0538802,,,5/4/94,,
11982,Dallas,Pike National Bank,McComb,MS,39648,Commercial Bank,National,26379,0880332,,,5/4/94,,
11983,Des Moines,First National Bank ,Sioux Center,IA,51250,Commercial Bank,National,04503,0307745,,,5/2/94,,
11984,Atlanta,Gordon Bank (The),Gordon,GA,31031,Commercial Bank,State,33904,0219138,,,4/29/94,,
11986,Chicago,Farmers Exchange Bank,Neshkoro,WI,54960,Commercial Bank,State,15189,0229940,,,5/5/94,,
11987,Chicago,First Midwest Bank,Itasca,IL,60143,Commercial Bank,State,03709,1007846,,,5/5/94,,
11988,Chicago,Community Trust Bank,Irvington,IL,62848,Commercial Bank,State,13380,0484141,,,5/5/94,,
11990,New York,"Flushing Savings Bank, FSB",Flushing,NY,11354,Savings Bank,Federal,16049,,11990,,5/10/94,,
11991,Topeka,Meritrust Credit Union,Wichita,KS,67226,Credit Union,State,,,,63283,5/9/94,,
11993,Dallas,First International Bank,Bedford,TX,76022,Commercial Bank,State,33513,1899902,,,5/9/94,,
11995,Dallas,First National Bank of Picayune,Picayune,MS,39466,Commercial Bank,National,16612,0568939,,,5/9/94,,
11997,Topeka,"First State Bank - Kansas City, KS",Kansas City,KS,66105,Commercial Bank,State,12426,0252658,,,5/9/94,,
12002,Atlanta,"Raymond James Bank, FSB",St. Petersburg,FL,33716,Savings Bank,Federal,33893,,12002,,5/6/94,,
12003,Cincinnati,JACKSON COUNTY BANK,Mckee,KY,40447,Commercial Bank,State,00291,1016718,,,5/10/94,,
12004,Topeka,"Denison State Bank - Holton, KS",Holton,KS,66436,Commercial Bank,State,15305,0869551,,,5/11/94,,
12007,New York,COUNTRY BANK,Carmel,NY,10512,Commercial Bank,State,27226,1191482,,,5/11/94,,
12008,Pittsburgh,Grant County Bank,Petersburg,WV,26847,Commercial Bank,State,11953,0718538,,,5/11/94,,
12009,Atlanta,Highlands Union Bank,Abingdon,VA,24212,Commercial Bank,State,26191,0969424,,,5/11/94,,
12011,Cincinnati,UNITED SOUTHERN BANK,Trenton,KY,42286,Commercial Bank,State,09309,0110945,,,5/11/94,,
12014,Dallas,United Mississippi Bank,Natchez,MS,39120,Commercial Bank,State,21083,0544335,,,5/11/94,,
12015,Topeka,"Pony Express Community Bank - Elwood, KS",St. Joseph,MO,64501,Commercial Bank,State,22185,0646958,,,5/11/94,,
12016,San Francisco,Montecito Bank & Trust,Santa Barbara,CA,93101,Commercial Bank,State,21956,0514066,,,5/11/94,,
12018,Boston,EVERETT CO-OPERATIVE,Everett,MA,02149,Savings Bank,State,26444,0952172,,,5/13/94,,
12025,Chicago,Centrue Bank,Streator,IL,61364,Commercial Bank,State,03744,0457547,,,5/17/94,,
12029,Dallas,Bank of Kilmichael,Kilmichael,MS,39747,Commercial Bank,State,09775,0780049,,,5/23/94,,
12032,Cincinnati,THE SPRINGFIELD STATE BANK,Springfield,KY,40069,Commercial Bank,State,08772,0197142,,,5/23/94,,
12033,Boston,SOUTH ADAMS SAVINGS,Adams,MA,01220,Savings Bank,State,90140,0343903,,,5/23/94,,
12035,Chicago,Bank North,Crivitz,WI,54114,Commercial Bank,State,15093,0012245,,,5/23/94,,
12036,Dallas,National Bank & Trust,La Grange,TX,78945,Commercial Bank,National,03289,0792659,,,5/23/94,,
12037,Boston,Metropolitan Credit Union,Chelsea,MA,02150,Credit Union,State,,,,66364,5/23/94,,
12039,New York,RHINEBECK SAVINGS BANK,Rhinebeck,NY,12572,Savings Bank,State,16032,0195111,,,5/20/94,,
12040,Pittsburgh,Swineford National Bank,Middleburg,PA,17842,Commercial Bank,National,07774,0203418,,,5/24/94,,
12043,Topeka,First Texoma National Bank,Durant,OK,74701,Commercial Bank,National,13905,0388155,,,5/25/94,,
12044,Boston,NORTH BROOKFIELD,North Brookfield,MA,01535,Savings Bank,State,90258,0528102,,,5/25/94,,
12045,Atlanta,Branch Banking And Trust Company,Winston Salem,NC,27101,Commercial Bank,State,09846,0852320,,,5/25/94,,
12049,Des Moines,Central Bank of Lake of the Ozarks,Osage Beach,MO,65065,Commercial Bank,State,11000,1015243,,,5/31/94,,
