FHFBID,District,Member Name,City,State,Zip,Member Type,Charter Type,FDIC Certificate Number,Federal Reserve ID,OTS Docket Number ,Credit Union Charter Number ,Approval Date,,
00685,Chicago,Ottawa Savings Bank,Ottawa,IL,61350,Savings Bank,Federal,27989,,17997,,,,
00691,Chicago,Prospect Federal Savings Bank,Worth,IL,60482,Savings Bank,Federal,27993,,00691,,,,
00709,Cincinnati,GUARDIAN SAVINGS BANK FSB,Cincinnati,OH,45239,Savings Bank,Federal,27998,,00709,,,,
00773,Atlanta,Belmont FS & LA,Belmont,NC,28012,Savings and Loan,Federal,28035,,00773,,,,
00784,Pittsburgh,"Fidelity Savings Bank, PASA",Pittsburgh,PA,15212,Savings Bank,State,28038,0736877,,,,,
00805,Chicago,Park Federal Savings Bank,Chicago,IL,60632,Savings Bank,Federal,28053,,00805,,,,
00824,Cincinnati,Citizens FS & LA,Bellefontaine,OH,43311,Savings and Loan,Federal,28060,,00824,,,,
00827,Cincinnati,The Covington S & LA,Covington,OH,45318,Savings and Loan,State,28063,,00827,,,,
00837,Chicago,Royal Savings Bank,Chicago,IL,60617,Savings Bank,State,28068,0649874,,,,,
00866,Cincinnati,The Harrison B & La,Harrison,OH,45030,Savings and Loan,State,28080,,00866,,,,
00871,Cincinnati,Nelsonville Home and Savings,Nelsonville,OH,45764,Savings Bank,State,28085,0840578,,,,,
00880,Seattle,Washington FS & LA,Seattle,WA,98101,Savings and Loan,Federal,28088,,00880,,,,
00887,Des Moines,Home Federal Bank,Sioux Falls,SD,57104,Savings Bank,Federal,28092,,00887,,,,
00890,Dallas,Home Bank,Lafayette,LA,70508,Savings Bank,Federal,28094,,00890,,,,
00898,Dallas,Iberiabank,Lafayette,LA,70501,Commercial Bank,State,28100,0808176,,,,,
00904,Chicago,Collinsville Building and Loan Association,Collinsville,IL,62234,Savings and Loan,Federal,28103,,00904,,,,
00906,Chicago,"First Robinson Savings Bank, National Association",Robinson,IL,62454,Commercial Bank,National,28105,0660271,,,,,
00919,Cincinnati,Home Savings and Loan Company,Youngstown,OH,44503,Savings Bank,State,28114,0932277,,,,,
00921,Seattle,Yakima FS & LA,Yakima,WA,98901,Savings and Loan,Federal,28116,,00921,,,,
00940,New York,GCF Bank,Sewell,NJ,08080,Savings Bank,Federal,28126,,00940,,,,
00955,Pittsburgh,Cambria County FS & LA,Cresson,PA,16630,Savings and Loan,Federal,28134,,00955,,,,
00962,Pittsburgh,Eureka Bank,Pittsburgh,PA,15213,Savings and Loan,Federal,28135,,00962,,,,
00966,Indianapolis,"MAINSTREET SAVINGS BANK, FSB",Hastings,MI,49058,Savings Bank,Federal,28136,,00966,,,,
00972,Atlanta,"Security Savings Bank, SSB",Southport,NC,28461,Savings Bank,State,28139,0853372,,,,,
01001,Chicago,West Town Savings Bank,Cicero,IL,60650,Savings Bank,State,28151,0857576,,,,,
01007,Boston,"PROFILE BANK, FSB",Rochester,NH,03867,Savings Bank,Federal,28155,,01007,,,,
01016,Cincinnati,The Cincinnatus Savings & Loan Co.,Cincinnati,OH,45211,Savings and Loan,State,28157,,01016,,,,
01039,Boston,EASTERN FEDERAL BANK,Norwich,CT,06360,Savings Bank,Federal,28167,,01039,,,,
01067,Pittsburgh,Northwest Savings Bank,Warren,PA,16365,Savings Bank,State,28178,1002878,,,,,
01068,Cincinnati,NORTH AKRON SAVINGS BANK,Akron,OH,44310,Savings Bank,State,28179,0865674,,,,,
01090,Pittsburgh,Mifflin County Savings Bank,Lewistown,PA,17044,Savings Bank,State,28186,0757779,,,,,
01098,New York,AUDUBON SAVINGS BANK,Audubon,NJ,08106,Savings Bank,State,28191,0820178,,,,,
01142,Topeka,San Luis Valley Federal Bank,Alamosa,CO,81101,Savings and Loan,Federal,28208,,01142,,,,
01146,Chicago,Jacksonville Savings Bank,Jacksonville,IL,62650,Savings Bank,State,28211,0687474,,,,,
01149,Boston,WINTER HILL FSB,Somerville,MA,02145,Savings Bank,Federal,28213,,01149,,,,
01158,Cincinnati,Warsaw FS & LA,Cincinnati,OH,45205,Savings and Loan,Federal,28217,,01158,,,,
01168,New York,HADDON SAVINGS BANK,Haddon Heights,NJ,08035,Savings Bank,State,28222,1008076,,,,,
01181,Atlanta,AFB&T,Athens,GA,30603,Commercial Bank,State,28225,0947178,,,,,
01195,Cincinnati,PARK VIEW FEDERAL SAVINGS B,Solon,OH,44139,Savings Bank,Federal,28235,,01195,,,,
01219,Boston,PITTSFIELD COOP BK,Pittsfield,MA,01202,Savings Bank,State,26393,1000276,,,,,
01221,Chicago,Waukegan Savings and Loan Savings Bank,Waukegan,IL,60085,Savings Bank,State,28243,0825977,,,,,
01227,Topeka,"Home Savings Bank - Chanute, KS",Chanute,KS,66720,Savings Bank,Federal,28246,,01227,,,,
01245,Seattle,Home Federal Bank,Nampa,ID,83651,Savings Bank,Federal,28258,,01245,,,,
01254,Pittsburgh,ESSA Bank & Trust,Stroudsburg,PA,18360,Savings and Loan,State,28262,,01254,,,,
01260,Cincinnati,CFBank,Fairlawn,OH,44333,Savings and Loan,Federal,28263,,01260,,,,
01265,Seattle,Raymond Federal Bank,Raymond,WA,98577,Savings and Loan,Federal,28266,,01265,,,,
01282,Des Moines,Home Savings Bank,Jefferson City,MO,65102,Savings and Loan,Federal,28276,,01282,,,,
01283,Des Moines,Ozarks Federal Savings and Loan Association,Farmington,MO,63640,Savings and Loan,Federal,28277,,01283,,,,
01288,Seattle,Western Security Bank,,MT,,Commercial Bank,State,57248,2999845,,,,,
01292,Atlanta,Fraternity FS & LA,Baltimore,MD,21230,Savings and Loan,Federal,28283,,01292,,,,
01299,Indianapolis,Indiana Bank and Trust Company,Columbus,IN,47201,Commercial Bank,State,28285,0832470,,,,,
01305,Boston,Auburn S & LA,Auburn,ME,04210,Savings and Loan,State,28288,,01305,,,,
01328,Boston,United Bank,West Springfield,MA,01090,Savings Bank,Federal,26486,,17967,,,,
01330,Chicago,Mutual FS & LA of Chicago,Chicago,IL,60608,Savings and Loan,Federal,28302,,01330,,,,
01350,Atlanta,"Roanoke Rapids Savings Bank, SSB",Roanoke Rapids,NC,27870,Savings Bank,State,28314,0247476,,,,,
01351,Topeka,Rio Grande S&la,Monte Vista,CO,81144,Savings and Loan,State,28315,,01351,,,,
01355,Dallas,Fidelity Homestead Savings Bank,New Orleans,LA,70112,Savings Bank,State,28316,0255574,,,,,
01384,Des Moines,TCF National Bank,Sioux Falls,SD,57106,Commercial Bank,National,28330,0266271,,,,,
01386,Des Moines,Southern Bank,Poplar Bluff,MO,63901,Commercial Bank,State,28332,0272272,,,,,
01409,Cincinnati,Cincinnati FS & LA,Cincinnati,OH,45205,Savings and Loan,Federal,28346,,01409,,,,
01411,Cincinnati,BELMONT SAVINGS BANK,Bellaire,OH,43906,Savings Bank,State,28348,0072678,,,,,
01412,Cincinnati,Home FS & LA of Niles,Niles,OH,44446,Savings and Loan,Federal,28349,,01412,,,,
01420,Cincinnati,CENTURY BANK FSB,Parma,OH,44134,Savings Bank,Federal,28353,,01420,,,,
01427,Topeka,Osage Federal Bank,Pawhuska,OK,74056,Savings and Loan,Federal,28356,,01427,,,,
01437,New York,OceanFirst Bank,Toms River,NJ,08754,Savings Bank,Federal,28359,,01437,,,,
01441,Dallas,Century Bank,Santa Fe,NM,87501,Commercial Bank,State,28362,0083375,,,,,
01452,Boston,"Middlesex Federal Savings, F.A.",Somerville,MA,02144,Savings and Loan,Federal,28368,,01452,,,,
01454,Boston,Rockland S & LA,Rockland,ME,04841,Savings and Loan,State,28369,,01454,,,,
01456,Boston,CAPE COD COOP BK,Yarmouth,MA,02675,Savings Bank,State,26517,0119779,,,,,
01463,Boston,NATICK FSB,Natick,MA,01760,Savings Bank,Federal,28373,,01463,,,,
01472,New York,Walden Federal Savings & Loan Association,Walden,NY,12586,Savings and Loan,Federal,28379,,01472,,,,
01473,New York,Adirondack Bank,Utica,NY,13501,Commercial Bank,State,28380,0101671,,,,,
01485,Des Moines,Edward Jones Trust Company,St. Louis,MO,63131,Savings and Loan,Federal,28390,,01485,,,,
01504,New York,Cape Bank,Cape May Court House,NJ,08210,Savings Bank,State,28395,0106377,,,,,
01509,Atlanta,"First Palmetto Savings Bank, FSB",Camden,SC,29020,Savings Bank,Federal,28396,,01509,,,,
01519,Chicago,Westbury Bank,West Bend,WI,53095,Savings Bank,Federal,28400,,17893,,,,
01520,Chicago,Eureka Savings Bank,La Salle,IL,61301,Savings Bank,State,28401,0587677,,,,,
01528,Seattle,First FS & LA of Port Angeles,Port Angeles,WA,98362,Savings and Loan,Federal,28405,,01528,,,,
01532,Topeka,"Liberty Federal Savings Bank - Enid, OK",Enid,OK,73701,Savings Bank,Federal,28407,,01532,,,,
01538,Dallas,Bank of New Orleans,Metairie,LA,70005,Savings Bank,Federal,28411,,01538,,,,
01555,New York,Highland Falls FS & LA,Highland Falls,NY,10928,Savings and Loan,Federal,28417,,01555,,,,
01567,Chicago,Central FS & LA,Cicero,IL,60804,Savings and Loan,Federal,28425,,01567,,,,
