,,,,,,,,Federal Housing Finance Agency,,
,,,,,,,,www.fhfa.gov,,
,,,,,,,,,,
"TABLE 24:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, NEWLY BUILT  HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,
,,(%),Charges,(%),,($000),,(%),,
,,,(%),,,,,,,
,,,,,,,,,,
1991,11,7.62,1.06,7.78,28.2,132.5,179.3,74.5,,
1991,12,7.33,1.36,7.54,28.2,131.4,181.8,72.8,,
1992,01,7.29,1.48,7.52,27.0,121.2,164.0,74.4,,
1992,02,7.31,1.78,7.62,24.0,103.2,147.1,68.8,,
1992,03,6.62,1.59,6.86,28.2,125.5,166.3,76.2,,
1992,04,6.74,1.60,6.98,28.9,110.5,166.4,65.1,,
1992,05,6.69,1.63,6.93,28.4,126.5,171.9,73.6,,
1992,06,7.02,1.45,7.24,27.9,118.4,157.9,74.7,,
1992,07,6.38,1.27,6.57,29.7,202.5,255.2,79.2,,
1992,08,6.44,1.45,6.66,26.4,117.0,151.2,76.7,,
1992,09,5.99,1.41,6.20,28.9,133.0,173.5,76.8,,
1992,10,6.71,1.40,6.93,26.6,98.0,137.6,74.7,,
1992,11,6.65,1.36,6.86,26.5,139.7,206.4,75.1,,
1992,12,5.94,1.45,6.14,29.9,144.7,184.8,79.3,,
1993,01,6.12,1.39,6.32,29.4,161.6,209.7,77.7,,
1993,02,5.95,1.53,6.17,29.1,156.0,198.1,79.6,,
1993,03,5.81,1.62,6.04,29.8,136.1,181.7,75.9,,
1993,04,6.64,0.75,6.75,22.3,94.3,123.1,78.6,,
1993,05,5.63,1.25,5.81,28.6,146.2,194.9,76.3,,
1993,06,5.72,1.20,5.90,26.8,126.0,226.1,67.0,,
1993,07,5.65,1.13,5.81,29.5,149.7,194.6,78.9,,
1993,08,5.49,1.12,5.65,28.9,145.0,187.1,78.1,,
1993,09,5.67,1.07,5.82,28.5,141.4,179.4,78.2,,
1993,10,5.31,1.05,5.45,28.4,149.4,205.1,74.5,,
1993,11,5.30,1.04,5.45,28.9,143.0,181.0,79.4,,
1993,12,5.39,1.06,5.54,28.5,158.1,202.7,78.9,,
1994,01,5.87,0.81,5.99,27.1,157.0,210.4,76.7,,
1994,02,5.43,1.15,5.60,28.4,147.4,185.7,79.4,,
1994,03,5.25,0.94,5.38,28.9,154.5,191.8,81.5,,
1994,04,6.13,0.93,6.27,27.8,137.9,181.7,80.8,,
1994,05,5.95,1.16,6.12,29.6,155.0,199.5,79.1,,
1994,06,6.43,1.13,6.59,28.7,141.2,181.1,79.9,,
1994,07,6.38,1.21,6.56,28.9,150.7,191.8,79.7,,
1994,08,6.55,1.28,6.74,29.4,150.7,193.7,79.3,,
1994,09,6.62,1.22,6.80,29.8,152.8,193.7,79.7,,
1994,10,6.84,1.08,7.03,28.2,141.4,185.4,78.5,,
1994,11,6.92,1.18,7.09,29.5,149.0,191.4,79.2,,
1994,12,6.90,1.38,7.11,29.5,154.5,207.7,77.9,,
1995,01,7.24,1.23,7.42,29.9,147.5,189.6,79.7,,
1995,02,7.48,1.27,7.68,29.4,145.5,186.0,80.2,,
1995,03,7.53,1.00,7.68,29.4,153.5,195.3,80.5,,
1995,04,7.38,0.96,7.53,29.5,154.3,201.0,79.1,,
1995,05,7.23,1.08,7.39,29.8,166.1,215.2,79.2,,
1995,06,6.99,1.11,7.16,29.1,162.7,211.1,79.5,,
1995,07,7.06,0.98,7.21,28.5,150.5,194.5,78.9,,
1995,08,6.92,0.97,7.06,29.8,160.4,201.0,81.5,,
1995,09,6.98,0.97,7.12,28.4,165.4,209.7,79.7,,
1995,10,6.86,0.98,7.01,28.6,161.5,213.8,76.6,,
1995,11,6.80,0.86,6.93,28.6,163.1,209.7,80.0,,
1995,12,6.76,1.01,6.91,29.9,193.5,245.6,79.9,,
1996,01,6.88,0.76,6.99,28.5,153.9,199.5,76.4,,
1996,02,6.61,1.07,6.76,28.6,173.2,219.1,80.1,,
1996,03,6.54,0.99,6.69,28.7,172.3,222.0,77.6,,
1996,04,6.83,0.73,6.94,29.2,155.8,197.7,79.3,,
1996,05,7.03,0.88,7.16,29.5,181.1,235.3,80.6,,
1996,06,7.13,0.97,7.27,29.9,179.1,227.3,80.1,,
