,,,,,,,,,Federal Housing FiN/A,,,,
,,,,,,,,,www.fhfa.gov,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"TABLE 18:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, NEWLY BUILT HOMES",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,Adjustable-,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,Rate,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,Loans,,,,
,,(%),Charges,(%),,($000),,(%),(%),,,,
,,,(%),,,,,,,,,,
,,,,,,,,,,,,,
2010,06,4.88,0.85,5.00,28.2,224.4,316.1,73.1,N/A*,,,,
2010,07,4.75,0.87,4.87,28.8,266.0,374.7,73.2,N/A*,,,,
2010,08,4.56,0.75,4.67,28.4,253.6,348.6,73.2,N/A*,,,,
2010,09,4.42,0.73,4.52,28.7,251.0,349.7,73.1,N/A*,,,,
2010,10,4.31,0.63,4.40,29.1,256.3,361.7,71.4,N/A*,,,,
2010,11,4.16,0.72,4.26,28.2,237.7,328.9,73.2,N/A*,,,,
2010,12,4.33,0.77,4.44,28.7,252.8,343.7,74.5,N/A*,,,,
2011,01,4.63,0.82,4.75,28.4,252.7,350.5,73.2,N/A*,,,,
2011,02,4.84,0.69,4.94,27.4,239.8,332.0,74.1,N/A*,,,,
2011,03,4.83,1.08,4.98,28.5,242.4,328.8,74.7,N/A*,,,,
2011,04,4.79,0.83,4.91,28.4,244.2,335.1,74.8,N/A*,,,,
2011,05,4.77,0.60,4.86,28.7,248.8,328.4,79.5,N/A*,,,,
2011,06,4.45,1.13,4.61,28.0,255.8,359.6,73.7,N/A*,,,,
2011,07,4.48,0.52,4.55,28.1,224.8,300.8,77.0,N/A*,,,,
2011,08,4.19,0.72,4.29,25.3,223.6,314.5,75.5,N/A*,,,,
2011,09,4.24,0.85,4.36,29.1,225.5,289.0,83.0,N/A*,,,,
2011,10,4.11,0.58,4.19,29.4,241.6,311.9,80.8,N/A*,,,,
2011,11,4.16,0.73,4.26,29.3,261.6,345.5,76.9,N/A*,,,,
2011,12,4.08,0.68,4.18,28.7,258.9,338.3,79.0,N/A*,,,,
2012,01,3.98,0.83,4.09,29.3,267.2,358.1,76.8,N/A*,,,,
2012,02,3.89,0.92,4.01,29.5,275.9,370.1,76.2,N/A*,,,,
2012,03,3.84,1.03,3.72,28.3,270.5,365.8,76.2,N/A*,,,,
2012,04,3.84,1.05,3.93,28.3,279.5,379.5,75.7,N/A*,,,,
2012,05,3.75,1.22,3.88,28.2,271.8,357.7,77.1,N/A*,,,,
2012,06,3.68,1.21,3.80,28.6,274.7,374.6,75.3,N/A*,,,,
2012,07,3.64,1.10,3.76,28.8,282.7,373.4,78.2,N/A*,,,,
2012,08,3.54,1.20,3.67,28.5,275.8,368.2,76.6,N/A*,,,,
2012,09,3.49,1.18,3.62,28.4,275.2,370.9,76.4,N/A*,,,,
2012,10,3.45,1.35,3.58,28.5,285.1,377.9,77.4,N/A*,,,,
2012,11,3.34,1.25,3.46,28.4,305.6,400.7,78.2,N/A*,,,,
2012,12,3.27,1.35,3.40,28.2,296.1,391.5,77.4,N/A*,,,,
2013,01,3.28,1.21,3.41,28.1,286.7,385.4,76.2,N/A*,,,,
2013,02,3.37,1.17,3.49,28.2,291.2,387.1,77.0,N/A*,,,,
2013,03,3.50,1.08,3.61,28.4,295.3,388.4,77.7,N/A*,,,,
2013,04,3.52,1.18,3.66,28.0,305.3,407.1,76.4,N/A*,,,,
2013,05,3.41,1.30,3.55,28.5,300.2,395.3,77.9,N/A*,,,,
2013,06,3.52,1.12,3.64,28.6,295.8,387.7,78.4,N/A*,,,,
2013,07,3.94,1.11,4.07,28.4,303.3,394.4,78.6,N/A*,,,,
2013,08,4.20,1.06,4.33,28.6,308.3,400.4,78.7,N/A*,,,,
2013,09,4.30,1.14,4.44,28.3,294.8,388.5,77.5,N/A*,,,,
2013,10,4.32,1.30,4.47,28.3,302.5,401.8,77.1,N/A*,,,,
2013,11,4.26,1.27,4.39,28.6,302.0,401.8,77.4,N/A*,,,,
2013,12,4.24,1.22,4.37,28.6,313.4,409.5,78.3,N/A*,,,,
2014,01,4.31,1.30,4.45,28.7,329.0,434.9,77.6,N/A*,,,,
2014,02,3.91,1.28,4.04,28.4,301.3,405.2,76.6,N/A*,,,,
2014,03,4.21,1.21,4.35,28.6,322.6,427.2,77.5,N/A*,,,,
2014,04,4.19,1.22,4.33,28.5,325.8,434.5,77.0,N/A*,,,,
2014,05,3.88,1.25,4.01,28.8,319.8,418.8,78.6,N/A*,,,,
2014,06,4.14,1.18,4.27,28.6,316.0,417.5,77.3,N/A*,,,,
2014,07,4.12,1.20,4.25,28.7,320.1,423.8,77.6,N/A*,,,,
2014,08,4.13,1.15,4.25,28.8,314.2,411.8,78.2,N/A*,,,,
2014,09,4.11,1.09,4.23,28.7,319.8,422.3,77.6,N/A*,,,,
2014,10,4.10,1.21,4.23,28.6,324.9,432.2,77.2,N/A*,,,,
2014,11,4.03,1.23,4.16,28.7,335.3,443.3,77.9,N/A*,,,,
2014,12,4.03,1.16,4.14,28.8,336.5,437.3,78.9,N/A*,,,,
2015,01,3.92,1.18,4.05,28.8,331.7,440.3,77.3,N/A*,,,,
2015,02,3.79,1.11,3.91,28.6,338.6,449.5,77.7,N/A*,,,,
2015,03,3.81,1.13,3.93,29.2,339.0,445.7,78.2,N/A*,,,,
2015,04,3.78,1.24,3.92,28.8,342.0,453.2,77.5,N/A*,,,,
2015,05,3.77,1.11,3.89,28.9,343.0,447.6,78.8,N/A*,,,,
2015,06,3.86,1.08,3.98,28.9,352.5,462.1,78.3,N/A*,,,,
2015,07,3.98,1.15,4.10,29.1,350.6,458.3,78.8,N/A*,,,,
2015,08,4.00,1.23,4.12,28.6,345.4,458.2,77.5,N/A*,,,,
2015,09,3.98,1.16,4.09,28.7,358.2,477.0,77.5,N/A*,,,,
2015,10,3.92,1.09,4.02,28.7,349.8,469.2,77.5,N/A*,,,,
2015,11,3.89,1.21,4.00,28.7,353.2,468.3,78.1,N/A*,,,,
2015,12,3.94,1.06,4.03,28.6,356.6,467.8,78.1,N/A*,,,,
2016,01,3.94,1.18,4.04,29.1,357.7,475.8,77.5,N/A*,,,,
2016,02,3.91,1.21,4.01,29.1,353.0,461.9,78.7,N/A*,,,,
2016,03,3.82,1.15,3.92,29.3,348.2,453.2,79.3,N/A*,,,,
2016,04,3.76,1.09,3.86,28.9,350.8,460.2,77.8,N/A*,,,,
2016,05,3.73,1.08,3.82,29.2,355.4,467.6,78.1,N/A*,,,,
2016,06,3.72,1.06,3.81,29.1,354.7,461.3,79.1,N/A*,,,,
2016,07,3.64,1.11,3.74,29.0,359.9,470.5,78.5,N/A*,,,,
2016,08,3.60,1.09,3.68,29.0,358.7,469.3,78.8,N/A*,,,,
2016,09,3.56,1.07,3.58,28.8,350.3,460.7,78.1,N/A*,,,,
2016,10,3.54,1.03,3.57,28.9,359.3,472.2,78.2,N/A*,,,,
2016,11,3.59,1.11,3.63,28.8,360.5,465.8,79.3,N/A*,,,,
2016,12,3.78,1.05,3.74,28.8,353.6,463.3,78.5,N/A*,,,,
2017,01,4.02,1.13,4.06,28.7,354.4,463.3,78.5,N/A*,,,,
2017,02,4.18,1.10,4.21,29.0,345.4,451.9,79.1,N/A*,,,,
2017,03,4.12,1.05,4.16,28.9,358.8,473.3,78.3,N/A*,,,,
2017,04,4.02,1.02,4.10,28.8,352.4,471.4,77.4,N/A*,,,,
2017,05,4.00,0.93,4.04,28.8,359.2,471.2,78.4,N/A*,,,,
2017,06,4.03,1.02,4.00,28.9,351.4,463.0,77.9,N/A*,,,,
2017,07,3.94,1.06,3.88,28.6,356.6,471.3,77.5,N/A*,,,,
2017,08,4.01,1.06,3.97,28.9,350.7,461.5,78.4,N/A*,,,,
2017,09,3.98,1.06,3.89,28.8,347.2,456.7,78.1,N/A*,,,,
2017,10,3.93,1.07,3.76,28.6,342.1,458.0,77.3,N/A*,,,,
2017,11,4.00,1.08,3.81,28.9,336.3,437.6,79.1,N/A*,,,,
2017,12,4.01,1.03,3.90,28.8,361.9,471.1,78.3,N/A*,,,,
2018,01,4.05,1.08,3.94,28.9,337.1,441.8,78.6,N/A*,,,,
2018,02,4.14,1.00,4.15,28.9,355.6,458.4,79.4,N/A*,,,,
2018,03,4.33,0.99,4.33,28.9,335.4,434.9,79.1,N/A*,,,,
2018,04,4.44,0.94,4.52,28.9,343.7,450.3,78.6,N/A*,,,,
2018,05,4.51,0.88,4.55,28.8,355.8,467.6,78.4,N/A*,,,,
2018,06,4.59,0.85,4.58,29.1,353.1,456.0,79.3,N/A*,,,,
2018,07,4.62,0.94,4.62,28.8,350.2,462.7,77.9,N/A*,,,,
2018,08,4.63,0.80,4.57,29.1,352.9,459.2,78.8,N/A*,,,,
2018,09,4.64,0.84,4.64,28.8,335.5,443.8,77.7,N/A*,,,,
2018,10,4.67,0.84,4.67,28.7,341.3,448.5,77.7,N/A*,,,,
2018,11,4.77,0.80,4.77,28.8,346.2,451.6,78.4,N/A*,,,,
2018,12,4.79,0.89,4.84,28.9,348.0,458.3,77.7,N/A*,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,*Insufficient data to construct a reliable estimate.,,,,,,,,,,,,
,"Note: Starting in 2012, data is unweighted.",,,,,,,,,,,,
,,,,,,,,,,,,,
,Source: Federal Housing Finance Agency,,,,,,,,,,,,
,            Monthly Interest Rate Survey,,,,,,,,,,,,
