,,,,,,,,,,,,,,,,,,,,
"Monthly House Price Indexes for Census Divisions and U.S.
Purchase-Only Index (Only Index available with Monthly Frequency)

NSA=Not Seasonally Adjusted; SA=Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
,,,,,,,,,,,,,,,,,,,,
1/1/91,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2/1/91,100.99,101.07,100.84,100.40,100.00,100.18,98.44,98.64,101.92,102.54,100.22,100.52,100.54,100.40,100.63,100.50,99.92,99.71,100.42,100.45
3/1/91,101.37,101.00,101.00,100.58,99.92,99.75,100.13,100.52,101.70,101.46,100.00,100.13,101.01,100.60,100.42,99.99,100.81,100.54,100.71,100.49
4/1/91,101.75,101.04,100.89,100.58,99.37,99.08,100.46,100.35,101.06,100.99,100.17,100.06,100.96,100.48,100.92,100.29,100.41,100.08,100.71,100.32
5/1/91,102.39,101.44,101.21,100.77,99.58,99.13,100.74,100.39,99.79,99.84,100.39,100.11,100.83,100.57,100.69,100.07,100.90,100.33,100.87,100.39
6/1/91,102.82,101.56,102.14,101.57,99.66,98.82,102.19,101.47,99.21,98.70,100.44,99.88,101.34,100.67,101.49,100.42,102.04,100.95,101.38,100.52
7/1/91,103.02,101.94,101.97,101.57,100.13,99.07,101.50,101.28,99.22,98.79,100.46,99.84,101.03,100.47,101.37,100.29,101.75,100.82,101.32,100.55
8/1/91,103.18,102.13,101.64,100.75,99.62,98.61,101.91,101.30,98.43,98.00,100.76,99.95,100.80,100.03,101.82,100.61,101.50,100.55,101.26,100.37
9/1/91,102.87,102.06,101.96,101.17,100.18,99.26,101.89,101.54,100.01,99.15,100.39,99.62,100.75,100.10,101.69,100.77,102.14,101.45,101.38,100.62
10/1/91,103.09,102.41,101.97,101.64,99.97,98.97,103.22,102.53,99.30,98.81,100.91,100.34,101.68,100.95,101.90,101.36,101.39,100.66,101.60,100.93
11/1/91,104.00,103.38,102.96,102.36,100.93,100.08,104.14,103.83,98.39,97.45,100.88,100.60,102.19,101.33,101.94,101.43,101.98,101.34,102.12,101.48
12/1/91,103.75,103.45,103.50,103.28,100.64,100.31,103.62,103.42,99.09,98.73,101.06,100.66,101.92,101.58,102.96,102.48,102.09,101.85,102.16,101.84
1/1/92,103.93,103.95,103.35,103.36,100.68,100.71,104.34,104.41,99.85,99.87,100.97,100.96,101.92,101.91,102.46,102.47,102.38,102.38,102.25,102.26
2/1/92,104.41,104.48,104.68,104.25,101.71,101.94,105.07,105.30,99.83,100.48,101.08,101.39,102.83,102.68,103.03,102.91,103.48,103.28,102.95,102.99
3/1/92,105.57,105.20,104.41,103.98,101.33,101.18,105.63,106.02,99.68,99.46,100.66,100.79,102.73,102.33,103.99,103.52,102.75,102.50,103.03,102.81
4/1/92,106.01,105.28,103.86,103.54,101.10,100.82,105.81,105.67,98.50,98.45,100.41,100.28,102.29,101.81,104.18,103.51,103.13,102.77,102.94,102.54
5/1/92,106.62,105.64,104.45,104.02,100.85,100.36,106.70,106.30,97.60,97.63,100.55,100.25,102.32,102.06,104.47,103.77,103.23,102.60,103.12,102.62
6/1/92,107.02,105.70,104.89,104.25,101.20,100.31,107.69,106.91,97.12,96.54,100.33,99.73,102.54,101.85,105.33,104.18,104.09,103.00,103.48,102.58
7/1/92,107.18,106.05,105.38,104.92,101.40,100.28,107.49,107.18,97.33,96.78,100.69,100.02,102.87,102.26,105.81,104.64,104.21,103.26,103.73,102.90
8/1/92,107.61,106.50,106.42,105.46,101.38,100.28,108.73,108.02,98.22,97.74,101.00,100.16,103.89,103.07,106.11,104.82,105.01,104.02,104.34,103.39
9/1/92,107.64,106.79,106.82,106.01,102.15,101.21,108.82,108.41,98.50,97.66,101.04,100.25,104.26,103.59,106.43,105.43,104.91,104.18,104.57,103.78
10/1/92,108.25,107.51,107.03,106.65,102.38,101.37,110.12,109.41,98.54,98.08,100.12,99.58,104.45,103.73,106.18,105.58,105.64,104.91,104.77,104.08
11/1/92,108.53,107.91,107.00,106.39,102.93,102.14,110.39,110.08,99.44,98.54,99.90,99.64,104.39,103.53,106.56,105.98,106.27,105.60,105.01,104.37
12/1/92,108.83,108.53,107.08,106.85,101.57,101.28,111.45,111.24,97.76,97.46,99.60,99.23,103.63,103.30,106.74,106.23,105.31,105.09,104.59,104.28
1/1/93,108.57,108.62,107.10,107.10,100.84,100.91,111.86,112.01,96.70,96.69,98.71,98.73,103.43,103.37,107.41,107.45,105.37,105.37,104.32,104.34
2/1/93,108.37,108.43,106.96,106.59,100.41,100.75,111.95,112.24,94.72,95.38,97.71,98.06,103.35,103.21,107.83,107.74,105.72,105.52,104.03,104.10
3/1/93,109.31,108.98,108.51,108.05,100.76,100.65,112.12,112.53,95.59,95.44,98.19,98.32,104.15,103.77,107.31,106.81,106.40,106.15,104.66,104.45
4/1/93,110.34,109.56,108.77,108.40,101.69,101.40,114.11,113.91,96.60,96.56,98.45,98.30,105.04,104.56,108.93,108.23,106.96,106.58,105.53,105.11
5/1/93,110.94,109.91,109.34,108.87,102.27,101.71,115.28,114.80,96.28,96.18,98.21,97.91,104.80,104.52,109.67,108.87,107.77,107.05,105.87,105.30
6/1/93,112.01,110.61,109.75,108.99,102.49,101.49,116.32,115.48,97.79,96.95,98.57,97.94,105.82,105.09,110.62,109.40,108.71,107.59,106.67,105.70
7/1/93,112.30,111.09,110.01,109.45,102.27,101.05,117.26,116.78,97.40,96.65,97.59,96.86,105.68,105.00,111.05,109.79,109.22,108.24,106.66,105.74
8/1/93,112.69,111.52,111.00,109.99,102.51,101.27,118.53,117.67,97.10,96.45,98.02,97.18,106.09,105.21,111.98,110.60,109.47,108.38,107.12,106.09
9/1/93,113.22,112.30,111.93,111.09,102.30,101.37,119.81,119.28,96.91,96.07,97.63,96.89,106.36,105.63,112.39,111.27,109.56,108.80,107.34,106.51
10/1/93,113.34,112.54,111.52,111.05,102.50,101.55,120.72,119.97,95.93,95.46,97.74,97.27,106.37,105.67,112.65,111.98,110.42,109.65,107.49,106.80
11/1/93,113.59,112.96,112.33,111.75,102.44,101.75,121.20,120.90,97.29,96.46,96.92,96.72,106.66,105.85,113.03,112.39,110.63,109.94,107.67,107.06
12/1/93,113.86,113.56,112.44,112.19,101.93,101.67,121.82,121.62,97.18,96.94,97.09,96.79,107.04,106.73,113.71,113.21,110.96,110.74,107.87,107.57
1/1/94,114.15,114.28,112.97,112.99,102.17,102.31,122.18,122.42,96.09,96.07,96.63,96.72,106.73,106.62,113.73,113.90,110.64,110.65,107.78,107.84
2/1/94,114.48,114.52,114.25,113.94,101.12,101.58,123.59,123.98,96.25,97.04,96.15,96.57,107.08,106.93,113.77,113.73,111.30,111.14,107.95,108.06
3/1/94,115.27,114.95,114.13,113.67,101.66,101.59,124.55,124.95,97.93,97.96,96.41,96.52,107.61,107.20,115.31,114.76,112.43,112.19,108.67,108.47
4/1/94,116.50,115.68,115.39,114.94,101.82,101.51,126.21,125.90,96.84,96.81,96.96,96.76,108.31,107.79,115.76,115.03,112.34,111.91,109.25,108.79
5/1/94,117.31,116.21,115.69,115.15,102.63,101.94,127.95,127.35,97.36,97.18,96.80,96.42,108.30,107.97,116.44,115.50,113.54,112.68,109.80,109.15
6/1/94,118.03,116.54,116.38,115.49,102.81,101.68,129.10,128.18,98.93,97.85,97.17,96.48,109.09,108.28,117.20,115.90,113.82,112.67,110.43,109.37
7/1/94,117.99,116.68,116.52,115.86,103.27,101.91,129.26,128.53,98.28,97.32,97.14,96.28,109.30,108.54,117.71,116.32,113.69,112.65,110.52,109.48
8/1/94,118.42,117.18,117.48,116.42,103.12,101.71,130.43,129.41,97.58,96.80,97.04,96.15,109.89,108.92,118.20,116.73,114.21,113.03,110.85,109.72
9/1/94,118.62,117.62,117.08,116.26,102.24,101.34,130.42,129.74,97.79,97.00,97.21,96.51,109.88,109.10,117.84,116.62,113.90,113.11,110.72,109.85
10/1/94,119.04,118.16,117.64,117.14,102.43,101.55,131.44,130.68,97.21,96.76,96.46,96.05,109.88,109.23,117.77,117.00,114.23,113.48,110.78,110.09
11/1/94,119.32,118.70,118.40,117.85,101.65,101.10,131.26,131.00,97.38,96.75,96.02,95.85,110.55,109.81,118.62,117.94,114.29,113.59,110.91,110.35
12/1/94,119.01,118.72,117.92,117.67,100.45,100.23,132.03,131.91,97.19,97.09,96.11,95.90,110.26,109.95,117.94,117.47,114.16,113.92,110.59,110.33
1/1/95,119.37,119.60,117.78,117.79,100.51,100.69,131.66,132.03,96.56,96.57,96.05,96.22,110.52,110.35,117.97,118.25,114.25,114.28,110.65,110.74
2/1/95,120.22,120.24,119.24,119.02,100.42,100.99,132.98,133.47,96.29,97.11,96.11,96.58,110.91,110.74,118.87,118.88,114.43,114.27,111.10,111.25
3/1/95,120.66,120.34,119.88,119.41,101.12,101.07,133.00,133.31,97.15,97.36,95.66,95.72,110.96,110.52,119.69,119.11,114.52,114.26,111.36,111.15
4/1/95,121.89,121.06,119.59,119.03,101.70,101.40,134.32,133.88,97.24,97.22,95.24,94.97,111.01,110.47,120.42,119.67,115.67,115.18,111.83,111.32
5/1/95,122.18,120.98,120.04,119.45,101.78,101.00,134.67,133.95,98.04,97.75,96.01,95.52,110.99,110.60,121.17,120.07,116.17,115.18,112.22,111.47
6/1/95,123.38,121.81,121.98,120.94,102.60,101.35,136.38,135.42,98.76,97.44,96.12,95.35,111.79,110.88,122.13,120.74,116.28,115.10,113.03,111.87
7/1/95,123.84,122.41,122.22,121.45,102.62,101.14,136.96,135.99,99.38,98.26,96.45,95.49,112.72,111.90,122.74,121.22,117.08,115.97,113.55,112.40
8/1/95,124.43,123.12,122.30,121.22,103.45,101.89,137.73,136.59,99.11,98.17,96.51,95.59,112.89,111.88,123.28,121.74,117.37,116.10,113.90,112.69
9/1/95,124.62,123.54,122.52,121.71,102.18,101.31,138.08,137.29,98.52,97.74,96.02,95.38,113.07,112.27,123.83,122.51,117.64,116.83,113.79,112.91
10/1/95,124.94,124.00,123.34,122.80,101.71,100.93,137.80,137.07,98.36,97.87,95.69,95.35,112.79,112.19,123.87,123.03,117.33,116.59,113.67,113.00
11/1/95,124.86,124.24,123.57,123.04,101.43,101.01,137.83,137.65,98.27,97.79,95.55,95.41,113.25,112.61,123.66,122.90,117.74,117.03,113.73,113.21
12/1/95,125.29,125.03,123.68,123.44,101.55,101.36,138.58,138.59,98.08,98.07,95.33,95.25,113.03,112.75,124.17,123.77,118.19,117.94,113.86,113.65
1/1/96,125.06,125.40,123.97,123.96,101.22,101.42,138.45,138.94,100.13,100.26,95.49,95.76,113.77,113.58,123.66,124.04,117.69,117.72,113.98,114.12
2/1/96,126.19,126.18,123.71,123.52,101.24,101.87,138.80,139.37,98.82,99.70,95.18,95.67,113.49,113.29,124.51,124.54,118.38,118.23,114.14,114.30
3/1/96,126.98,126.62,124.71,124.24,102.21,102.19,140.05,140.22,98.75,99.13,95.65,95.65,114.62,114.14,125.64,125.03,118.70,118.45,114.92,114.69
4/1/96,128.48,127.65,125.59,124.95,102.14,101.87,141.49,140.94,99.50,99.43,95.87,95.52,114.88,114.29,126.67,125.89,119.06,118.50,115.53,114.99
5/1/96,129.21,127.90,126.43,125.76,103.02,102.19,141.75,140.93,100.53,100.14,96.17,95.53,115.12,114.64,127.27,125.99,119.86,118.78,116.12,115.27
6/1/96,129.68,128.04,126.86,125.70,103.39,102.00,142.45,141.46,101.81,100.30,96.55,95.69,115.53,114.51,127.74,126.23,120.61,119.39,116.65,115.39
7/1/96,130.32,128.75,127.83,126.99,103.66,102.08,143.28,142.16,101.47,100.19,96.87,95.85,116.08,115.21,128.56,126.90,120.42,119.22,117.06,115.81
8/1/96,130.07,128.66,127.81,126.76,103.76,102.12,142.83,141.66,101.57,100.46,96.61,95.68,116.28,115.22,128.65,127.00,120.77,119.44,117.06,115.79
9/1/96,130.29,129.14,127.95,127.18,102.89,102.01,143.42,142.53,101.68,100.80,96.32,95.76,116.41,115.62,128.97,127.58,120.62,119.77,117.01,116.11
10/1/96,130.11,129.09,128.49,127.99,102.55,101.83,143.42,142.75,101.19,100.61,96.39,96.11,116.24,115.69,128.66,127.75,120.33,119.62,116.86,116.20
11/1/96,130.97,130.37,128.18,127.64,102.76,102.44,143.17,143.03,100.77,100.40,96.40,96.27,116.03,115.49,128.85,128.05,120.62,119.93,116.99,116.51
12/1/96,130.78,130.57,128.55,128.31,102.14,101.95,142.79,142.94,101.06,101.10,96.32,96.36,116.28,116.05,129.22,128.92,120.83,120.58,116.98,116.82
1/1/97,130.21,130.63,128.57,128.49,102.19,102.34,143.38,143.94,101.43,101.65,95.81,96.16,116.75,116.55,128.54,128.97,120.37,120.42,116.84,117.02
2/1/97,130.84,130.82,129.92,129.72,101.85,102.50,143.75,144.34,100.13,100.98,95.80,96.27,117.10,116.90,129.10,129.14,120.97,120.82,117.11,117.27
3/1/97,132.10,131.68,129.94,129.49,102.53,102.51,145.06,145.03,101.02,101.50,96.80,96.72,118.16,117.69,130.66,130.02,121.51,121.25,118.06,117.80
4/1/97,132.37,131.55,130.81,130.13,103.19,102.96,145.97,145.32,102.90,102.80,97.82,97.42,117.89,117.31,130.64,129.84,122.01,121.38,118.58,118.02
5/1/97,133.82,132.40,130.44,129.70,104.51,103.70,146.57,145.66,103.00,102.52,98.59,97.80,118.12,117.55,132.29,130.88,123.10,121.98,119.42,118.48
6/1/97,134.30,132.63,131.45,130.21,104.37,102.86,146.87,145.81,104.39,102.77,98.80,97.84,119.11,118.02,131.98,130.35,123.27,122.03,119.86,118.52
7/1/97,134.57,132.88,131.74,130.83,104.75,103.10,147.36,146.18,104.30,102.95,99.77,98.74,118.63,117.73,133.15,131.36,123.46,122.19,120.17,118.86
8/1/97,134.88,133.39,132.04,131.04,105.16,103.49,147.72,146.55,104.89,103.66,99.97,99.04,119.54,118.52,133.17,131.42,123.53,122.16,120.56,119.26
9/1/97,134.78,133.57,131.60,130.84,104.13,103.18,147.60,146.67,104.42,103.41,99.85,99.34,119.33,118.53,133.64,132.20,123.54,122.68,120.33,119.40
10/1/97,135.13,134.07,131.41,130.89,105.38,104.65,147.98,147.34,105.48,104.74,99.88,99.64,119.67,119.09,133.75,132.79,123.94,123.25,120.74,120.05
11/1/97,135.00,134.41,132.19,131.64,103.87,103.54,147.51,147.37,105.41,105.06,101.00,100.87,120.17,119.69,133.63,132.78,124.59,123.93,120.89,120.42
12/1/97,134.89,134.73,132.48,132.21,104.50,104.28,147.91,148.19,105.69,105.73,100.73,100.83,120.42,120.20,133.29,133.08,124.37,124.13,120.96,120.82
1/1/98,134.82,135.27,132.97,132.80,104.04,104.09,147.40,147.98,104.40,104.73,101.12,101.53,120.37,120.14,134.73,135.16,125.13,125.22,121.07,121.24
2/1/98,136.07,136.07,133.03,132.80,104.22,104.88,148.82,149.38,106.77,107.72,102.31,102.77,121.25,121.04,135.15,135.21,125.68,125.54,121.96,122.13
3/1/98,136.83,136.36,134.16,133.73,105.81,105.88,149.72,149.51,106.90,107.50,103.46,103.29,121.78,121.29,135.94,135.31,126.26,125.98,122.84,122.55
4/1/98,137.59,136.78,134.93,134.21,106.31,106.13,151.52,150.86,108.41,108.29,105.03,104.54,122.46,121.81,136.28,135.44,126.90,126.14,123.74,123.13
5/1/98,138.68,137.17,135.81,134.98,107.00,106.27,151.94,150.95,109.50,108.96,106.16,105.18,122.89,122.19,137.76,136.22,127.97,126.81,124.65,123.62
6/1/98,139.65,137.92,136.79,135.50,108.80,107.12,152.50,151.34,111.53,109.78,107.19,106.09,124.02,122.82,139.42,137.63,128.85,127.57,125.85,124.41
7/1/98,140.00,138.19,136.52,135.54,108.73,107.03,153.08,151.92,111.84,110.32,107.52,106.46,124.03,123.05,139.61,137.69,129.78,128.38,126.11,124.70
8/1/98,140.34,138.76,136.56,135.60,109.43,107.71,153.94,152.80,112.62,111.20,108.22,107.25,124.42,123.37,140.19,138.32,130.22,128.81,126.63,125.27
9/1/98,140.87,139.57,137.81,137.00,109.49,108.41,154.13,153.20,113.38,112.17,108.37,107.83,125.19,124.33,140.85,139.33,130.32,129.40,127.08,126.07
10/1/98,141.44,140.32,137.58,137.02,109.29,108.50,154.79,154.16,113.00,112.07,109.10,108.83,125.21,124.56,141.21,140.17,130.63,129.88,127.33,126.58
11/1/98,141.73,141.16,138.67,138.09,109.50,109.07,154.52,154.33,114.64,114.27,109.64,109.51,125.70,125.27,142.88,141.99,130.95,130.31,127.90,127.42
12/1/98,141.63,141.55,138.61,138.33,110.13,109.91,154.90,155.26,114.66,114.68,109.45,109.57,125.88,125.65,142.81,142.70,131.92,131.68,128.09,127.97
1/1/99,141.67,142.13,139.10,138.78,110.63,110.55,155.00,155.59,114.64,115.14,110.76,111.22,126.70,126.44,143.13,143.50,131.75,131.93,128.57,128.73
2/1/99,142.86,142.88,139.74,139.55,110.17,110.88,155.97,156.47,115.37,116.41,111.23,111.65,127.23,127.01,143.19,143.33,132.35,132.23,129.08,129.26
3/1/99,143.79,143.29,140.63,140.21,110.63,110.78,158.33,157.99,116.30,116.94,112.83,112.58,127.96,127.50,144.85,144.20,132.97,132.61,130.12,129.81
4/1/99,144.64,143.80,140.84,140.14,111.78,111.66,158.61,157.91,118.05,117.93,113.83,113.33,128.83,128.11,146.00,145.08,134.46,133.55,131.12,130.47
5/1/99,146.32,144.72,141.64,140.78,113.14,112.47,159.82,158.75,119.79,119.16,115.11,114.02,129.81,128.98,147.34,145.64,135.22,134.00,132.36,131.25
6/1/99,146.99,145.15,142.26,140.92,115.41,113.58,160.68,159.38,121.87,119.91,116.03,114.78,130.46,129.17,148.62,146.59,135.97,134.62,133.42,131.85
7/1/99,147.85,145.89,142.50,141.48,116.20,114.39,161.50,160.35,122.93,121.10,116.39,115.31,130.98,129.88,149.10,146.98,137.02,135.49,134.09,132.57
8/1/99,148.57,146.86,142.96,141.99,116.70,114.91,162.34,161.16,123.90,122.27,117.27,116.27,131.71,130.66,150.48,148.44,137.54,136.06,134.84,133.41
9/1/99,148.45,147.04,143.34,142.49,116.37,115.09,163.43,162.51,124.88,123.41,117.67,117.04,131.76,130.81,149.66,148.03,137.21,136.23,134.89,133.77
10/1/99,149.00,147.82,142.95,142.27,117.34,116.44,163.02,162.36,125.06,123.90,118.48,118.16,132.75,131.98,149.78,148.65,138.04,137.19,135.49,134.64
11/1/99,148.66,148.08,143.89,143.31,117.25,116.69,163.66,163.39,125.04,124.61,118.86,118.77,132.76,132.34,150.42,149.47,138.39,137.76,135.67,135.17
12/1/99,148.86,148.86,144.11,143.85,117.23,117.00,163.62,163.98,126.39,126.41,119.41,119.55,132.94,132.69,150.29,150.20,138.63,138.40,135.92,135.82
1/1/00,150.04,150.49,144.77,144.34,119.05,118.88,164.47,165.07,127.30,128.01,122.02,122.52,134.05,133.80,151.04,151.35,139.37,139.63,137.26,137.41
2/1/00,149.64,149.71,144.84,144.68,117.74,118.44,165.05,165.48,126.67,127.91,121.06,121.47,134.43,134.19,152.22,152.50,139.56,139.48,137.06,137.24
3/1/00,151.57,151.06,144.97,144.57,119.39,119.64,166.77,166.35,129.16,129.85,123.36,123.08,135.20,134.76,153.59,152.91,141.14,140.72,138.61,138.30
4/1/00,152.65,151.76,146.34,145.72,120.64,120.61,167.60,166.88,131.33,131.20,124.37,123.86,136.68,135.89,155.25,154.26,142.51,141.41,139.92,139.23
5/1/00,153.87,152.17,146.60,145.73,121.66,121.03,168.61,167.47,133.63,132.93,126.20,125.01,137.47,136.52,156.55,154.73,143.15,141.88,141.05,139.87
6/1/00,155.22,153.24,147.45,146.05,123.90,121.94,170.35,168.92,136.80,134.68,127.37,125.99,138.79,137.42,157.48,155.23,144.03,142.59,142.49,140.80
7/1/00,156.06,153.95,147.83,146.73,124.58,122.70,170.54,169.37,137.68,135.49,128.20,127.05,139.42,138.13,158.44,156.12,144.82,143.22,143.21,141.56
8/1/00,156.20,154.33,147.34,146.27,125.16,123.28,171.06,169.80,138.19,136.36,129.38,128.28,139.61,138.48,158.99,156.80,145.21,143.66,143.64,142.10
9/1/00,156.36,154.82,147.40,146.51,126.28,124.75,171.18,170.23,139.84,138.08,130.32,129.53,140.54,139.46,159.41,157.63,145.40,144.33,144.28,143.01
10/1/00,156.46,155.18,147.66,146.81,126.32,125.31,172.09,171.39,141.16,139.79,131.43,131.03,140.93,140.03,159.82,158.58,145.81,144.87,144.76,143.79
11/1/00,156.36,155.76,148.09,147.51,127.19,126.48,172.99,172.68,140.75,140.25,132.68,132.62,141.12,140.67,159.65,158.66,146.36,145.75,145.19,144.65
12/1/00,156.65,156.70,147.17,146.92,127.60,127.38,172.94,173.27,142.16,142.23,133.59,133.76,142.31,142.04,159.54,159.44,145.91,145.66,145.60,145.50
1/1/01,156.82,157.28,148.34,147.80,128.19,127.96,174.48,175.11,142.86,143.74,134.46,135.04,143.12,142.90,160.74,161.03,146.03,146.40,146.30,146.47
2/1/01,157.83,157.98,148.73,148.66,128.62,129.29,175.69,176.18,144.14,145.61,136.16,136.58,143.50,143.25,161.01,161.42,147.72,147.71,147.23,147.45
3/1/01,158.97,158.50,149.07,148.71,129.80,130.12,176.92,176.53,146.13,146.78,138.01,137.76,145.23,144.85,162.90,162.21,148.15,147.64,148.56,148.26
4/1/01,160.20,159.25,149.64,149.10,130.74,130.78,177.61,176.85,148.19,147.97,139.15,138.70,146.36,145.56,165.00,163.99,149.80,148.57,149.80,149.09
5/1/01,161.59,159.79,150.77,149.92,132.44,131.80,179.39,178.27,150.93,150.09,140.79,139.54,147.13,146.05,166.24,164.33,149.82,148.48,151.05,149.79
6/1/01,162.43,160.32,151.26,149.74,135.17,133.11,180.43,178.88,153.41,151.02,141.71,140.17,148.25,146.82,167.44,165.00,150.68,149.13,152.30,150.48
7/1/01,163.06,160.81,151.19,149.98,136.06,134.04,180.27,178.99,155.25,152.61,142.50,141.15,149.57,148.11,168.55,166.03,151.61,149.99,153.16,151.35
8/1/01,163.36,161.33,151.68,150.43,137.54,135.54,181.11,179.76,156.83,154.76,143.41,142.13,150.12,148.88,168.61,166.30,151.22,149.59,153.75,152.07
9/1/01,163.70,162.04,151.93,150.99,138.22,136.44,180.60,179.57,157.44,155.31,144.53,143.55,150.51,149.27,169.24,167.32,151.85,150.71,154.27,152.85
10/1/01,164.44,163.08,153.06,152.02,138.44,137.31,181.31,180.57,158.10,156.49,144.76,144.25,151.57,150.54,169.78,168.43,152.10,151.09,154.88,153.80
11/1/01,163.82,163.19,152.34,151.79,139.65,138.78,182.16,181.83,158.00,157.46,145.03,144.96,151.45,150.95,169.29,168.26,151.63,151.05,154.85,154.27
12/1/01,163.73,163.80,152.32,152.07,139.43,139.19,182.12,182.41,159.49,159.71,146.50,146.66,152.50,152.22,169.85,169.77,151.99,151.70,155.38,155.26
1/1/02,164.09,164.64,153.37,152.84,140.78,140.55,182.46,183.12,160.17,161.23,147.40,148.15,153.30,153.15,169.91,170.28,151.20,151.65,155.93,156.17
2/1/02,164.79,165.06,152.24,152.21,141.13,141.70,183.71,184.32,161.58,163.28,148.94,149.41,154.76,154.55,170.08,170.57,152.42,152.51,156.81,157.08
3/1/02,166.22,165.82,154.18,153.86,142.88,143.25,185.00,184.67,162.86,163.42,151.25,151.11,155.39,155.00,172.42,171.71,154.05,153.44,158.37,158.08
4/1/02,167.14,166.13,153.96,153.42,144.55,144.63,186.28,185.47,166.77,166.39,152.98,152.58,156.89,156.08,173.53,172.48,154.77,153.49,159.69,158.94
5/1/02,168.62,166.69,154.74,153.89,147.06,146.35,187.15,186.01,168.93,167.85,156.12,154.80,158.36,157.15,175.20,173.16,155.52,154.09,161.40,160.03
6/1/02,169.81,167.53,155.78,154.14,149.38,147.22,188.04,186.35,172.93,170.31,158.47,156.78,159.61,158.05,176.81,174.22,156.12,154.44,162.97,161.01
7/1/02,170.34,167.93,155.81,154.46,151.06,148.84,188.82,187.34,176.15,173.12,160.58,158.92,160.67,159.06,177.42,174.65,156.32,154.69,164.03,162.04
8/1/02,170.71,168.50,157.28,155.81,152.64,150.44,190.53,189.00,176.34,174.03,162.19,160.66,161.25,159.80,178.11,175.69,156.65,154.95,164.94,163.07
9/1/02,171.10,169.31,156.48,155.50,153.67,151.65,190.25,189.08,178.14,175.59,163.29,162.00,163.03,161.61,178.57,176.48,156.91,155.70,165.70,164.09
10/1/02,171.15,169.68,157.80,156.66,154.49,153.19,191.70,190.84,179.29,177.44,164.95,164.35,163.59,162.46,178.69,177.23,157.27,156.22,166.43,165.23
11/1/02,171.66,171.00,157.64,157.11,155.06,154.04,191.66,191.36,179.93,179.41,165.62,165.49,164.08,163.48,179.07,178.00,157.18,156.64,166.81,166.17
12/1/02,171.12,171.21,157.71,157.48,156.67,156.43,192.63,192.94,180.06,180.47,167.00,167.19,165.16,164.90,179.69,179.63,157.73,157.40,167.50,167.39
1/1/03,171.74,172.43,158.29,157.83,157.55,157.30,192.74,193.53,181.04,182.35,168.44,169.53,165.46,165.42,180.08,180.56,157.47,158.00,168.05,168.42
2/1/03,172.25,172.67,159.35,159.45,158.69,159.25,193.48,194.26,181.20,183.11,170.75,171.25,167.12,166.97,180.48,180.96,158.10,158.27,169.15,169.49
3/1/03,173.32,173.02,159.30,159.04,159.38,159.77,195.40,195.18,183.69,184.04,172.50,172.52,168.08,167.63,182.58,181.85,158.90,158.19,170.33,170.04
4/1/03,174.77,173.67,160.35,159.78,161.21,161.26,197.16,196.24,187.07,186.45,175.11,174.73,169.52,168.67,183.10,182.03,159.74,158.48,171.91,171.10
5/1/03,176.56,174.43,161.06,160.17,163.64,162.80,198.09,196.85,188.29,186.97,177.66,176.14,171.24,169.86,184.76,182.61,160.63,159.07,173.58,172.04
6/1/03,177.29,174.81,162.56,160.79,165.80,163.49,199.63,197.75,191.46,188.57,179.26,177.28,172.90,171.15,186.33,183.54,160.93,159.10,175.00,172.84
7/1/03,178.20,175.61,162.83,161.34,167.38,164.96,201.23,199.51,192.63,189.34,181.91,179.84,174.47,172.73,187.57,184.51,161.39,159.72,176.32,174.13
8/1/03,178.83,176.42,163.72,162.11,169.53,167.07,202.05,200.26,194.20,191.75,184.60,182.71,174.96,173.26,188.19,185.60,162.24,160.45,177.48,175.39
